preds,trues
3055.708,2270.0
5404.821,5163.5
3101.5098,3014.0005
2834.5586,3030.5
5646.0806,9047.5
5844.655,6396.5
3163.12,4272.0
3448.8926,3036.0005
4592.844,4736.0005
6582.9136,5273.0
5751.362,1142.75
11307.442,6712.5005
4693.882,5183.0
13900.916,14315.0
9981.604,9479.5
11254.427,10803.25
10881.923,13532.0
12162.281,13661.0
9336.004,7196.5
6774.111,8549.5
7227.0586,7822.5
10612.799,17007.75
18719.285,23441.5
18590.025,19085.0
17503.826,19493.5
18793.219,16107.5
17318.61,17212.0
7581.6963,13493.0
11579.303,9422.0
8532.148,12022.5
1737.6943,1993.25
2789.039,3852.0
5338.256,3399.5
3999.0825,3437.0005
11451.513,9371.5
3437.921,3914.0005
10593.275,12623.75
9686.731,6139.5005
5407.5493,6989.5
6500.788,4931.5
3368.7876,2790.0005
2648.5918,2273.0
2797.7148,2376.0
1837.5996,2180.5
2505.664,2191.5
2800.1582,2876.75
3136.6973,3192.5
4707.052,9388.5
8782.785,7660.5
3753.836,5127.5
3179.9487,3776.5005
6738.216,5524.0005
3566.4648,5.5009766
6998.828,5720.0005
8647.882,10244.0
6751.736,3618.0005
6219.6357,13057.0
16610.191,14186.5
4160.2935,9148.0
10853.762,6159.0005
9706.661,12514.5
7672.0796,9948.0
8733.286,6458.5005
629.6621,223.5
894.0254,1101.0
603.7969,1436.5
275.16016,2.75
246.27344,0.0
249.93652,0.0
250.27051,0.0
250.2832,0.0
1648.2676,86.5
280.10254,0.0
1921.7314,4260.5005
3914.2412,3106.0005
2047.4287,251.00098
50657.54,54107.5
35434.996,27786.0
40080.684,59661.0
40546.574,35349.0
32812.586,23978.0
42562.348,29833.0
30137.465,28093.5
23261.756,26511.25
23576.707,25283.75
25654.266,22513.0
17204.2,19823.0
13104.922,17058.0
22332.684,22955.0
20618.012,15881.0
6787.757,14216.75
8379.277,14471.5
7331.9404,8711.5
3817.4976,1817.0
2421.957,1850.5
4408.8296,4204.5005
2314.6406,1531.5
2909.9058,2359.0
2150.4854,3299.0005
8146.5337,4026.0005
6793.864,9014.0
2862.4214,2314.5
2663.2554,1716.0
1703.1631,1514.5
1980.3672,1442.0
2019.2158,1123.5
