preds,trues
8328.393,6313.0
19066.143,12201.0
14662.321,9617.5
8129.8574,11927.0
34156.254,40821.0
18564.592,18017.5
21468.973,25622.0
17910.545,10048.5
7112.4106,6592.5
13611.985,15125.5
6407.215,5943.5
6879.7124,3821.0
5933.532,6866.5
9372.834,11821.0
13749.533,18760.5
13448.742,11279.0
12825.399,8443.0
6546.825,3550.5
4677.4824,4132.0
5036.6665,6318.5005
11149.643,8261.0
8607.597,9344.0
11872.17,13381.5
6592.5884,4758.5
7315.6523,7224.5
4328.7837,5099.5
7273.9004,6944.75
13635.928,11673.0
6670.1997,5686.75
6282.669,4691.2505
4172.548,4026.0005
4681.5815,4246.75
5059.571,3503.0
5779.723,6855.5
4430.47,3190.0
4704.73,4523.75
7767.496,8963.0
9700.783,7772.0
2179.415,1481.0
2283.6484,7162.0
7168.977,6782.75
4627.408,3173.25
5922.735,12161.75
6610.9644,5507.5
7703.0127,9934.0
9244.971,6995.25
4913.55,3620.5
3863.9385,2225.251
4685.3994,4045.2505
4240.305,2787.0005
8961.28,6251.0
3613.293,3259.25
6139.558,5574.5
4381.8047,4434.0
3835.2886,3265.0005
6399.9097,5558.0
4709.056,3008.0
4705.792,5636.0005
8157.578,10658.0
9929.68,9360.5
13000.187,16658.0
4982.197,2885.0005
6118.133,7325.0
5876.158,7850.5
11080.682,10367.5
4304.536,3075.0005
9104.401,7330.5
10823.961,11200.5
24340.09,19585.75
25261.709,24456.25
28045.707,28711.75
26540.023,41375.0
14579.262,12469.5
16301.025,19469.0
16547.713,12293.25
8190.5186,7106.5
11071.877,11016.0
12191.897,11921.5
9343.741,9399.5
10904.053,7437.0
7201.381,7543.0
11030.878,9726.0
8410.074,10507.0
2937.3828,3265.0005
3326.3506,4025.5005
7057.0854,9355.0
8428.371,7582.0
5426.5576,6352.0
7431.5283,7560.0
7877.9536,8163.5
7540.9023,3630.0005
5117.3213,9041.5
5761.546,3617.5005
5461.9634,6274.0
5741.411,6726.5
9565.764,9500.5
6645.81,7135.0
8941.122,10322.5
11673.907,12369.0
7074.3076,8622.5
2512.833,3092.0005
11355.147,12928.0
10382.734,10406.0
14249.633,13107.5
11874.597,15405.5
15960.107,15914.5
3874.5557,4775.0005
10415.332,9321.0
8000.2793,8035.25
8040.095,8734.5
8601.603,7018.75
2847.2534,4265.75
4321.764,4850.2505
4408.4272,4534.75
2807.875,771.25
898.3213,136.5
3237.6074,2199.751
4967.686,2040.5
6691.5415,6795.5
10949.233,12251.5
11794.195,10591.0
10627.14,11480.0
9778.563,11921.5
8182.4453,9131.0
6816.476,8723.0
4481.113,3030.0
4980.229,5586.0
2244.0234,1593.5
9413.291,8381.75
3040.3071,4187.75
2175.3438,1752.5
6935.9688,3751.75
5037.207,6726.5
3092.4824,2784.0
2946.1646,3645.5
4266.4316,4624.0005
1607.3086,1912.0
1626.5566,2472.0
1598.3828,1252.0
1949.4756,1067.5
2819.5327,3528.0
2679.6108,2471.5
1717.6143,368.25
1357.0645,100.50098
3355.164,2054.5
2836.2314,2611.0
1556.2041,1196.5
3475.0566,3276.5005
3593.5142,3310.2505
2227.2422,1355.251
1375.4521,729.501
1839.3691,3422.0
1213.7314,1158.0
1167.4785,883.0
808.5049,653.5
1068.9375,1906.5
1361.1504,1143.0
915.82715,631.0
1223.8408,732.0
1853.0225,1520.5
1141.1387,603.5
1377.8184,1067.5
793.38574,200.5
635.5303,508.5
667.71484,441.00098
483.4287,284.5
804.07715,469.0
1451.5654,301.5
1578.2881,480.00098
2148.045,1560.001
1812.9287,968.5
2312.9248,3617.5005
4756.6206,5653.0005
5107.128,2616.5
12787.913,9657.0
11318.17,9897.5
8284.051,6642.5
8349.935,6329.5
3986.7744,3813.0
3084.9502,1794.25
2290.7021,2789.5
2697.2104,2158.0
2562.8682,2046.501
3306.526,1665.5
1584.0645,928.0
2850.122,1889.5
1400.5391,866.0
1563.4268,1467.5
3016.6177,816.0
1829.6602,2186.0
5042.5464,3673.5005
2569.588,3987.5005
1236.5479,2080.0
2187.3184,2158.0
5509.6616,2326.0
3473.5947,2270.0
2807.6108,3371.5005
2727.9243,3494.5
2178.7012,1649.5
