preds,trues
1632.7314,1229.5
30065.504,28306.5
22747.555,18050.5
17461.406,13711.0
31669.887,34899.5
19571.969,22451.5
31676.55,36236.0
27321.336,43902.5
30065.598,38268.0
32704.016,29268.0
15657.217,12011.0
19878.963,23692.5
15256.477,28826.5
20908.303,15176.0
26155.846,23486.0
32006.309,28166.0
21885.883,21142.5
19687.727,11027.0
22567.238,20673.0
20847.299,19655.5
19614.814,21652.0
16671.623,8974.5
14916.582,18990.0
17511.38,16647.0
12587.41,14360.0
12478.84,13213.5
12691.272,13090.5
11933.811,7521.0
5998.089,5379.0
11399.905,7140.5
6377.484,5284.0
4236.584,4775.0005
4524.9785,2723.0
2883.9087,3047.0
2421.287,2119.0
3137.398,3382.5
8563.8955,5709.0005
9763.319,12687.5
10971.666,8611.0
5793.9346,4340.5005
8203.471,6318.5005
6074.514,6514.0005
6379.034,5983.0
8312.533,10087.0
9023.626,9730.0
7531.3213,5709.0005
10428.106,11435.0
10182.503,10093.0
8800.176,6721.0005
3096.1138,7084.5
1596.7168,0.0
4578.0913,3176.0
1919.7197,14706.5
1732.2148,2426.5
2555.9336,2393.0
2710.2388,3590.0
6189.2144,1901.0
6897.8574,3612.0
2252.338,2398.5
1994.749,1778.0
2072.4336,911.0
1369.7529,838.5
1660.1504,1643.5
1439.2852,3260.0005
3376.5303,3712.5005
1535.9062,1207.001
1980.3203,1263.001
1665.8281,760.0
1971.9014,849.501
3531.688,2219.5
1844.25,16.5
1704.1318,1699.5
2065.4414,905.501
4899.9873,4775.5
2232.4082,1788.001
2181.8057,1638.001
2960.7017,939.0
3062.5703,2135.75
3737.7368,861.0
4111.7354,2158.0
2266.5303,2023.5
3226.0103,2644.5005
3450.2524,2572.001
3026.1611,2231.0
3335.146,2267.25
3180.1558,2113.0
2482.6514,2320.0
1760.831,301.5
1184.5244,1096.0
1651.127,1045.0
1450.3916,1067.251
1527.1621,989.5
1461.919,1084.5
1514.5635,994.5
2061.206,497.00098
2102.75,944.501
2984.5088,3639.5005
2240.0342,994.5
1561.875,335.0
1024.2109,531.001
1087.8779,794.001
1470.1221,234.50098
1536.1934,749.0
1176.042,620.0
1096.6348,547.5
860.7949,164.25
1789.2598,1050.0
1532.1055,810.501
1324.29,1023.0
1563.9619,1095.501
1322.2266,352.0
1179.6611,262.0
790.7334,256.5
733.7246,329.00098
890.63574,402.00098
796.8799,312.5
1195.6641,835.25
1356.0908,1062.0
1456.3242,1179.5
1696.5947,1042.25
1882.7041,1179.251
1916.5654,1615.5
1542.252,961.0
1296.4229,413.5
1680.4902,972.5
1347.8789,905.501
1582.0645,492.00098
1599.7852,715.5
1681.7988,835.5
1425.042,1308.0
1694.375,1487.001
1609.2949,749.0
1830.1113,754.501
1497.0547,268.00098
1196.8369,1241.0
1531.3857,553.5
1538.6221,351.5
910.4922,472.25
1360.9297,209.25
904.0381,461.25
1326.0752,620.5
1374.0615,682.001
1226.5859,1224.001
1490.3242,1148.751
2468.8984,1881.251
928.82324,1571.5
1834.1309,1082.001
2497.6426,418.5
1349.2217,357.0
1266.2686,413.25098
1364.6641,598.0
1411.2451,464.0
1347.9453,497.5
1162.4834,648.0
1011.9883,614.5
2511.9736,1045.5
2480.3584,203.50098
1467.1748,1520.5
1531.5254,1229.5
1251.4365,312.5
1129.7764,805.0
1614.0576,1755.5
2037.3135,983.501
1764.5986,1541.0
3158.5405,726.0
3496.5684,2829.0005
2103.4277,1386.0
1867.5029,944.501
1141.9521,273.5
937.2412,446.75098
936.2627,1034.0
1157.124,1638.001
1839.6104,984.5
1522.2207,877.5
1724.8271,905.501
1276.4688,1148.5
1269.7354,648.0
2177.542,654.5
1458.0605,726.5
1180.4609,223.5
1003.6699,285.0
800.8262,192.25
788.6865,401.75
723.4746,145.0
598.5449,167.0
633.54297,167.5
530.6875,256.5
751.7715,329.5
974.46094,642.5
1226.5098,385.5
950.8418,145.0
1104.7959,307.50098
14961.586,19868.5
24253.121,26371.5
7717.957,6346.5005
11829.443,7707.5
3386.5723,2085.001
13372.364,8617.0
8445.207,10428.5
8907.315,5228.0
13897.514,7711.0
21398.559,19029.0
14083.117,12732.5
7722.1895,7291.5
4171.962,3377.0005
3468.9521,10182.5
5734.029,5675.5
4269.9497,8119.0
7295.3574,4826.0
9417.238,4604.25
5357.444,5852.0
6943.1494,13828.25
10705.859,8013.0
7281.4043,2779.0
2992.1562,3165.0005
2822.872,1772.0
3674.4922,3712.5005
3462.668,4272.0
4603.6187,3986.5
2489.0488,3416.0005
2739.478,7045.5
13448.453,9917.25
4298.2007,6184.0
10604.756,10898.0
2565.0137,2589.001
2268.9492,4881.0
