preds,trues
1595.502,1336.001
1498.3682,1364.0
1908.5391,1621.0
588.8779,1789.0
1911.7373,1106.5
1382.3223,1727.0
1106.4307,665.001
1385.8662,1319.001
1428.2334,849.501
6836.585,5482.5
6649.5815,3497.25
5580.275,3785.25
3608.5835,2856.7505
6197.4263,9235.0
5684.436,7702.25
10598.8955,14418.5
4244.5684,4982.0
4955.624,3645.5
3391.6245,2907.5005
3168.4673,2348.001
5868.421,8270.0
2944.7656,3064.0
2816.9517,2169.5
3074.996,3209.5
3842.5786,2946.5005
3509.478,3041.5
9466.346,9690.0
4318.75,8046.0
5695.5146,8527.0
4086.5024,3108.5005
2555.122,1537.0
2870.6426,1918.0
3867.6548,3511.5
3547.3145,2572.001
3066.4897,2874.0
4301.915,5468.5
6619.178,3807.5005
3703.954,3030.5
2702.684,1364.0
2370.8252,2158.0
2985.4146,2913.0
2690.4985,3131.0005
5329.965,3544.5005
2661.6265,1951.501
3006.9634,2326.0
3707.313,4708.0005
6060.8677,7705.0
3978.4595,6911.0
4738.0093,3035.75
4284.1216,3919.75
4458.245,2966.0
4845.2617,7713.5
5722.6255,3028.0005
3270.7354,3503.0
3509.1934,2401.0
3134.1318,3642.5005
2970.769,4870.5
4302.985,3544.5005
4062.4316,4575.0005
3090.627,2639.0
3441.2212,2616.5
2366.6104,2862.5
3579.3184,3584.0
4495.887,10210.5
4590.651,5553.0
4025.2964,3791.0
3889.1025,3964.0
3901.9883,9506.0
9672.823,8740.0
12509.2,15618.0
10440.724,16909.5
6235.9443,7884.0
18117.81,15679.5
7520.6084,5820.5
9024.277,15685.0
2668.7886,4104.25
3276.1514,4070.25
3678.8018,8248.0
2997.0566,3681.75
3992.6099,9075.25
2790.599,3715.5005
4638.5635,2877.0005
4118.457,3740.5
3077.54,2340.75
3196.937,4280.2505
3185.7705,1157.0
1302.2422,1475.5
1846.9834,6469.5
1762.1172,3254.0
3728.2334,2812.5005
3606.3633,2382.001
3848.8643,2963.0005
1674.165,2924.5005
2781.5425,3768.5005
6269.5454,5423.5
2872.3047,3842.0005
3000.526,3304.5
1977.4668,2784.5
2816.5269,4406.0
6047.3667,4479.0
2538.1943,2656.0
3083.4854,3573.0
3440.3584,3763.0005
2567.7637,2438.001
2794.1353,3986.5
2393.1865,3483.5005
2213.088,2734.0005
1610.5762,2169.5
2444.1836,1970.75
2096.8057,1332.75
1004.43066,1000.25
1154.8936,1500.75
3307.357,3265.0005
3664.4243,4666.0
1572.0596,3791.0
5645.082,5345.0
3471.4575,4853.5
6131.061,9945.0
2617.7627,3550.5
1869.9668,2270.0
2571.3271,2216.751
2221.0547,3743.0005
2131.5547,2317.501
2347.5723,3131.0005
2062.8223,2644.5005
4883.736,2320.5
2096.6484,2667.0
1964.9238,1627.0
1666.0039,2275.5
2841.1567,1873.0
3364.7744,1744.5
2253.2725,1101.0
1800.9648,2163.5
2683.454,2622.5
1435.5312,2429.0
1909.4102,1934.25
2660.5352,3329.25
3752.2808,4445.0
2974.6802,3645.5
2071.5645,1945.5
1720.4893,1095.501
1761.2637,1296.5
1887.0137,2560.5
1068.4932,1560.001
1402.2529,2197.001
2607.331,2493.5
500.3496,637.0
1314.1836,4724.5
5897.3994,5647.5
6244.6333,5602.5
3434.936,3466.5005
2765.9287,3108.5005
2330.5615,2566.0
4769.1475,5401.5005
5330.659,3885.5005
5285.56,6167.5005
3054.6592,3069.5
2355.8818,4462.0
4955.221,4853.0
5155.4775,5368.0
3508.2954,4915.0005
5898.304,5876.5
3495.2954,4669.0
5935.5093,5764.5
9052.219,7951.5
2330.3906,2009.751
3436.8696,5566.5
2542.495,2074.0
2766.1855,3254.0
2766.5645,3075.0005
2690.8843,2807.0005
4141.0967,3283.0
3544.518,3335.2505
3396.9863,2678.0005
3313.3945,3774.0
4348.3105,3198.5
3547.151,6207.0
4204.6084,4291.0005
3934.9282,3500.0
6465.6836,4747.0005
4036.519,3603.0
3975.96,3042.0
5602.836,4534.5
7952.417,9852.5
5726.9727,6030.75
4060.7036,5021.0
5449.0254,5860.0005
