preds,trues
1524.373,1229.5
1033.7363,0.0
2438.7031,2141.501
2570.6025,1428.5
1035.8457,570.25
740.916,0.0
1010.0947,553.001
5388.4897,4059.5
2689.5425,1750.001
1336.7822,1923.0
1479.7285,3069.5
1494.2188,765.5
857.55664,234.00098
544.83984,335.0
806.8613,296.0
880.37305,749.0
1458.9844,1632.0
3343.2842,3170.25
2360.5723,2423.75
1896.251,671.0
1726.9834,2283.001
1403.9648,1241.0
1429.7852,1017.0
2424.9854,1889.5
5278.633,4299.5005
3181.6064,4853.5
2994.2935,3852.0
3038.9404,2471.5
988.44434,805.0
1680.4111,1280.001
2701.6274,1655.001
3669.3818,3265.5
2175.6494,2393.0
696.31445,894.5
977.5156,385.5
339.01758,0.0
12705.982,33534.5
16659.469,402.00098
647.1123,648.5
631.3037,827.5
632.8535,413.5
411.97852,217.5
757.28125,547.5
971.35547,324.00098
609.83887,357.0
509.13867,11.0
604.29785,27.500977
594.0537,161.5
391.9756,0.0
333.6504,0.0
720.5996,413.5
868.084,77.5
746.2119,150.5
400.76953,19.25
798.0596,319.0
943.53125,671.5
732.10547,357.0
605.56934,78.0
360.12695,0.0
326.06738,8.0
332.5918,0.0
303.5088,0.0
223.35938,0.0
208.54102,0.0
166.81055,0.0
137.93652,0.0
112.668945,0.0
110.884766,0.0
110.34668,0.0
320.9121,0.0
-519.2529,0.0
151.37012,0.0
169.38281,0.0
245.19629,0.0
181.59961,0.0
121.478516,0.0
2073.9795,0.0
340.38574,578.501
331.29395,229.0
748.14844,911.0
1324.4863,1224.001
1607.3291,720.501
972.8467,827.0
946.0078,765.5
1374.7451,441.00098
465.14258,0.0
354.1963,1.0
383.0869,0.0
377.03906,0.0
370.12695,0.0
350.87207,0.0
356.7578,0.0
385.50488,60.75
322.62207,55.5
309.60352,40.000977
288.12207,41.5
310.33203,309.75098
907.67676,1630.5
805.6631,556.501
508.45605,764.001
1357.9404,2040.5
1780.6426,2136.0
979.6738,569.75
443.88184,61.0
359.1748,89.0
539.91797,435.5
441.92578,145.0
636.042,201.0
409.94434,156.0
244.20996,156.50098
272.61133,145.0
453.79297,363.00098
807.42285,866.0
756.1748,771.5
1996.5234,1766.501
2280.7334,1699.5
1126.5625,486.0
1358.3359,1246.5
2489.7305,2107.5
2058.7686,3175.5
3943.1035,4898.0005
3353.667,3030.5
2843.442,2303.5
1522.0322,1616.001
1432.8604,2286.5
1423.7666,1515.0
924.45996,766.0
167.81055,598.0
-67.38281,0.0
-116.27051,0.0
2875.607,2543.5
3570.1587,5977.0
3041.498,4059.0
3821.5342,6225.5
7388.166,2745.0
5069.0464,2147.0
5098.4175,4389.0
4324.815,5815.25
4351.8916,4495.0005
4836.7563,6984.0
9898.801,11178.25
3665.25,2258.75
652.59375,2550.501
1174.998,25.0
233.02637,0.0
-72.29297,0.0
74.649414,89.0
45.58008,715.0
-15.012695,0.0
-60.623047,0.0
-130.88379,0.0
-172.11035,0.0
-6.3271484,0.0
-53.339844,0.0
-97.71387,0.0
-89.13672,0.0
-119.42383,0.0
-97.06445,0.0
156.19043,0.0
-36.743164,0.0
-94.865234,0.0
-65.5957,0.0
-63.782227,0.0
42.7041,0.0
38.70215,0.0
52.58789,1.5009766
149.67285,0.0
1256.791,0.0
705.2656,0.0
1621.5459,0.0
1229.749,0.0
723.0371,0.0
608.1699,0.0
789.2129,0.0
1111.5684,0.0
1215.8623,0.0
1145.7852,0.0
1338.1582,0.0
1152.9111,0.0
900.23535,0.0
913.3281,0.0
1207.46,0.0
1099.999,0.0
1147.9688,0.0
1113.5137,5.0
1063.3506,0.0
785.25195,0.0
1659.541,0.0
1074.79,0.0
987.24023,0.0
889.72266,0.0
857.26855,0.0
834.0908,0.0
1509.2607,0.0
197.81445,0.0
408.21973,0.0
