preds,trues
3110.8574,2270.0
5354.71,5163.5
3173.248,3014.0005
2911.604,3030.5
5845.1426,9047.5
6119.8745,6396.5
3107.545,4272.0
3480.289,3036.0005
4523.5,4736.0005
6877.948,5273.0
6066.9365,1142.75
11415.003,6712.5005
4852.322,5183.0
14199.2,14315.0
10283.985,9479.5
11598.157,10803.25
11259.441,13532.0
12561.613,13661.0
9700.771,7196.5
7066.6445,8549.5
7439.8843,7822.5
10873.6875,17007.75
18819.982,23441.5
19020.64,19085.0
17978.016,19493.5
19100.945,16107.5
17795.332,17212.0
8247.438,13493.0
11898.278,9422.0
8844.851,12022.5
2071.8232,1993.25
2811.2905,3852.0
5501.6616,3399.5
3903.6582,3437.0005
11646.393,9371.5
3636.4595,3914.0005
10742.6,12623.75
9932.714,6139.5005
5688.477,6989.5
6856.0537,4931.5
3434.165,2790.0005
2725.311,2273.0
2822.043,2376.0
1918.2441,2180.5
2516.838,2191.5
2808.6099,2876.75
3105.1821,3192.5
4604.6377,9388.5
9053.035,7660.5
3911.6265,5127.5
3313.1284,3776.5005
7006.54,5524.0005
3743.2139,5.5009766
7182.9727,5720.0005
8695.944,10244.0
6978.624,3618.0005
6365.6455,13057.0
16962.037,14186.5
4546.142,9148.0
10971.093,6159.0005
9884.611,12514.5
8128.1475,9948.0
8889.007,6458.5005
867.52637,223.5
776.6074,1101.0
599.1865,1436.5
384.1084,2.75
359.12207,0.0
361.2373,0.0
361.39355,0.0
361.40137,0.0
718.4287,86.5
425.41406,0.0
2201.6973,4260.5005
3995.5068,3106.0005
2163.7627,251.00098
49021.418,54107.5
34300.45,27786.0
39308.176,59661.0
39359.348,35349.0
31605.969,23978.0
42208.523,29833.0
29208.707,28093.5
22747.406,26511.25
23189.547,25283.75
25417.66,22513.0
17480.14,19823.0
12859.944,17058.0
22243.121,22955.0
20159.08,15881.0
6532.7935,14216.75
8525.689,14471.5
7348.5776,8711.5
3632.5771,1817.0
2399.127,1850.5
4478.645,4204.5005
2339.2373,1531.5
2938.5854,2359.0
2240.8428,3299.0005
8387.649,4026.0005
6893.9233,9014.0
2731.3804,2314.5
2642.623,1716.0
1745.6484,1514.5
2000.6787,1442.0
2057.1797,1123.5
