preds,trues
8379.875,6313.0
19726.96,12201.0
15009.337,9617.5
8179.9995,11927.0
34020.668,40821.0
18353.02,18017.5
21306.926,25622.0
17570.344,10048.5
6931.549,6592.5
13925.422,15125.5
6571.6416,5943.5
7056.956,3821.0
6262.997,6866.5
9579.781,11821.0
13871.83,18760.5
13250.353,11279.0
12875.344,8443.0
6701.214,3550.5
4722.878,4132.0
5002.5083,6318.5005
11801.869,8261.0
8999.322,9344.0
12277.834,13381.5
6629.2153,4758.5
7618.3774,7224.5
4229.6987,5099.5
7591.76,6944.75
14570.207,11673.0
6948.6924,5686.75
6630.18,4691.2505
4103.5493,4026.0005
4727.5024,4246.75
4954.9473,3503.0
6253.888,6855.5
4322.4146,3190.0
4715.506,4523.75
8249.545,8963.0
9995.739,7772.0
2115.1475,1481.0
2334.6045,7162.0
7457.4746,6782.75
4531.497,3173.25
6185.3115,12161.75
6855.1553,5507.5
7994.0205,9934.0
9651.784,6995.25
4763.537,3620.5
3890.2974,2225.251
4846.8315,4045.2505
4235.0234,2787.0005
9725.362,6251.0
3561.8057,3259.25
6495.525,5574.5
4383.6,4434.0
3869.2905,3265.0005
6819.8125,5558.0
4662.8696,3008.0
4752.296,5636.0005
8624.051,10658.0
10138.201,9360.5
13287.733,16658.0
4337.771,2885.0005
6494.14,7325.0
6108.9736,7850.5
11718.815,10367.5
4098.2524,3075.0005
9540.08,7330.5
11118.098,11200.5
25132.61,19585.75
25939.39,24456.25
28231.79,28711.75
26176.072,41375.0
13503.163,12469.5
16468.205,19469.0
16151.178,12293.25
8333.501,7106.5
11402.504,11016.0
12329.595,11921.5
9755.2,9399.5
11114.352,7437.0
7566.2637,7543.0
11369.507,9726.0
8465.912,10507.0
2623.8252,3265.0005
3570.9507,4025.5005
7258.045,9355.0
8662.338,7582.0
5899.386,6352.0
7785.034,7560.0
8175.1987,8163.5
7923.0503,3630.0005
5480.544,9041.5
6282.86,3617.5005
5851.669,6274.0
6193.566,6726.5
9865.397,9500.5
7099.2563,7135.0
9105.47,10322.5
11952.809,12369.0
7510.058,8622.5
2963.8032,3092.0005
11573.092,12928.0
10742.419,10406.0
14384.207,13107.5
12237.572,15405.5
16338.44,15914.5
4095.124,4775.0005
10448.081,9321.0
8132.743,8035.25
8384.109,8734.5
8772.9,7018.75
2990.626,4265.75
4314.895,4850.2505
4408.1914,4534.75
2914.817,771.25
1198.7715,136.5
3163.6636,2199.751
5033.394,2040.5
6814.207,6795.5
11173.661,12251.5
12205.369,10591.0
10970.455,11480.0
10033.447,11921.5
8344.385,9131.0
7211.2256,8723.0
5128.382,3030.0
5215.493,5586.0
2514.9287,1593.5
9641.239,8381.75
3283.5405,4187.75
2402.5293,1752.5
7156.337,3751.75
5037.9673,6726.5
3259.4058,2784.0
3003.963,3645.5
4199.996,4624.0005
1896.8672,1912.0
1731.1367,2472.0
1553.459,1252.0
2009.1367,1067.5
2689.3584,3528.0
2780.9863,2471.5
1943.9277,368.25
1565.9736,100.50098
3229.9448,2054.5
2882.4976,2611.0
1723.0713,1196.5
3403.2603,3276.5005
3695.581,3310.2505
2341.459,1355.251
1535.3994,729.501
1822.5225,3422.0
1367.2754,1158.0
1347.3428,883.0
902.28613,653.5
1108.8281,1906.5
1440.3125,1143.0
1027.2178,631.0
1210.0352,732.0
1873.2676,1520.5
1205.7139,603.5
1423.082,1067.5
993.43555,200.5
651.4512,508.5
681.66406,441.00098
503.82324,284.5
820.3281,469.0
1339.8135,301.5
1497.9824,480.00098
2114.791,1560.001
1791.0693,968.5
2185.2217,3617.5005
4896.92,5653.0005
5214.4976,2616.5
12928.226,9657.0
11534.746,9897.5
8742.852,6642.5
8709.17,6329.5
4016.2236,3813.0
3146.9795,1794.25
2178.4932,2789.5
2675.1133,2158.0
2500.9316,2046.501
3195.727,1665.5
1664.2197,928.0
2876.3389,1889.5
1441.7266,866.0
1585.3408,1467.5
2839.4956,816.0
1922.7676,2186.0
5091.7314,3673.5005
2511.1572,3987.5005
1448.293,2080.0
2226.5273,2158.0
5514.8574,2326.0
3443.414,2270.0
2804.98,3371.5005
2696.8564,3494.5
2227.4775,1649.5
2392.8057,2208.5
1628.8154,3802.0005
1292.3174,7436.5
2026.7705,720.501
