preds,trues
1583.9102,1229.5
30077.117,28306.5
22367.814,18050.5
17423.512,13711.0
32428.957,34899.5
19921.82,22451.5
31713.422,36236.0
26976.473,43902.5
29025.688,38268.0
31786.133,29268.0
14815.288,12011.0
20539.547,23692.5
15544.088,28826.5
20536.754,15176.0
27158.828,23486.0
31783.352,28166.0
21417.027,21142.5
19848.785,11027.0
22838.59,20673.0
20670.379,19655.5
19560.574,21652.0
16617.36,8974.5
15097.344,18990.0
18017.576,16647.0
12653.35,14360.0
12645.525,13213.5
12755.7705,13090.5
11880.457,7521.0
5754.316,5379.0
11779.911,7140.5
6458.3223,5284.0
4195.934,4775.0005
4354.188,2723.0
2851.4507,3047.0
2394.955,2119.0
3020.8638,3382.5
8724.228,5709.0005
9916.352,12687.5
11042.188,8611.0
5786.6816,4340.5005
8267.516,6318.5005
6020.091,6514.0005
6421.67,5983.0
8311.398,10087.0
8961.847,9730.0
7555.037,5709.0005
10583.6045,11435.0
10281.396,10093.0
8758.478,6721.0005
2885.892,7084.5
1659.9736,0.0
4379.445,3176.0
1956.835,14706.5
1729.542,2426.5
2404.8594,2393.0
2539.2852,3590.0
6567.398,1901.0
7209.062,3612.0
2131.5488,2398.5
1975.5059,1778.0
2193.8877,911.0
1434.4238,838.5
1655.8789,1643.5
1471.1279,3260.0005
3309.1958,3712.5005
1451.6016,1207.001
2002.0996,1263.001
1733.877,760.0
2029.8584,849.501
3471.668,2219.5
1863.7363,16.5
1820.3105,1699.5
2060.1191,905.501
4923.422,4775.5
2202.8926,1788.001
2207.2764,1638.001
2941.8096,939.0
3029.4204,2135.75
3693.9854,861.0
4142.059,2158.0
2351.0723,2023.5
3212.4746,2644.5005
3425.2295,2572.001
3000.3955,2231.0
3390.2378,2267.25
3155.1533,2113.0
2575.8623,2320.0
1846.2119,301.5
1323.998,1096.0
1731.9014,1045.0
1559.7422,1067.251
1629.6836,989.5
1551.3076,1084.5
1631.3496,994.5
2062.2354,497.00098
2191.0947,944.501
3010.9873,3639.5005
2239.0947,994.5
1644.1836,335.0
1125.5205,531.001
1202.79,794.001
1544.1357,234.50098
1601.5635,749.0
1259.3057,620.0
1154.2148,547.5
914.9121,164.25
1804.4395,1050.0
1605.3057,810.501
1448.3516,1023.0
1682.9102,1095.501
1426.7451,352.0
1323.9258,262.0
920.6299,256.5
852.5488,329.00098
983.9668,402.00098
887.6719,312.5
1256.4873,835.25
1418.1484,1062.0
1463.8447,1179.5
1765.8145,1042.25
1948.7656,1179.251
1962.3994,1615.5
1628.8359,961.0
1426.2617,413.5
1759.7471,972.5
1437.7129,905.501
1689.1016,492.00098
1685.8291,715.5
1773.6475,835.5
1504.6104,1308.0
1820.2803,1487.001
1696.4062,749.0
1916.5371,754.501
1578.5908,268.00098
1302.5791,1241.0
1680.4619,553.5
1682.1104,351.5
1071.3652,472.25
1451.8252,209.25
1048.7549,461.25
1404.2979,620.5
1496.3359,682.001
1365.3779,1224.001
1575.7285,1148.751
2449.0781,1881.251
1009.5957,1571.5
1900.9414,1082.001
2527.1807,418.5
1445.2441,357.0
1419.1465,413.25098
1436.6572,598.0
1527.9346,464.0
1495.2959,497.5
1285.4639,648.0
1178.8643,614.5
2531.9443,1045.5
2525.9756,203.50098
1569.8711,1520.5
1567.3076,1229.5
1420.8047,312.5
1246.7129,805.0
1727.8662,1755.5
2113.8662,983.501
