preds,trues
1668.4775,1336.001
1592.043,1364.0
1951.8018,1621.0
673.78906,1789.0
1896.3467,1106.5
1438.5977,1727.0
1155.3037,665.001
1424.0342,1319.001
1474.9746,849.501
6991.9473,5482.5
6771.5234,3497.25
5727.821,3785.25
3476.646,2856.7505
6375.751,9235.0
5620.2686,7702.25
10826.403,14418.5
4010.2622,4982.0
4745.488,3645.5
3354.2534,2907.5005
3084.0786,2348.001
6075.181,8270.0
2812.7334,3064.0
2766.4517,2169.5
3064.9595,3209.5
3754.7524,2946.5005
3459.398,3041.5
9768.022,9690.0
4061.642,8046.0
5840.125,8527.0
4165.079,3108.5005
2486.0225,1537.0
2838.8296,1918.0
3775.921,3511.5
3407.6846,2572.001
3043.5303,2874.0
4223.107,5468.5
6859.5645,3807.5005
3628.2456,3030.5
2650.5332,1364.0
2365.7988,2158.0
2968.6045,2913.0
2667.4443,3131.0005
5648.5796,3544.5005
2605.0889,1951.501
2962.0186,2326.0
3603.8716,4708.0005
6272.5625,7705.0
3772.7632,6911.0
4537.8506,3035.75
4092.9395,3919.75
4279.5913,2966.0
4779.5684,7713.5
5890.46,3028.0005
3134.9546,3503.0
3390.6118,2401.0
3081.0996,3642.5005
2898.7876,4870.5
4166.27,3544.5005
3936.3672,4575.0005
2965.2969,2639.0
3350.2847,2616.5
2359.1436,2862.5
3522.6333,3584.0
4317.505,10210.5
4416.059,5553.0
3991.3003,3791.0
3767.2642,3964.0
3794.6094,9506.0
9922.527,8740.0
12663.766,15618.0
10349.266,16909.5
6182.8467,7884.0
18763.406,15679.5
7415.2295,5820.5
9203.249,15685.0
2372.67,4104.25
3099.9531,4070.25
3452.2275,8248.0
2707.8237,3681.75
3727.329,9075.25
2747.331,3715.5005
4538.9814,2877.0005
4056.9346,3740.5
2901.731,2340.75
2961.4536,4280.2505
3117.9575,1157.0
1234.8467,1475.5
1784.3584,6469.5
1596.1357,3254.0
3495.0532,2812.5005
3382.8135,2382.001
3537.4077,2963.0005
1461.1553,2924.5005
2565.3477,3768.5005
6241.5303,5423.5
2616.9375,3842.0005
2694.291,3304.5
1701.8076,2784.5
2514.9238,4406.0
6100.624,4479.0
2421.3838,2656.0
2959.2358,3573.0
3224.5283,3763.0005
2390.4395,2438.001
2619.5645,3986.5
2185.0732,3483.5005
1981.1875,2734.0005
1489.3613,2169.5
2171.872,1970.75
1951.8232,1332.75
901.3838,1000.25
1037.9326,1500.75
3124.583,3265.0005
3306.8389,4666.0
1355.6709,3791.0
5672.62,5345.0
3180.2148,4853.5
6079.088,9945.0
2301.707,3550.5
1723.7598,2270.0
2363.6982,2216.751
1983.791,3743.0005
1927.2002,2317.501
2171.4668,3131.0005
1853.7773,2644.5005
4926.814,2320.5
1926.2373,2667.0
1718.5957,1627.0
1622.1973,2275.5
2717.92,1873.0
3172.995,1744.5
2101.3672,1101.0
1703.7861,2163.5
2558.0508,2622.5
1395.957,2429.0
1830.6426,1934.25
2501.415,3329.25
3504.5034,4445.0
2725.2837,3645.5
1855.4053,1945.5
1548.0684,1095.501
1549.3281,1296.5
1588.081,2560.5
831.56934,1560.001
1167.8047,2197.001
2332.3213,2493.5
407.53613,637.0
1206.7402,4724.5
5955.541,5647.5
6280.2163,5602.5
3118.7676,3466.5005
2555.8164,3108.5005
2159.0,2566.0
4910.754,5401.5005
5424.348,3885.5005
5410.942,6167.5005
2864.6323,3069.5
2173.8203,4462.0
5023.66,4853.0
5225.6807,5368.0
3291.7568,4915.0005
5934.3296,5876.5
3193.1958,4669.0
5991.6934,5764.5
9073.092,7951.5
2025.165,2009.751
3220.4214,5566.5
2545.7988,2074.0
2799.0576,3254.0
2753.644,3075.0005
2673.8086,2807.0005
4114.493,3283.0
3483.1323,3335.2505
3340.9287,2678.0005
3282.251,3774.0
4279.999,3198.5
3488.2734,6207.0
4110.835,4291.0005
3864.937,3500.0
6713.618,4747.0005
3972.877,3603.0
3927.0083,3042.0
6024.6504,4534.5
8181.3975,9852.5
5855.697,6030.75
3907.7183,5021.0
5717.8457,5860.0005
