preds,trues
1495.334,1229.5
1101.8877,0.0
2391.9707,2141.501
2535.6914,1428.5
1110.9277,570.25
757.2031,0.0
995.64844,553.001
5189.326,4059.5
2809.874,1750.001
1513.5107,1923.0
1482.4219,3069.5
1614.1729,765.5
960.8242,234.00098
497.50488,335.0
810.6592,296.0
950.84766,749.0
1443.6416,1632.0
3244.9438,3170.25
2349.4658,2423.75
1988.2129,671.0
1690.8359,2283.001
1369.2676,1241.0
1523.2441,1017.0
2273.8984,1889.5
5517.838,4299.5005
3170.1226,4853.5
3085.8833,3852.0
3185.3813,2471.5
1217.4521,805.0
1743.9443,1280.001
2690.3843,1655.001
3659.9258,3265.5
2366.2197,2393.0
1078.7051,894.5
990.7969,385.5
528.6035,0.0
13435.594,33534.5
16537.625,402.00098
1044.877,648.5
764.4121,827.5
777.4336,413.5
587.76465,217.5
784.1211,547.5
1037.2109,324.00098
771.90137,357.0
570.0703,11.0
629.1709,27.500977
626.4414,161.5
446.65625,0.0
418.51367,0.0
682.7051,413.5
888.5801,77.5
800.0469,150.5
457.43652,19.25
724.7412,319.0
965.7012,671.5
751.17773,357.0
655.249,78.0
446.97168,0.0
419.53027,8.0
428.3369,0.0
410.9004,0.0
359.9502,0.0
351.83398,0.0
337.54297,0.0
326.97656,0.0
317.71973,0.0
316.76562,0.0
316.65527,0.0
215.59082,0.0
396.06348,0.0
395.42773,0.0
363.07324,0.0
420.75586,0.0
367.0918,0.0
321.9209,0.0
1343.4795,0.0
426.70312,578.501
440.1797,229.0
686.91797,911.0
1301.8252,1224.001
1615.0967,720.501
1046.8057,827.0
956.4053,765.5
1465.7148,441.00098
469.69043,0.0
415.50098,1.0
436.39844,0.0
423.39648,0.0
417.60352,0.0
405.12598,0.0
399.1338,0.0
411.0625,60.75
384.9668,55.5
382.375,40.000977
373.34375,41.5
378.81543,309.75098
760.17285,1630.5
839.8418,556.501
539.97266,764.001
1219.3877,2040.5
1805.7031,2136.0
969.9375,569.75
476.91504,61.0
403.67383,89.0
452.08008,435.5
460.93457,145.0
621.3457,201.0
498.64062,156.0
389.37012,156.50098
400.1211,145.0
480.78125,363.00098
894.92773,866.0
802.9619,771.5
1899.791,1766.501
2299.9229,1699.5
1519.4932,486.0
1664.6748,1246.5
2646.3135,2107.5
2237.2607,3175.5
4014.065,4898.0005
3306.71,3030.5
2756.2266,2303.5
1565.9375,1616.001
1348.5996,2286.5
1385.0898,1515.0
801.9414,766.0
325.48145,598.0
237.93652,0.0
207.61523,0.0
2714.2046,2543.5
3275.1387,5977.0
3135.9932,4059.0
3663.395,6225.5
7553.423,2745.0
5087.272,2147.0
5173.061,4389.0
