preds,trues
3131.5312,2270.0
5117.9146,5163.5
3202.0107,3014.0005
2876.9028,3030.5
5495.3525,9047.5
5750.7476,6396.5
3249.812,4272.0
3585.8076,3036.0005
4836.116,4736.0005
6581.1006,5273.0
5672.2227,1142.75
11385.197,6712.5005
5060.785,5183.0
14033.422,14315.0
10186.556,9479.5
11440.611,10803.25
11057.447,13532.0
12362.254,13661.0
9533.317,7196.5
6787.01,8549.5
7251.6807,7822.5
10772.599,17007.75
18721.48,23441.5
18205.01,19085.0
17314.23,19493.5
18355.484,16107.5
17103.645,17212.0
7738.285,13493.0
11753.303,9422.0
8679.802,12022.5
1746.331,1993.25
2821.838,3852.0
5150.4683,3399.5
4169.86,3437.0005
11608.225,9371.5
3646.6245,3914.0005
10700.779,12623.75
9813.773,6139.5005
5292.1963,6989.5
6512.2544,4931.5
3528.4634,2790.0005
2694.4023,2273.0
2852.7046,2376.0
1770.8633,2180.5
2513.3545,2191.5
2850.0938,2876.75
3219.272,3192.5
4966.364,9388.5
8920.239,7660.5
3991.9805,5127.5
3316.4004,3776.5005
6729.1504,5524.0005
3782.7622,5.5009766
6986.5806,5720.0005
8708.798,10244.0
6750.8984,3618.0005
6137.4253,13057.0
16514.19,14186.5
4464.6694,9148.0
10963.173,6159.0005
9826.257,12514.5
7808.994,9948.0
8823.632,6458.5005
484.12988,223.5
540.53516,1101.0
421.5957,1436.5
305.90723,2.75
292.9922,0.0
294.43164,0.0
294.52832,0.0
294.53516,0.0
641.6738,86.5
292.49902,0.0
1726.7734,4260.5005
3932.9346,3106.0005
1633.4795,251.00098
50549.793,54107.5
35858.285,27786.0
39955.746,59661.0
40722.8,35349.0
32831.277,23978.0
42841.254,29833.0
30154.941,28093.5
23075.082,26511.25
23722.777,25283.75
25672.05,22513.0
17022.775,19823.0
13089.019,17058.0
22271.98,22955.0
20687.262,15881.0
6465.2954,14216.75
8289.93,14471.5
7023.331,8711.5
3729.1826,1817.0
2158.497,1850.5
4648.5,4204.5005
2131.2725,1531.5
2780.4536,2359.0
1982.1494,3299.0005
8041.622,4026.0005
6659.9336,9014.0
2739.4873,2314.5
2540.8809,1716.0
1550.1406,1514.5
1810.0234,1442.0
1825.5654,1123.5
