preds,trues
7907.2197,6313.0
19044.46,12201.0
14376.562,9617.5
7933.8643,11927.0
33517.387,40821.0
18116.045,18017.5
21631.545,25622.0
17331.107,10048.5
6774.262,6592.5
13341.025,15125.5
6896.2236,5943.5
6712.168,3821.0
5631.3823,6866.5
9275.719,11821.0
13684.403,18760.5
13351.607,11279.0
12721.596,8443.0
6375.734,3550.5
4990.3228,4132.0
5272.075,6318.5005
11428.465,8261.0
8772.345,9344.0
12031.457,13381.5
6536.6865,4758.5
7210.148,7224.5
4496.882,5099.5
7034.292,6944.75
13853.893,11673.0
6503.0977,5686.75
5979.2344,4691.2505
4027.81,4026.0005
4694.265,4246.75
4986.61,3503.0
5897.195,6855.5
4420.5127,3190.0
4802.375,4523.75
7612.3057,8963.0
9690.046,7772.0
1977.3281,1481.0
2187.3184,7162.0
7140.01,6782.75
4715.5776,3173.25
5666.2314,12161.75
6513.094,5507.5
7481.539,9934.0
9302.666,6995.25
4803.9263,3620.5
3802.5063,2225.251
4766.958,4045.2505
4228.211,2787.0005
8926.004,6251.0
3540.582,3259.25
5642.993,5574.5
4411.8325,4434.0
3759.585,3265.0005
6126.035,5558.0
4704.5654,3008.0
4864.274,5636.0005
8155.4336,10658.0
9844.799,9360.5
13027.859,16658.0
4923.5415,2885.0005
6059.892,7325.0
5507.9077,7850.5
11399.179,10367.5
4138.7725,3075.0005
8988.746,7330.5
10681.795,11200.5
24011.406,19585.75
24493.77,24456.25
27223.367,28711.75
26343.578,41375.0
14275.356,12469.5
15864.405,19469.0
16165.82,12293.25
7959.8613,7106.5
10869.874,11016.0
12150.31,11921.5
9283.858,9399.5
10816.554,7437.0
6828.3076,7543.0
10776.708,9726.0
8023.2236,10507.0
2692.371,3265.0005
3607.084,4025.5005
7037.662,9355.0
8542.4,7582.0
5420.391,6352.0
7529.7124,7560.0
7980.6084,8163.5
7652.714,3630.0005
5009.2676,9041.5
5810.0366,3617.5005
5416.865,6274.0
5765.3394,6726.5
9661.246,9500.5
6726.427,7135.0
9049.885,10322.5
11727.106,12369.0
7187.1045,8622.5
2775.33,3092.0005
11307.766,12928.0
10475.643,10406.0
14062.656,13107.5
11927.158,15405.5
15626.46,15914.5
4249.5913,4775.0005
10302.843,9321.0
8035.507,8035.25
8140.409,8734.5
8678.0205,7018.75
2938.766,4265.75
4562.1084,4850.2505
4639.4775,4534.75
2868.916,771.25
709.64355,136.5
3299.6714,2199.751
4634.1455,2040.5
6628.0967,6795.5
11110.255,12251.5
12023.807,10591.0
10836.386,11480.0
9974.331,11921.5
8250.33,9131.0
6872.8076,8723.0
4998.764,3030.0
4779.6323,5586.0
2308.7354,1593.5
9591.895,8381.75
3226.0928,4187.75
2209.1924,1752.5
6923.295,3751.75
5371.7705,6726.5
3257.9717,2784.0
3028.1382,3645.5
4488.5786,4624.0005
1568.3574,1912.0
1522.084,2472.0
1462.3174,1252.0
1883.0645,1067.5
2818.251,3528.0
2725.998,2471.5
1661.2578,368.25
1247.3984,100.50098
3418.6465,2054.5
2890.5469,2611.0
1462.0938,1196.5
3579.3843,3276.5005
3787.374,3310.2505
2228.4307,1355.251
1150.0771,729.501
