preds,trues
1301.0254,1229.5
30779.91,28306.5
23114.75,18050.5
17587.238,13711.0
32311.383,34899.5
19915.205,22451.5
32318.652,36236.0
27856.68,43902.5
30703.516,38268.0
33058.723,29268.0
15793.945,12011.0
20494.9,23692.5
15826.03,28826.5
21309.703,15176.0
26946.693,23486.0
31871.273,28166.0
21656.848,21142.5
19383.025,11027.0
22434.375,20673.0
20745.385,19655.5
19331.172,21652.0
16684.84,8974.5
14822.216,18990.0
17398.635,16647.0
12348.757,14360.0
12580.49,13213.5
12482.362,13090.5
11630.668,7521.0
6235.24,5379.0
11336.252,7140.5
5913.0884,5284.0
4272.7114,4775.0005
4398.7715,2723.0
2720.0215,3047.0
2158.4053,2119.0
3036.4248,3382.5
8310.329,5709.0005
9539.801,12687.5
10808.595,8611.0
5418.106,4340.5005
7937.6753,6318.5005
5655.779,6514.0005
6023.9043,5983.0
8012.9463,10087.0
8785.738,9730.0
7228.6787,5709.0005
10239.505,11435.0
9974.622,10093.0
8547.5,6721.0005
2961.3076,7084.5
1425.1035,0.0
4395.1763,3176.0
1792.2988,14706.5
1677.1494,2426.5
2354.6729,2393.0
2576.3232,3590.0
5897.9424,1901.0
6647.965,3612.0
2063.038,2398.5
1840.3418,1778.0
1939.1611,911.0
1109.4482,838.5
1311.6279,1643.5
1149.1855,3260.0005
3228.4,3712.5005
1431.5752,1207.001
1767.4863,1263.001
1338.4492,760.0
1734.6885,849.501
3352.5156,2219.5
1584.875,16.5
1512.4023,1699.5
1797.7275,905.501
4753.626,4775.5
1910.5391,1788.001
1948.2686,1638.001
2987.899,939.0
2830.6929,2135.75
3580.583,861.0
3981.749,2158.0
2028.4336,2023.5
3089.5679,2644.5005
3422.9805,2572.001
2801.6309,2231.0
3228.3394,2267.25
2954.3057,2113.0
2342.4502,2320.0
1413.0605,301.5
829.0586,1096.0
1362.7539,1045.0
1206.9297,1067.251
1261.2793,989.5
1092.8047,1084.5
1234.9619,994.5
1774.3604,497.00098
1956.2852,944.501
2790.274,3639.5005
1943.7715,994.5
1162.0527,335.0
669.6406,531.001
901.6094,794.001
1053.0693,234.50098
1205.7021,749.0
851.23535,620.0
806.5996,547.5
540.9072,164.25
1531.708,1050.0
1137.8164,810.501
944.4287,1023.0
1244.7422,1095.501
945.6748,352.0
814.5088,262.0
516.1416,256.5
