preds,trues
1305.3105,1336.001
1230.415,1364.0
1681.9062,1621.0
460.4502,1789.0
1638.0947,1106.5
1097.9473,1727.0
839.0879,665.001
1124.9463,1319.001
1207.8467,849.501
6491.6694,5482.5
6331.6387,3497.25
5084.566,3785.25
3461.9697,2856.7505
5759.1406,9235.0
5938.3345,7702.25
10498.478,14418.5
4227.919,4982.0
4968.282,3645.5
3329.1216,2907.5005
3036.4897,2348.001
5445.14,8270.0
2801.9346,3064.0
2654.4102,2169.5
2938.586,3209.5
3748.0405,2946.5005
3418.8975,3041.5
9256.686,9690.0
4285.472,8046.0
5302.2773,8527.0
4168.4414,3108.5005
2360.4307,1537.0
2707.6255,1918.0
3786.3022,3511.5
3404.7207,2572.001
2932.4175,2874.0
4272.6143,5468.5
6368.192,3807.5005
3674.918,3030.5
2540.8594,1364.0
2150.1592,2158.0
2921.4136,2913.0
2564.2598,3131.0005
4906.6724,3544.5005
2489.9268,1951.501
2837.647,2326.0
3609.7163,4708.0005
5682.9917,7705.0
3935.8843,6911.0
4743.481,3035.75
4224.4507,3919.75
4401.7725,2966.0
4882.1836,7713.5
5363.5156,3028.0005
3122.2656,3503.0
3384.6147,2401.0
3003.208,3642.5005
2892.8735,4870.5
4335.5864,3544.5005
4077.3652,4575.0005
2885.5518,2639.0
3288.705,2616.5
2190.2236,2862.5
3502.037,3584.0
4435.055,10210.5
4721.4844,5553.0
4059.6787,3791.0
3870.481,3964.0
3897.4058,9506.0
9433.648,8740.0
12378.355,15618.0
10294.863,16909.5
5917.2114,7884.0
17940.922,15679.5
7388.896,5820.5
8924.392,15685.0
2290.7207,4104.25
2973.309,4070.25
3381.0518,8248.0
2665.6802,3681.75
3789.683,9075.25
2683.0552,3715.5005
4544.5083,2877.0005
4136.6196,3740.5
2783.4824,2340.75
2959.6978,4280.2505
3057.5552,1157.0
830.6406,1475.5
1475.4531,6469.5
1330.3398,3254.0
3525.9038,2812.5005
3484.9043,2382.001
3712.1528,2963.0005
1375.585,2924.5005
2556.4766,3768.5005
5865.9463,5423.5
2704.7437,3842.0005
2777.1255,3304.5
1639.0527,2784.5
2581.3906,4406.0
5570.73,4479.0
2312.7295,2656.0
2853.8608,3573.0
3213.4531,3763.0005
2353.0254,2438.001
2556.6572,3986.5
2180.8838,3483.5005
1938.1836,2734.0005
1376.6729,2169.5
2223.7148,1970.75
1850.8262,1332.75
673.29297,1000.25
813.0996,1500.75
3165.123,3265.0005
3566.706,4666.0
1297.291,3791.0
5212.687,5345.0
3253.0737,4853.5
5632.969,9945.0
2454.0488,3550.5
1554.3535,2270.0
2375.6064,2216.751
1950.9922,3743.0005
1891.0391,2317.501
2153.2578,3131.0005
1849.6992,2644.5005
4359.3657,2320.5
1854.7041,2667.0
1684.0742,1627.0
1332.2607,2275.5
2527.747,1873.0
3036.0977,1744.5
1922.5088,1101.0
1475.1758,2163.5
2596.5156,2622.5
1079.4111,2429.0
1545.7305,1934.25
2325.5215,3329.25
3638.2358,4445.0
2729.3726,3645.5
1754.5547,1945.5
1395.4512,1095.501
1383.9307,1296.5
1518.7705,2560.5
672.91797,1560.001
996.0078,2197.001
2325.4805,2493.5
367.96484,637.0
947.2793,4724.5
5371.058,5647.5
5802.7383,5602.5
3269.2607,3466.5005
2570.4385,3108.5005
2066.4062,2566.0
4236.1147,5401.5005
4812.656,3885.5005
4766.6787,6167.5005
2925.1099,3069.5
2115.294,4462.0
4428.2466,4853.0
4686.842,5368.0
3425.7969,4915.0005
5427.21,5876.5
3340.7637,4669.0
5501.252,5764.5
8842.71,7951.5
2143.046,2009.751
3229.4844,5566.5
2300.875,2074.0
2552.8232,3254.0
2565.5645,3075.0005
2445.7861,2807.0005
4056.873,3283.0
3398.1348,3335.2505
3225.295,2678.0005
3152.9731,3774.0
4283.1133,3198.5
3395.7622,6207.0
4145.3125,4291.0005
3836.2158,3500.0
6094.253,4747.0005
3947.7114,3603.0
3841.9268,3042.0
5234.6094,4534.5
7728.7207,9852.5
5354.38,6030.75
4013.6265,5021.0
5040.6724,5860.0005
