preds,trues
1312.6426,1229.5
807.2412,0.0
2375.4736,2141.501
2540.5234,1428.5
790.51855,570.25
523.1836,0.0
723.2832,553.001
5065.51,4059.5
2764.4556,1750.001
1182.001,1923.0
1296.207,3069.5
1336.8057,765.5
594.0947,234.00098
453.39746,335.0
562.6074,296.0
607.49023,749.0
1256.8809,1632.0
3401.503,3170.25
2316.6396,2423.75
1807.7354,671.0
1560.3672,2283.001
1183.3418,1241.0
1271.9844,1017.0
2329.503,1889.5
5097.25,4299.5005
3267.6377,4853.5
3108.9497,3852.0
3185.641,2471.5
844.45703,805.0
1600.9932,1280.001
2767.8184,1655.001
3830.0093,3265.5
2204.3613,2393.0
518.97266,894.5
680.81836,385.5
373.44824,0.0
12433.38,33534.5
16506.273,402.00098
559.9326,648.5
468.29492,827.5
467.0293,413.5
391.89062,217.5
510.69043,547.5
688.6074,324.00098
483.0957,357.0
427.74805,11.0
440.88574,27.500977
449.68652,161.5
381.25195,0.0
353.33984,0.0
491.38672,413.5
565.93066,77.5
502.17188,150.5
378.4756,19.25
504.23242,319.0
671.3174,671.5
496.12402,357.0
461.98242,78.0
369.29492,0.0
345.83984,8.0
351.95605,0.0
323.60352,0.0
271.98242,0.0
266.08105,0.0
238.41211,0.0
219.08301,0.0
201.95898,0.0
200.87695,0.0
200.68457,0.0
127.0625,0.0
176.9707,0.0
245.25684,0.0
260.33594,0.0
290.88672,0.0
236.35938,0.0
205.6377,0.0
718.2832,0.0
344.00488,578.501
326.79102,229.0
486.3457,911.0
1096.3145,1224.001
1434.2324,720.501
714.90625,827.0
666.3115,765.5
1174.0117,441.00098
373.1455,0.0
364.83984,1.0
384.82617,0.0
379.88965,0.0
373.00586,0.0
365.79102,0.0
348.7666,0.0
361.66992,60.75
328.61426,55.5
307.68262,40.000977
295.9004,41.5
303.84766,309.75098
535.30273,1630.5
511.22266,556.501
408.3418,764.001
1058.669,2040.5
1637.5615,2136.0
690.8281,569.75
400.73438,61.0
345.38086,89.0
410.2422,435.5
378.60547,145.0
447.4131,201.0
352.34668,156.0
261.1494,156.50098
272.74707,145.0
351.50293,363.00098
527.6914,866.0
469.01562,771.5
1920.9287,1766.501
2350.003,1699.5
1090.2227,486.0
1419.5449,1246.5
2646.1963,2107.5
2096.1885,3175.5
4164.1772,4898.0005
3431.4214,3030.5
2837.5117,2303.5
1311.5469,1616.001
1158.9072,2286.5
1169.4639,1515.0
499.44336,766.0
158.97168,598.0
79.418945,0.0
112.09082,0.0
2848.4385,2543.5
3636.8584,5977.0
3232.6128,4059.0
3939.7998,6225.5
7374.957,2745.0
4839.041,2147.0
5488.491,4389.0
4491.397,5815.25
4528.1997,4495.0005
4557.9766,6984.0
9755.937,11178.25
3758.395,2258.75
354.3916,2550.501
1025.3467,25.0
234.9834,0.0
96.83887,0.0
158.39844,89.0
100.12402,715.0
127.9668,0.0
113.1709,0.0
47.22168,0.0
76.37305,0.0
154.74707,0.0
127.05762,0.0
62.41992,0.0
79.29297,0.0
51.416992,0.0
147.0664,0.0
221.27637,0.0
113.05664,0.0
83.76074,0.0
90.646484,0.0
114.0332,0.0
186.06055,0.0
171.98047,0.0
179.15137,1.5009766
274.53418,0.0
914.499,0.0
495.90332,0.0
1501.5596,0.0
1009.5381,0.0
750.49316,0.0
519.4365,0.0
645.21094,0.0
952.85547,0.0
1093.1543,0.0
837.74316,0.0
1225.9297,0.0
1004.8662,0.0
850.9258,0.0
836.0664,0.0
1081.4014,0.0
1065.7949,0.0
1104.5869,0.0
1031.8545,5.0
972.78613,0.0
741.56445,0.0
1488.8223,0.0
1041.3828,0.0
892.7871,0.0
903.4541,0.0
756.9326,0.0
718.4326,0.0
1292.8496,0.0
581.3047,0.0
457.0166,0.0
1172.3916,0.0
1090.0654,0.0
689.7637,0.0
433.5713,0.0
415.17773,0.0
291.13965,0.0
229.88574,0.0
309.89453,0.0
182.63281,0.0
78.990234,0.0
-13.800781,0.0
263.60254,0.0
413.11035,0.0
211.90137,0.0
294.72754,0.0
656.22754,0.0
185.65625,0.0
501.1084,0.0
482.16797,0.0
604.0615,0.0
331.64844,0.0
249.78125,0.0
29.710938,0.0
85.103516,0.0
133.03711,0.0
155.21484,0.0
151.60449,0.0
293.3789,0.0
294.81445,0.0
321.09082,0.0
467.29492,0.0
426.4043,0.0
337.2041,0.0
395.87793,0.0
396.28027,0.0
386.2119,0.0
437.73242,0.0
357.2705,0.0
278.79297,0.0
420.33984,0.0
531.5586,0.0
817.9824,0.0
684.4033,0.0
493.2998,0.0
512.6719,0.0
389.23242,0.0
352.65234,0.0
324.88086,0.0
349.38965,0.0
402.11426,0.0
384.65625,0.0
384.58496,0.0
391.792,0.0
530.7998,0.0
613.75195,0.0
404.70215,0.0
339.49805,0.0
311.33008,0.0
270.63574,0.0
339.77344,0.0
341.84766,0.5
393.58984,0.0
689.33203,0.0
644.4365,0.0
648.4873,0.0
718.9512,0.0
678.3115,0.0
607.3545,0.0
836.3047,0.0
1043.2568,0.0
605.29395,0.0
133.68164,0.0
177.83008,0.0
190.39453,0.0
186.31543,0.0
188.8252,0.0
127.21094,0.0
191.73535,0.0
147.58789,0.0
129.30469,0.0
81.15918,0.0
296.79297,0.0
-242.24414,0.0
3.9716797,0.0
-19.64746,0.0
55.918945,0.0
145.6748,0.0
101.05176,1.75
355.41504,0.0
274.0869,0.0
522.8281,0.0
500.84473,0.0
139.55273,0.0
199.64453,0.0
643.50684,0.0
17.396484,0.0
