preds,trues
2965.521,2270.0
5239.5586,5163.5
3082.0474,3014.0005
2755.3677,3030.5
5873.012,9047.5
6141.6455,6396.5
3090.9048,4272.0
3299.8706,3036.0005
4200.63,4736.0005
6892.093,5273.0
6095.926,1142.75
11097.662,6712.5005
4785.775,5183.0
13906.023,14315.0
10236.834,9479.5
11976.406,10803.25
11372.557,13532.0
13029.55,13661.0
9607.685,7196.5
7077.63,8549.5
7223.827,7822.5
11369.023,17007.75
19114.676,23441.5
19077.59,19085.0
18377.504,19493.5
19204.418,16107.5
17905.37,17212.0
8186.0215,13493.0
12130.395,9422.0
8731.046,12022.5
2352.5732,1993.25
2676.1235,3852.0
5439.268,3399.5
3619.2173,3437.0005
11754.509,9371.5
3578.604,3914.0005
10741.771,12623.75
10273.992,6139.5005
5709.38,6989.5
6870.6704,4931.5
3261.4434,2790.0005
2559.879,2273.0
2655.146,2376.0
1920.2617,2180.5
2383.1719,2191.5
2620.668,2876.75
2842.0479,3192.5
4164.1353,9388.5
8628.663,7660.5
3710.7622,5127.5
3159.0356,3776.5005
6804.335,5524.0005
3656.4717,5.5009766
6918.0825,5720.0005
8199.228,10244.0
6916.96,3618.0005
6170.99,13057.0
17316.25,14186.5
4323.32,9148.0
11227.027,6159.0005
10298.117,12514.5
8250.496,9948.0
8677.085,6458.5005
1225.6201,223.5
1020.4629,1101.0
847.0117,1436.5
584.20605,2.75
519.8408,0.0
522.02344,0.0
522.2256,0.0
522.249,0.0
982.5322,86.5
407.25195,0.0
2084.8457,4260.5005
3684.3027,3106.0005
1925.7598,251.00098
48177.523,54107.5
34230.176,27786.0
38760.855,59661.0
38370.586,35349.0
31688.145,23978.0
41524.367,29833.0
29352.914,28093.5
22564.734,26511.25
22944.021,25283.75
25351.68,22513.0
17745.234,19823.0
12902.962,17058.0
21907.605,22955.0
20029.898,15881.0
6612.6763,14216.75
8316.619,14471.5
7395.243,8711.5
3533.2817,1817.0
2215.9219,1850.5
4049.0635,4204.5005
2290.1143,1531.5
2735.9756,2359.0
2096.7354,3299.0005
8179.9824,4026.0005
6755.2603,9014.0
2708.0332,2314.5
2506.0547,1716.0
1713.165,1514.5
1943.9111,1442.0
1982.6631,1123.5
