preds,trues
8350.009,6313.0
19436.309,12201.0
14425.547,9617.5
8288.345,11927.0
33106.27,40821.0
18419.645,18017.5
20807.602,25622.0
18257.168,10048.5
7002.3125,6592.5
13685.072,15125.5
6518.193,5943.5
7078.9346,3821.0
5989.1274,6866.5
9021.248,11821.0
13856.489,18760.5
13447.471,11279.0
12781.437,8443.0
6521.2847,3550.5
4224.576,4132.0
4672.805,6318.5005
11628.988,8261.0
8531.807,9344.0
12504.886,13381.5
6753.506,4758.5
7393.481,7224.5
4074.8823,5099.5
7306.914,6944.75
14080.438,11673.0
7035.359,5686.75
6556.966,4691.2505
3962.0405,4026.0005
4568.732,4246.75
4569.68,3503.0
6093.384,6855.5
4226.185,3190.0
4403.0005,4523.75
7997.5283,8963.0
9558.86,7772.0
2306.5215,1481.0
2342.8838,7162.0
7347.8535,6782.75
4320.297,3173.25
5976.95,12161.75
6878.1504,5507.5
7653.449,9934.0
9185.786,6995.25
4582.404,3620.5
3697.2222,2225.251
4514.7373,4045.2505
4113.5054,2787.0005
9300.941,6251.0
3546.2563,3259.25
6464.013,5574.5
4190.981,4434.0
3847.442,3265.0005
6737.918,5558.0
4469.4214,3008.0
4380.948,5636.0005
8144.133,10658.0
9752.205,9360.5
13277.093,16658.0
4339.1987,2885.0005
6299.903,7325.0
6116.482,7850.5
11752.308,10367.5
4069.9775,3075.0005
9120.002,7330.5
11182.347,11200.5
23797.475,19585.75
24791.756,24456.25
27574.723,28711.75
25947.21,41375.0
14067.916,12469.5
16199.154,19469.0
16974.855,12293.25
7957.38,7106.5
11535.301,11016.0
12326.627,11921.5
9191.905,9399.5
10759.628,7437.0
7286.962,7543.0
11579.396,9726.0
8321.27,10507.0
2656.7017,3265.0005
3134.7358,4025.5005
6847.6006,9355.0
8365.207,7582.0
5826.607,6352.0
7459.5493,7560.0
7826.727,8163.5
7703.125,3630.0005
5265.245,9041.5
5990.342,3617.5005
5669.293,6274.0
6197.3076,6726.5
9865.878,9500.5
6878.2197,7135.0
8612.474,10322.5
11830.941,12369.0
7412.8916,8622.5
2792.3267,3092.0005
10761.264,12928.0
11281.193,10406.0
14648.048,13107.5
12061.895,15405.5
15919.561,15914.5
3820.0684,4775.0005
10218.109,9321.0
7859.1387,8035.25
8142.1064,8734.5
8312.457,7018.75
2909.253,4265.75
4086.7422,4850.2505
4003.4292,4534.75
2888.3516,771.25
1319.1445,136.5
2969.6543,2199.751
4873.7686,2040.5
6631.612,6795.5
11320.686,12251.5
12884.553,10591.0
11372.356,11480.0
9815.406,11921.5
8149.744,9131.0
7270.3735,8723.0
5301.5283,3030.0
5234.9624,5586.0
2683.4766,1593.5
9354.633,8381.75
3323.0571,4187.75
2392.1416,1752.5
6921.003,3751.75
4730.5527,6726.5
3346.1562,2784.0
2855.873,3645.5
3879.13,4624.0005
2005.8203,1912.0
1789.7451,2472.0
1619.8154,1252.0
1951.3818,1067.5
2511.6172,3528.0
2576.6992,2471.5
1940.8789,368.25
1646.3545,100.50098
2946.0513,2054.5
2684.6924,2611.0
1778.9404,1196.5
3145.6685,3276.5005
3560.058,3310.2505
2307.0889,1355.251
1620.4795,729.501
1837.6982,3422.0
1498.1865,1158.0
1457.1592,883.0
1110.4258,653.5
1252.7715,1906.5
1574.1934,1143.0
1235.2012,631.0
1378.5869,732.0
1900.2529,1520.5
1376.3486,603.5
1520.6504,1067.5
1130.5039,200.5
901.4883,508.5
931.5615,441.00098
803.4824,284.5
1020.876,469.0
1458.7051,301.5
1603.6084,480.00098
2093.0908,1560.001
1897.0264,968.5
2130.1943,3617.5005
4892.798,5653.0005
5236.3027,2616.5
12514.887,9657.0
11328.638,9897.5
8697.399,6642.5
8589.83,6329.5
3842.4111,3813.0
3055.082,1794.25
2099.9775,2789.5
2579.461,2158.0
2397.9932,2046.501
3018.2422,1665.5
1753.8447,928.0
2746.1768,1889.5
1574.5186,866.0
1652.3379,1467.5
2627.6133,816.0
1961.8945,2186.0
4958.142,3673.5005
2421.4092,3987.5005
1633.4131,2080.0
2170.6777,2158.0
5321.5,2326.0
3210.9526,2270.0
2708.0054,3371.5005
2586.2656,3494.5
2233.9785,1649.5
2312.586,2208.5
1721.46,3802.0005
1470.706,7436.5
2111.2432,720.501
3101.0098,1747.0
1929.0527,178.75
1757.4492,682.001
2535.7998,4551.5
3254.475,8645.0
9060.622,14102.5
18956.725,21758.0
18148.988,14102.5
15914.828,13862.0
16312.317,16149.0
21389.812,23983.5
21582.09,24738.25
18295.27,18831.75
13872.713,7515.0
3209.3257,6922.25
3332.8306,3662.5
2695.8071,4149.0
2907.8682,2532.5
2097.667,1766.501
2145.8574,1498.5
2105.0752,2398.5
2749.9834,2723.0
2592.7842,3712.5005
3247.0327,2493.5
5657.5786,5575.0
4220.8154,3500.0
6032.1655,4607.0005
4967.669,5400.0
3973.2617,5944.0005
6639.058,4014.5
2494.125,1118.0
4775.724,14086.0
14251.715,11608.5
7784.593,7906.5
6922.0596,1344.75
3078.9243,2.75
1968.9375,2343.0
1816.5215,2342.5
2560.4395,1682.5
2008.2686,2465.5
3079.876,8080.0
6542.1123,3366.0
2351.4521,3970.0005
3992.2466,4529.0
6592.76,5216.5005
5904.7954,4758.0005
6106.8345,5038.0
6136.9214,5843.0
3880.5034,5463.5005
9681.092,9987.0
10567.843,10495.5
6665.62,4277.5005
2219.0635,1447.5
1864.876,1789.0
2890.2227,1616.001
778.8096,0.0
704.1123,0.0
514.77344,0.0
26.361328,0.0
52.948242,33.0
86.8291,13.75
5911.5405,4733.25
7042.287,6111.5005
9231.999,28133.0
15227.176,17625.5
10083.435,8292.5
14134.521,14986.0
14235.125,15618.0
15641.087,15629.5
14726.822,15019.5
17612.424,15248.5
14055.193,16747.5
18388.56,16060.0
12503.68,11754.0
13943.002,14080.5
20646.348,9042.0
8691.082,8991.5
14340.023,14153.0
14798.614,13644.0
15388.205,16730.5
12656.128,11513.5
10521.412,12687.5
15627.992,11222.5
11807.8,12086.75
9532.268,8499.75
16473.916,19661.0
18963.203,17983.5
16100.422,13877.5
13958.501,9707.5
12420.082,10342.0
13811.708,17762.25
18994.5,18634.5
14300.993,15601.25
15469.114,13495.75
39302.65,37046.5
10111.5625,7906.5
19738.898,15355.0
6805.2324,2712.0
2622.7686,2118.5
3543.1626,3983.5
6243.2344,3785.0005
4231.2964,3391.2505
3558.4229,3981.0005
12406.948,22289.5
10482.398,12028.0
17636.545,12632.0
13630.906,8108.0
9167.372,7839.5
10137.927,5106.0
11814.88,9780.0
6773.6475,6078.0
15223.426,20391.0
6833.8765,2563.25
6160.898,6083.25
6937.894,12738.0
29246.805,20270.5
22974.781,28686.0
24867.764,37818.0
13907.141,11144.5
13291.568,22166.5
21703.281,19896.0
21005.674,32092.0
40198.465,19473.0
40056.28,38813.5
48262.645,49779.5
31223.027,39507.0
33434.156,29044.5
18128.76,21640.5
11654.5205,20947.5
34932.527,27635.0
41342.688,49997.5
40322.85,40240.0
17888.553,24213.0
59015.516,57289.5
50797.51,35346.75
6631.097,3681.75
4023.561,2063.0
3854.9775,4887.0005
7506.581,4411.5005
6395.526,5018.0005
4439.981,2806.5
17349.008,8622.5
14305.844,18942.25
40353.492,43485.5
