preds,trues
1509.7344,1229.5
30062.426,28306.5
22105.127,18050.5
17687.395,13711.0
32482.61,34899.5
18858.816,22451.5
31700.059,36236.0
26780.688,43902.5
29102.316,38268.0
31846.559,29268.0
14561.158,12011.0
19820.332,23692.5
14771.128,28826.5
20264.365,15176.0
26649.865,23486.0
31738.027,28166.0
21264.781,21142.5
19425.938,11027.0
22296.691,20673.0
20314.457,19655.5
19238.156,21652.0
16983.691,8974.5
14828.798,18990.0
17925.904,16647.0
12840.658,14360.0
12762.902,13213.5
12909.102,13090.5
12059.395,7521.0
5498.0996,5379.0
11710.316,7140.5
6347.344,5284.0
3905.0903,4775.0005
4072.8042,2723.0
2639.6123,3047.0
2254.4912,2119.0
2704.2217,3382.5
8273.402,5709.0005
10214.338,12687.5
11396.636,8611.0
5843.6094,4340.5005
8074.1865,6318.5005
6122.2886,6514.0005
6472.413,5983.0
8092.5537,10087.0
8751.226,9730.0
7454.9707,5709.0005
10901.892,11435.0
10570.096,10093.0
8574.248,6721.0005
2781.1304,7084.5
1664.8984,0.0
3960.5088,3176.0
1919.6943,14706.5
1629.1406,2426.5
2246.2842,2393.0
2323.7441,3590.0
6528.077,1901.0
7051.3364,3612.0
1993.4648,2398.5
1845.6318,1778.0
2087.2588,911.0
1378.0215,838.5
1515.3838,1643.5
1378.2617,3260.0005
3111.3018,3712.5005
1382.6904,1207.001
1910.0635,1263.001
1634.5195,760.0
1886.0049,849.501
3155.7217,2219.5
1840.001,16.5
1736.1602,1699.5
1959.082,905.501
4788.515,4775.5
2248.5283,1788.001
2291.5107,1638.001
2850.567,939.0
3090.5981,2135.75
3549.5122,861.0
3890.3071,2158.0
2334.709,2023.5
3007.3198,2644.5005
3287.873,2572.001
3032.129,2231.0
3211.4424,2267.25
3034.1592,2113.0
2517.3438,2320.0
1822.3057,301.5
1246.8662,1096.0
1647.2285,1045.0
1515.6094,1067.251
1586.3164,989.5
1523.9893,1084.5
1536.8096,994.5
2000.8926,497.00098
2080.7637,944.501
2872.377,3639.5005
2185.0254,994.5
1586.8047,335.0
1023.9199,531.001
1167.6768,794.001
1480.3672,234.50098
1482.3857,749.0
1147.7363,620.0
1041.1582,547.5
845.4629,164.25
1732.7363,1050.0
1621.0127,810.501
1474.0859,1023.0
1713.5469,1095.501
1408.3604,352.0
1287.3438,262.0
892.5029,256.5
762.6211,329.00098
908.2422,402.00098
816.9707,312.5
1150.1318,835.25
1320.1807,1062.0
1393.21,1179.5
1657.999,1042.25
1862.3418,1179.251
1979.7871,1615.5
1678.5479,961.0
1384.3555,413.5
1622.6084,972.5
1445.4209,905.501
1618.7676,492.00098
1600.377,715.5
1705.7344,835.5
1418.0068,1308.0
1813.7568,1487.001
1732.0557,749.0
1996.6826,754.501
1713.666,268.00098
1408.8613,1241.0
1909.0918,553.5
1687.6396,351.5
1092.6182,472.25
1429.1582,209.25
1194.6523,461.25
1476.7764,620.5
1466.7598,682.001
1547.6709,1224.001
1678.0557,1148.751
2388.083,1881.251
1185.8496,1571.5
2183.4482,1082.001
2580.6445,418.5
1575.2676,357.0
1392.5996,413.25098
1491.9688,598.0
1618.8232,464.0
1579.8975,497.5
1312.0596,648.0
1276.832,614.5
2409.6113,1045.5
2606.419,203.50098
1696.5703,1520.5
1829.8145,1229.5
1488.5781,312.5
1222.2949,805.0
1806.0869,1755.5
2119.9814,983.501
1849.8213,1541.0
2955.4077,726.0
3375.5898,2829.0005
2382.165,1386.0
1982.249,944.501
1269.416,273.5
1056.54,446.75098
1077.834,1034.0
1240.7822,1638.001
1897.1562,984.5
1708.8408,877.5
1817.4424,905.501
1475.4463,1148.5
1463.54,648.0
2186.331,654.5
1757.4424,726.5
1431.0459,223.5
1110.6143,285.0
836.708,192.25
840.7383,401.75
797.88477,145.0
627.7637,167.0
766.03906,167.5
624.499,256.5
794.4297,329.5
1141.0498,642.5
1344.8721,385.5
1086.9795,145.0
1206.6846,307.50098
14884.068,19868.5
24103.469,26371.5
7670.006,6346.5005
12066.461,7707.5
3281.87,2085.001
13612.192,8617.0
8372.966,10428.5
8756.327,5228.0
14018.629,7711.0
21811.938,19029.0
14059.859,12732.5
7639.8784,7291.5
3963.9077,3377.0005
3156.0884,10182.5
5411.566,5675.5
4057.8218,8119.0
7469.6665,4826.0
9819.362,4604.25
5422.6104,5852.0
6752.583,13828.25
11312.398,8013.0
7290.3154,2779.0
2652.356,3165.0005
2639.4165,1772.0
3215.9521,3712.5005
3099.88,4272.0
4137.694,3986.5
2420.9238,3416.0005
2489.1758,7045.5
13657.981,9917.25
4038.0054,6184.0
11031.874,10898.0
2437.1504,2589.001
2304.2969,4881.0
2870.287,3187.0005
2314.2676,391.0
3744.276,3237.0
3622.2412,9791.25
8491.312,6654.0005
4282.396,2141.501
3257.245,4842.0005
3637.3833,1090.0
1881.1162,1129.0
3435.4722,7812.0
9340.597,8074.5
7293.5703,10562.5
1360.1152,0.0
860.19824,0.0
1240.5771,0.0
2728.6064,8420.75
9422.616,8499.0
7558.5977,7996.0
7907.4995,6721.0005
8962.339,12536.5
9209.047,9349.5
8271.684,10736.0
13839.928,13487.0
5049.4526,5535.5
10810.903,8102.5
7014.4785,4508.5
4587.224,7691.0
7666.964,7976.25
4866.4595,6352.0
6991.9824,7426.0
6998.88,3421.5
5215.989,4803.0005
3265.8389,0.0
5923.327,7856.5
11761.548,9981.0
8615.61,11952.5
7875.875,6646.0
3809.395,2.75
7853.4526,5485.5005
3722.2866,5446.0
3770.1553,9260.0
8060.83,10261.0
5820.3022,6598.0005
8636.629,8175.0
9121.765,10378.25
10968.659,12024.75
4505.554,7342.0
3831.4556,2986.0
3267.5508,1559.5
2173.0742,3808.0
1630.166,1224.001
1300.8789,2460.001
778.2949,1442.5
1885.7207,1587.5
2024.3447,3539.5005
3181.995,4129.2505
3406.687,4660.25
5872.7676,8734.5
6107.1626,6257.0
3961.149,5132.5005
4340.6187,4836.5
5734.891,5312.0
3309.3218,2840.5
3402.109,3273.75
3133.1782,3449.5005
5174.4805,4238.0
2592.3828,3086.5
3233.4414,2974.5
3388.3135,3198.0
2544.6816,875.0
1672.9023,1232.75
1743.2559,717.75
2225.249,2074.5
1831.6738,804.5
1831.3076,1084.0
1934.8975,1627.0
1828.7559,928.0
2121.162,1282.751
1544.7842,49.500977
3151.351,4294.0
3062.2192,5412.5
3923.436,3086.5
3630.3833,2627.501
2892.1353,33.0
2026.6484,4981.5005
7698.047,9209.5
5265.024,7744.0
3403.1787,1587.5
2833.7593,161.5
2221.042,2974.5
2167.8428,89.25
2405.5723,2538.5
1869.2744,2532.5
2883.4937,5060.0
3244.5396,5821.0005
1835.5898,1587.5
1295.8164,1313.5
1769.0381,1341.5
1411.9814,766.0
2882.0703,1495.501
2550.2979,3072.5
2621.6572,3271.0
2743.73,2999.5
3472.816,3243.0005
2901.2964,3238.0005
2315.2344,3371.5005
3417.3657,2930.0
3271.4502,2974.5
2963.6797,4979.2505
3759.669,3427.5005
3795.082,3986.5
3509.0732,2885.0005
2734.831,2555.001
