preds,trues
1575.0459,1336.001
1520.9941,1364.0
1797.5566,1621.0
737.05664,1789.0
1763.4355,1106.5
1351.1338,1727.0
1112.0977,665.001
1326.8867,1319.001
1415.498,849.501
6779.075,5482.5
6707.3403,3497.25
5696.2046,3785.25
3210.2676,2856.7505
6174.6357,9235.0
5266.4053,7702.25
10987.374,14418.5
3880.7026,4982.0
4469.602,3645.5
3189.3833,2907.5005
2851.852,2348.001
5973.706,8270.0
2680.1323,3064.0
2555.5713,2169.5
2821.7817,3209.5
3458.8613,2946.5005
3195.4624,3041.5
9881.422,9690.0
3810.6338,8046.0
5789.9897,8527.0
3967.2896,3108.5005
2336.335,1537.0
2613.2373,1918.0
3439.191,3511.5
3145.9917,2572.001
2828.3716,2874.0
3865.5947,5468.5
6760.31,3807.5005
3429.5703,3030.5
2473.579,1364.0
2192.793,2158.0
2728.956,2913.0
2503.7783,3131.0005
5614.6675,3544.5005
2473.5967,1951.501
2738.2065,2326.0
3297.8271,4708.0005
6152.092,7705.0
3586.9521,6911.0
4221.9556,3035.75
3738.086,3919.75
3891.9243,2966.0
4445.9995,7713.5
5901.1777,3028.0005
2921.6582,3503.0
3126.8008,2401.0
2854.6787,3642.5005
2695.187,4870.5
3892.2842,3544.5005
3635.421,4575.0005
2786.7104,2639.0
3067.1787,2616.5
2222.2236,2862.5
3240.7295,3584.0
3956.7056,10210.5
4208.249,5553.0
3778.7173,3791.0
3493.9707,3964.0
3555.3857,9506.0
10159.785,8740.0
12604.782,15618.0
10707.654,16909.5
6281.7617,7884.0
18525.385,15679.5
7586.911,5820.5
8842.94,15685.0
2238.961,4104.25
2910.0708,4070.25
3220.7988,8248.0
2566.7988,3681.75
3419.4673,9075.25
2644.477,3715.5005
4177.34,2877.0005
3865.0308,3740.5
2776.0166,2340.75
2752.128,4280.2505
2891.6743,1157.0
1204.6143,1475.5
1653.8184,6469.5
1580.3184,3254.0
3211.7754,2812.5005
3183.1348,2382.001
3341.8022,2963.0005
1481.8438,2924.5005
2494.6934,3768.5005
6138.5337,5423.5
2607.6729,3842.0005
2677.2993,3304.5
1719.7881,2784.5
2448.7646,4406.0
6000.9746,4479.0
2402.3096,2656.0
2741.997,3573.0
2989.7993,3763.0005
2249.6338,2438.001
2476.4316,3986.5
2130.9424,3483.5005
1928.4434,2734.0005
1541.8633,2169.5
2048.5713,1970.75
1895.7871,1332.75
957.5615,1000.25
1079.1064,1500.75
2945.338,3265.0005
3094.0596,4666.0
1458.4512,3791.0
5591.2715,5345.0
3050.7197,4853.5
6089.618,9945.0
2297.9365,3550.5
1724.5732,2270.0
2260.6553,2216.751
1931.3516,3743.0005
1922.3916,2317.501
2137.3047,3131.0005
1873.0381,2644.5005
5022.2407,2320.5
1958.29,2667.0
1749.958,1627.0
1541.9697,2275.5
2496.3828,1873.0
2860.0244,1744.5
1963.7637,1101.0
1601.2783,2163.5
2350.5264,2622.5
1370.293,2429.0
1756.7705,1934.25
2298.9482,3329.25
3242.6372,4445.0
2634.3276,3645.5
1885.2119,1945.5
1564.7432,1095.501
1573.8916,1296.5
1649.1865,2560.5
976.6387,1560.001
1241.7295,2197.001
2300.8574,2493.5
487.41504,637.0
1150.3672,4724.5
5883.219,5647.5
6322.541,5602.5
2986.9062,3466.5005
2446.1377,3108.5005
2060.3018,2566.0
4957.381,5401.5005
5454.8647,3885.5005
5445.5693,6167.5005
2777.1978,3069.5
2079.7783,4462.0
5109.219,4853.0
5315.8438,5368.0
3151.316,4915.0005
5979.251,5876.5
3005.079,4669.0
6009.978,5764.5
8714.791,7951.5
2034.8789,2009.751
2973.733,5566.5
2478.8936,2074.0
2678.9316,3254.0
2677.6348,3075.0005
2585.2822,2807.0005
3837.042,3283.0
3291.335,3335.2505
3168.1436,2678.0005
3103.7964,3774.0
3965.4648,3198.5
3224.627,6207.0
3864.5596,4291.0005
3650.6943,3500.0
6521.2427,4747.0005
3757.3052,3603.0
3689.2358,3042.0
6000.517,4534.5
7894.7,9852.5
5889.1904,6030.75
3704.892,5021.0
5732.9565,5860.0005
