preds,trues
2954.3545,2270.0
5093.487,5163.5
3033.7236,3014.0005
2687.9517,3030.5
5342.6147,9047.5
5576.634,6396.5
3160.8022,4272.0
3444.7144,3036.0005
4694.039,4736.0005
6405.886,5273.0
5514.664,1142.75
11260.762,6712.5005
4859.64,5183.0
13824.794,14315.0
9949.226,9479.5
11197.202,10803.25
10800.279,13532.0
12074.166,13661.0
9254.753,7196.5
6610.3677,8549.5
7109.5986,7822.5
10578.902,17007.75
18653.566,23441.5
18013.328,19085.0
17059.648,19493.5
18231.955,16107.5
16913.902,17212.0
7386.8193,13493.0
11503.143,9422.0
8440.404,12022.5
1527.542,1993.25
2685.0654,3852.0
5068.498,3399.5
4080.0415,3437.0005
11428.607,9371.5
3449.8306,3914.0005
10553.943,12623.75
9646.719,6139.5005
5201.1226,6989.5
6363.066,4931.5
3432.3818,2790.0005
2598.1152,2273.0
2775.665,2376.0
1703.708,2180.5
2450.6582,2191.5
2780.54,2876.75
3155.331,3192.5
4888.306,9388.5
8728.748,7660.5
3831.5996,5127.5
3168.9365,3776.5005
6575.397,5524.0005
3600.1895,5.5009766
6859.8496,5720.0005
8611.165,10244.0
6637.547,3618.0005
6081.3384,13057.0
16335.319,14186.5
4122.027,9148.0
10777.108,6159.0005
9643.364,12514.5
7495.6416,9948.0
8582.637,6458.5005
304.10742,223.5
398.41797,1101.0
278.59766,1436.5
152.68066,2.75
143.9961,0.0
145.30078,0.0
145.40039,0.0
145.40625,0.0
738.6797,86.5
260.78906,0.0
1710.8174,4260.5005
3975.918,3106.0005
2248.3525,251.00098
51112.555,54107.5
36646.027,27786.0
40252.418,59661.0
40556.215,35349.0
33361.836,23978.0
42467.0,29833.0
29731.758,28093.5
23651.688,26511.25
24215.969,25283.75
25686.426,22513.0
17305.252,19823.0
13411.045,17058.0
22682.434,22955.0
21310.25,15881.0
6772.252,14216.75
8328.303,14471.5
7055.305,8711.5
3915.0889,1817.0
2399.2256,1850.5
4694.699,4204.5005
2262.3809,1531.5
2911.275,2359.0
2096.1562,3299.0005
8063.5884,4026.0005
6800.575,9014.0
2915.0698,2314.5
2720.7515,1716.0
1664.4912,1514.5
1901.708,1442.0
1881.1768,1123.5
