preds,trues
8068.995,6313.0
19411.383,12201.0
14760.238,9617.5
8064.172,11927.0
33915.473,40821.0
18561.46,18017.5
21890.898,25622.0
17611.008,10048.5
7012.419,6592.5
13563.449,15125.5
6907.161,5943.5
6815.6553,3821.0
5639.641,6866.5
9139.008,11821.0
13669.051,18760.5
13369.667,11279.0
13004.414,8443.0
6342.9043,3550.5
4958.6353,4132.0
5275.624,6318.5005
11353.031,8261.0
8758.953,9344.0
11817.858,13381.5
6575.4,4758.5
7114.477,7224.5
4405.5103,5099.5
7096.383,6944.75
13643.022,11673.0
6368.453,5686.75
5940.7026,4691.2505
3938.857,4026.0005
4652.473,4246.75
4965.725,3503.0
5936.499,6855.5
4342.955,3190.0
4672.732,4523.75
7467.3594,8963.0
9611.99,7772.0
1987.6895,1481.0
2077.4307,7162.0
6998.88,6782.75
4664.127,3173.25
5621.746,12161.75
6420.1606,5507.5
7453.162,9934.0
9227.154,6995.25
4886.116,3620.5
3749.9404,2225.251
4618.367,4045.2505
4162.2812,2787.0005
8741.546,6251.0
3530.1675,3259.25
5659.2847,5574.5
4337.9824,4434.0
3680.772,3265.0005
6000.789,5558.0
4641.671,3008.0
4740.8926,5636.0005
8032.338,10658.0
9868.902,9360.5
13016.158,16658.0
5177.5,2885.0005
5931.5786,7325.0
5536.9307,7850.5
11254.777,10367.5
4051.1626,3075.0005
8852.71,7330.5
10719.251,11200.5
24403.414,19585.75
25252.215,24456.25
27364.973,28711.75
26348.715,41375.0
14818.211,12469.5
16022.258,19469.0
16440.29,12293.25
8024.368,7106.5
10892.463,11016.0
12102.799,11921.5
9062.254,9399.5
10677.903,7437.0
6691.26,7543.0
10843.827,9726.0
8251.976,10507.0
2977.3828,3265.0005
3612.5635,4025.5005
6942.3906,9355.0
8381.211,7582.0
5298.276,6352.0
7360.826,7560.0
7818.8516,8163.5
7467.212,3630.0005
4929.6997,9041.5
5642.369,3617.5005
5321.608,6274.0
5633.8857,6726.5
9491.811,9500.5
6552.689,7135.0
8916.182,10322.5
11511.552,12369.0
7000.725,8622.5
2631.9355,3092.0005
11227.894,12928.0
10218.094,10406.0
13837.008,13107.5
11687.145,15405.5
15420.185,15914.5
4141.2334,4775.0005
10262.143,9321.0
7931.922,8035.25
7929.043,8734.5
8527.643,7018.75
2784.8267,4265.75
4439.7227,4850.2505
4483.936,4534.75
2699.6992,771.25
460.91016,136.5
3173.4946,2199.751
4552.2334,2040.5
6515.3174,6795.5
10905.613,12251.5
11731.822,10591.0
10610.592,11480.0
9741.353,11921.5
8092.7993,9131.0
6670.3896,8723.0
4611.097,3030.0
4687.636,5586.0
2116.1787,1593.5
9400.338,8381.75
3054.6294,4187.75
2048.2266,1752.5
6787.463,3751.75
5220.0493,6726.5
3110.6392,2784.0
2913.1797,3645.5
4399.9595,4624.0005
1399.0684,1912.0
1426.8945,2472.0
1451.7998,1252.0
1811.2891,1067.5
2815.7847,3528.0
2605.083,2471.5
1510.9736,368.25
1122.542,100.50098
3381.8828,2054.5
2788.5996,2611.0
1336.6387,1196.5
3508.3076,3276.5005
3648.9268,3310.2505
2124.088,1355.251
1014.9209,729.501
1617.6729,3422.0
879.4258,1158.0
811.81055,883.0
402.76172,653.5
687.2295,1906.5
1042.1045,1143.0
524.6738,631.0
908.9502,732.0
1606.6357,1520.5
799.9199,603.5
1052.668,1067.5
372.94238,200.5
315.7256,508.5
329.28516,441.00098
268.18945,284.5
388.85156,469.0
1111.8887,301.5
1257.3789,480.00098
1919.1025,1560.001
1577.6543,968.5
2171.3906,3617.5005
4437.9185,5653.0005
4867.3774,2616.5
12814.564,9657.0
11310.561,9897.5
8218.568,6642.5
