preds,trues
1442.0479,1229.5
29966.824,28306.5
23791.547,18050.5
18164.482,13711.0
31712.98,34899.5
21029.828,22451.5
32215.68,36236.0
27997.695,43902.5
30282.527,38268.0
33471.37,29268.0
16935.547,12011.0
21244.172,23692.5
16344.497,28826.5
21940.186,15176.0
26740.861,23486.0
31710.96,28166.0
22206.182,21142.5
19618.242,11027.0
23034.508,20673.0
21217.0,19655.5
19774.906,21652.0
17007.273,8974.5
15078.162,18990.0
17771.926,16647.0
12529.844,14360.0
12692.566,13213.5
12682.75,13090.5
11947.263,7521.0
6307.1855,5379.0
11486.834,7140.5
6072.215,5284.0
4294.594,4775.0005
4541.7896,2723.0
2861.8003,3047.0
2329.3281,2119.0
3258.5078,3382.5
8505.732,5709.0005
9680.941,12687.5
10952.465,8611.0
5642.2476,4340.5005
8124.9146,6318.5005
5973.2817,6514.0005
6244.15,5983.0
8242.821,10087.0
9002.446,9730.0
7504.5967,5709.0005
10410.291,11435.0
10222.708,10093.0
8786.787,6721.0005
3278.8936,7084.5
1640.7949,0.0
4724.1675,3176.0
2017.416,14706.5
1855.2793,2426.5
2632.8413,2393.0
2803.6025,3590.0
5919.0093,1901.0
6775.115,3612.0
2336.2021,2398.5
2050.254,1778.0
2075.1104,911.0
1320.8438,838.5
1577.3203,1643.5
1363.2637,3260.0005
3371.0117,3712.5005
1561.8506,1207.001
1918.2725,1263.001
1492.8789,760.0
1886.1074,849.501
3555.0854,2219.5
1691.919,16.5
1542.7656,1699.5
1797.4883,905.501
4598.2173,4775.5
1837.4736,1788.001
1757.335,1638.001
2834.7388,939.0
2742.7754,2135.75
3534.4888,861.0
3865.0474,2158.0
1945.8994,2023.5
3183.8687,2644.5005
3355.5015,2572.001
2763.205,2231.0
3168.7168,2267.25
2875.7085,2113.0
2367.5537,2320.0
1430.5508,301.5
874.3301,1096.0
1427.5713,1045.0
1229.0732,1067.251
1247.9482,989.5
1167.0381,1084.5
1307.3574,994.5
1769.7812,497.00098
2024.4287,944.501
2764.1763,3639.5005
1959.1592,994.5
1273.7676,335.0
792.18066,531.001
898.5752,794.001
1197.834,234.50098
1369.918,749.0
1054.0361,620.0
1015.14746,547.5
767.4033,164.25
1625.0234,1050.0
1237.9111,810.501
967.71484,1023.0
1231.2627,1095.501
989.85645,352.0
883.75,262.0
514.666,256.5
573.26953,329.00098
720.06836,402.00098
660.8291,312.5
1070.9072,835.25
1199.0518,1062.0
1350.6377,1179.5
1515.4619,1042.25
1714.6357,1179.251
1713.2236,1615.5
1160.7334,961.0
1006.0918,413.5
1550.8984,972.5
1062.9453,905.501
1311.498,492.00098
1340.1445,715.5
1459.8867,835.5
1204.25,1308.0
1434.835,1487.001
1316.4619,749.0
1635.377,754.501
1126.9199,268.00098
863.8213,1241.0
1249.4473,553.5
1102.3145,351.5
567.88184,472.25
1045.584,209.25
438.27148,461.25
887.71484,620.5
1083.9678,682.001
870.16113,1224.001
1260.2109,1148.751
2409.371,1881.251
485.8047,1571.5
1670.4512,1082.001
2468.8926,418.5
835.5156,357.0
976.7002,413.25098
1178.1367,598.0
1120.3467,464.0
1189.7129,497.5
877.41504,648.0
751.7168,614.5
2472.6484,1045.5
2475.7617,203.50098
1125.1475,1520.5
972.3828,1229.5
1054.9883,312.5
939.23145,805.0
1466.665,1755.5
1641.2822,983.501
1544.5049,1541.0
3227.5679,726.0
3486.1367,2829.0005
1750.3535,1386.0
1596.8994,944.501
861.2705,273.5
734.5303,446.75098
742.5283,1034.0
988.1172,1638.001
1689.1543,984.5
1189.5479,877.5
1470.7568,905.501
953.58594,1148.5
912.0205,648.0
2103.288,654.5
1175.7637,726.5
742.30273,223.5
766.0996,285.0
665.1826,192.25
624.4678,401.75
625.1084,145.0
491.4756,167.0
396.78223,167.5
397.14453,256.5
698.93945,329.5
786.0293,642.5
903.5254,385.5
642.48926,145.0
691.39844,307.50098
15147.256,19868.5
24716.457,26371.5
7609.0293,6346.5005
11900.46,7707.5
3566.1182,2085.001
13350.51,8617.0
8348.787,10428.5
8874.695,5228.0
14141.918,7711.0
21593.729,19029.0
14344.674,12732.5
7459.078,7291.5
4212.446,3377.0005
3480.0928,10182.5
5866.2676,5675.5
4355.999,8119.0
7163.525,4826.0
9284.415,4604.25
5052.505,5852.0
6902.4404,13828.25
10436.986,8013.0
7142.0674,2779.0
2905.6445,3165.0005
2717.4722,1772.0
3722.6938,3712.5005
3435.8545,4272.0
