preds,trues
1443.8262,1336.001
1340.1816,1364.0
1791.709,1621.0
427.72754,1789.0
1780.7158,1106.5
1248.0977,1727.0
1005.83887,665.001
1298.7725,1319.001
1371.4863,849.501
6656.091,5482.5
6485.6084,3497.25
5285.486,3785.25
3667.69,2856.7505
5971.7817,9235.0
5975.839,7702.25
10642.876,14418.5
4444.3867,4982.0
5142.082,3645.5
3462.7476,2907.5005
3210.9478,2348.001
5616.0796,8270.0
2990.8174,3064.0
2818.8896,2169.5
3087.3276,3209.5
3908.7334,2946.5005
3563.3906,3041.5
9386.793,9690.0
4483.5464,8046.0
5467.005,8527.0
4222.283,3108.5005
2545.583,1537.0
2862.0186,1918.0
3932.8247,3511.5
3598.0332,2572.001
3078.4165,2874.0
4400.238,5468.5
6455.1655,3807.5005
3808.3853,3030.5
2696.542,1364.0
2307.5957,2158.0
3010.5825,2913.0
2675.5107,3131.0005
5031.524,3544.5005
2648.9424,1951.501
2998.942,2326.0
3762.3784,4708.0005
5820.745,7705.0
4105.429,6911.0
4907.377,3035.75
4400.1494,3919.75
4575.9526,2966.0
4977.3774,7713.5
5508.245,3028.0005
3308.917,3503.0
3556.2085,2401.0
3153.7554,3642.5005
3007.7554,4870.5
4445.007,3544.5005
4173.705,4575.0005
3082.3013,2639.0
3460.185,2616.5
2322.87,2862.5
3619.8228,3584.0
4606.2056,10210.5
4811.915,5553.0
4149.7144,3791.0
3990.481,3964.0
4011.7017,9506.0
9628.145,8740.0
12600.79,15618.0
10544.069,16909.5
6119.242,7884.0
18149.914,15679.5
7541.3877,5820.5
9027.619,15685.0
2605.579,4104.25
3211.7837,4070.25
3650.813,8248.0
2963.7393,3681.75
3981.8135,9075.25
2778.6924,3715.5005
4656.891,2877.0005
4169.693,3740.5
3035.9116,2340.75
3155.755,4280.2505
3143.6929,1157.0
1097.2236,1475.5
1677.2949,6469.5
1640.9326,3254.0
3757.5283,2812.5005
3683.5312,2382.001
3933.9678,2963.0005
1672.248,2924.5005
2802.0435,3768.5005
6037.0435,5423.5
2967.9028,3842.0005
3081.7827,3304.5
1955.6445,2784.5
2857.606,4406.0
5765.1514,4479.0
2542.5215,2656.0
3077.106,3573.0
3450.6929,3763.0005
2546.082,2438.001
2800.5146,3986.5
2420.5195,3483.5005
2224.8574,2734.0005
1592.084,2169.5
2450.126,1970.75
2082.458,1332.75
940.60156,1000.25
1097.5703,1500.75
3350.808,3265.0005
3750.4473,4666.0
1557.9551,3791.0
5372.7925,5345.0
3570.3994,4853.5
5916.0786,9945.0
2698.6724,3550.5
1868.4707,2270.0
2582.3945,2216.751
2223.129,3743.0005
2137.3662,2317.501
2371.9766,3131.0005
2079.6367,2644.5005
4571.8013,2320.5
2102.6973,2667.0
1947.9805,1627.0
1526.2598,2275.5
2750.0483,1873.0
3334.3955,1744.5
2181.504,1101.0
1732.3857,2163.5
2658.941,2622.5
1294.4668,2429.0
1805.3174,1934.25
2609.5586,3329.25
3860.6113,4445.0
3006.8413,3645.5
2040.0742,1945.5
1623.3291,1095.501
1661.4922,1296.5
1805.5684,2560.5
962.06836,1560.001
1313.5869,2197.001
2580.9492,2493.5
391.09766,637.0
1210.4238,4724.5
5618.3384,5647.5
6049.973,5602.5
3539.7651,3466.5005
2821.4219,3108.5005
2338.919,2566.0
4460.982,5401.5005
5037.9746,3885.5005
4980.5576,6167.5005
3145.9028,3069.5
2374.6982,4462.0
4657.07,4853.0
4906.629,5368.0
3625.2144,4915.0005
5659.7637,5876.5
3598.7383,4669.0
5705.6875,5764.5
9016.126,7951.5
2433.295,2009.751
3458.516,5566.5
2343.1982,2074.0
2587.4814,3254.0
2595.5078,3075.0005
2493.1973,2807.0005
4079.1318,3283.0
3442.8691,3335.2505
3278.7568,2678.0005
3194.6436,3774.0
4314.9604,3198.5
3452.808,6207.0
4190.7056,4291.0005
3865.273,3500.0
6142.2734,4747.0005
3989.9043,3603.0
3869.4995,3042.0
5232.2437,4534.5
7761.0947,9852.5
5433.755,6030.75
4087.587,5021.0
5087.955,5860.0005
