preds,trues
373.47498,283.75
637.5543,645.4375
383.29608,376.75006
339.6822,378.8125
675.6449,1130.9375
705.9447,799.5625
396.3949,534.0
433.99988,379.50006
592.68365,592.00006
809.6298,659.125
696.8975,142.84375
1405.7405,839.06256
616.00745,647.875
1726.4148,1789.375
1255.1372,1184.9375
1408.2625,1350.4062
1357.6893,1691.5
1519.5085,1707.625
1170.9072,899.5625
835.815,1068.6875
895.4461,977.8125
1329.3702,2125.9688
2299.3665,2930.1875
2235.4841,2385.625
2123.4944,2436.6875
2261.2524,2013.4375
2095.4688,2151.5
937.1941,1686.625
1446.5826,1177.75
1067.9817,1502.8125
193.24133,249.15625
336.9107,481.5
636.42114,424.9375
511.9217,429.62506
1433.2688,1171.4375
437.5083,489.25006
1321.3154,1577.9688
1211.1079,767.43756
651.8219,873.6875
800.93225,616.4375
428.71558,348.75006
322.76025,284.125
344.38995,297.0
207.3302,272.5625
302.19873,273.9375
344.27386,359.59375
391.2718,399.0625
611.4645,1173.5625
1097.5951,957.5625
483.04572,640.9375
398.91156,472.06256
828.9054,690.50006
455.48553,0.6876221
862.4059,715.00006
1078.358,1280.5
833.8871,452.25006
760.07574,1632.125
2030.0833,1773.3125
528.4823,1143.5
1354.9521,769.87506
1214.753,1564.3125
953.1867,1243.5
1086.7456,807.31256
48.180664,27.9375
61.215454,137.625
42.825684,179.5625
22.707031,0.34375
21.100342,0.0
21.306885,0.0
21.322632,0.0
21.32373,0.0
95.74231,10.8125
31.010254,0.0
204.48999,532.56256
497.93225,388.25006
250.30835,31.375122
6381.889,6763.4375
4554.562,3473.25
5074.313,7457.625
5045.466,4418.625
4192.246,2997.25
5360.5996,3729.125
3803.275,3511.6875
2920.9734,3313.9062
2973.8096,3160.4688
3195.6665,2814.125
2159.2798,2477.875
1674.7849,2132.25
2800.6611,2869.375
2633.3206,1985.125
854.9952,1777.0938
1051.7927,1808.9375
905.7121,1088.9375
491.25092,227.125
298.14197,231.3125
573.245,525.56256
279.4248,191.4375
357.47925,294.875
254.95471,412.37506
1013.77234,503.25006
840.832,1126.75
361.03857,289.3125
330.02277,214.5
194.01111,189.3125
225.1543,180.25
225.08313,140.4375
