preds,trues
1048.9341,789.125
2406.7476,1525.125
1842.9279,1202.1875
1018.9412,1490.875
4246.6084,5102.625
2303.2468,2252.1875
2720.35,3202.75
2214.7798,1256.0625
884.11707,824.0625
1696.1188,1890.6875
872.7779,742.9375
865.13477,477.625
702.07996,858.3125
1153.1594,1477.625
1730.6879,2345.0625
1699.3024,1409.875
1630.864,1055.375
788.81445,443.8125
610.56494,516.5
650.04004,789.81256
1402.7239,1032.625
1081.6616,1168.0
1491.404,1672.6875
834.5674,594.8125
893.9425,903.0625
557.3097,637.4375
876.922,868.09375
1694.1703,1459.125
808.74646,710.84375
744.58875,586.4063
496.87616,503.25006
578.21564,530.84375
622.6251,437.875
719.0304,856.9375
547.3963,398.75
582.27386,565.46875
936.3683,1120.375
1208.9823,971.5
248.53796,185.125
251.38452,895.25
875.04004,847.84375
584.64777,396.65625
691.9464,1520.2188
808.84125,688.4375
926.69904,1241.75
1151.0736,874.40625
612.0523,452.5625
463.1057,278.15637
571.10333,505.6563
521.4766,348.37506
1086.523,781.375
445.02655,407.40625
702.28625,696.8125
543.7704,554.25
465.0747,408.12506
749.021,694.75
588.4993,376.0
590.0263,704.50006
994.98627,1332.25
1234.6609,1170.0625
1631.0072,2082.25
654.31354,360.62506
736.9993,915.625
688.2606,981.3125
1402.311,1295.9375
529.8644,384.37506
1116.1118,916.3125
1351.4058,1400.0625
2987.6575,2448.2188
3093.828,3057.0312
3431.104,3588.9688
3313.8325,5171.875
1879.2339,1558.6875
2023.5674,2433.625
2063.0295,1536.6562
1039.8462,888.3125
1390.2926,1377.0
1551.2511,1490.1875
1183.5054,1174.9375
1385.3744,929.625
876.7691,942.875
1372.5886,1215.75
1046.2537,1313.375
347.72095,408.12506
445.53912,503.18756
872.8639,1169.375
1062.4893,947.75
671.8121,794.0
933.86523,945.0
991.1194,1020.4375
948.88184,453.75006
619.8018,1130.1875
716.53253,452.18756
672.43396,784.25
716.45953,840.8125
1197.8271,1187.5625
832.5528,891.875
1127.1204,1290.3125
1451.4525,1546.125
892.10876,1077.8125
333.34167,386.50006
1395.4939,1616.0
1295.1226,1300.75
1742.6744,1638.4375
1470.6685,1925.6875
1925.5371,1989.3125
521.875,596.87506
1257.9308,1165.125
986.5793,1004.40625
996.2882,1091.8125
1068.0818,877.34375
348.0338,533.21875
556.1104,606.2813
562.9508,566.84375
338.87323,96.40625
66.52942,17.0625
396.42102,274.96887
569.65546,255.0625
817.9093,849.4375
1367.9985,1531.4375
1475.1111,1323.875
1332.3569,1435.0
1226.7157,1490.1875
1017.5178,1141.375
