preds,trues
398.99738,283.75
664.23895,645.4375
407.4336,376.75006
366.83154,378.8125
699.05176,1130.9375
725.14996,799.5625
419.64648,534.0
457.60297,379.50006
614.7511,592.00006
827.4022,659.125
714.85016,142.84375
1420.3994,839.06256
630.2298,647.875
1730.8324,1789.375
1258.9565,1184.9375
1410.4834,1350.4062
1362.0684,1691.5
1519.7421,1707.625
1176.6238,899.5625
849.22656,1068.6875
910.4492,977.8125
1332.7799,2125.9688
2288.7026,2930.1875
2219.0298,2385.625
2110.4229,2436.6875
2245.9036,2013.4375
2083.7732,2151.5
939.07806,1686.625
1450.7247,1177.75
1079.1293,1502.8125
214.6665,249.15625
363.289,481.5
658.9978,424.9375
533.66565,429.62506
1442.924,1171.4375
455.86053,489.25006
1331.7659,1577.9688
1216.6174,767.43756
665.2797,873.6875
810.6626,616.4375
445.87537,348.75006
343.7619,284.125
365.29242,297.0
229.7185,272.5625
323.81067,273.9375
364.7196,359.59375
410.96924,399.0625
628.2491,1173.5625
1106.2253,957.5625
498.90125,640.9375
419.4497,472.06256
845.60645,690.50006
475.19458,0.6876221
880.2184,715.00006
1091.0629,1280.5
844.57574,452.25006
775.46014,1632.125
2024.0415,1773.3125
545.49255,1143.5
1365.6813,769.87506
1228.4629,1564.3125
964.138,1243.5
1102.4083,807.31256
61.60742,27.9375
79.5625,137.625
58.239746,179.5625
38.53479,0.34375
37.110718,0.0
37.317627,0.0
37.333252,0.0
37.333862,0.0
143.3219,10.8125
45.030396,0.0
224.1615,532.56256
521.9614,388.25006
292.0255,31.375122
6314.659,6763.4375
4499.556,3473.25
5012.9424,7457.625
4964.379,4418.625
4137.5845,2997.25
5297.672,3729.125
3752.0156,3511.6875
2895.6675,3313.9062
2947.3765,3160.4688
3152.4536,2814.125
2149.7705,2477.875
1671.0066,2132.25
2775.0496,2869.375
2613.9194,1985.125
867.00543,1777.0938
1057.9987,1808.9375
915.80237,1088.9375
512.0346,227.125
324.88232,231.3125
588.8528,525.56256
301.0415,191.4375
379.0642,294.875
279.53174,412.37506
1022.18884,503.25006
853.3933,1126.75
380.8947,289.3125
351.93445,214.5
215.67688,189.3125
245.18347,180.25
244.3302,140.4375
