preds,trues
1058.4956,789.125
2400.635,1525.125
1852.6047,1202.1875
1035.738,1490.875
4202.4053,5102.625
2292.341,2252.1875
2697.8823,3202.75
2202.9192,1256.0625
907.43787,824.0625
1705.0432,1890.6875
881.4737,742.9375
882.3607,477.625
718.4474,858.3125
1159.5305,1477.625
1724.8789,2345.0625
1691.6465,1409.875
1629.4803,1055.375
796.3357,443.8125
618.11523,516.5
650.1886,789.81256
1386.973,1032.625
1069.6279,1168.0
1472.2283,1672.6875
832.5581,594.8125
889.6346,903.0625
556.77106,637.4375
873.80566,868.09375
1671.6768,1459.125
801.63574,710.84375
743.70483,586.4063
500.02484,503.25006
576.71246,530.84375
627.68445,437.875
717.0718,856.9375
546.4244,398.75
582.083,565.46875
931.5557,1120.375
1198.1631,971.5
256.7268,185.125
257.45068,895.25
867.4363,847.84375
584.78375,396.65625
690.6309,1520.2188
802.03467,688.4375
921.7659,1241.75
1138.3148,874.40625
611.8459,452.5625
464.5724,278.15637
568.1004,505.6563
519.409,348.37506
1076.5093,781.375
445.80927,407.40625
700.12897,696.8125
542.3496,554.25
464.9593,408.12506
743.3661,694.75
589.20734,376.0
590.7008,704.50006
987.6622,1332.25
1224.6152,1170.0625
1615.9019,2082.25
658.99915,360.62506
732.2006,915.625
681.6579,981.3125
1380.0266,1295.9375
534.67035,384.37506
1116.4901,916.3125
1362.2738,1400.0625
2972.2368,2448.2188
3083.0862,3057.0312
3410.7544,3588.9688
3286.3015,5171.875
1865.4688,1558.6875
2020.7942,2433.625
2048.485,1536.6562
1049.4401,888.3125
1403.4095,1377.0
1545.756,1490.1875
1186.1482,1174.9375
1382.3468,929.625
889.4351,942.875
1386.491,1215.75
1067.8135,1313.375
390.20642,408.12506
477.21796,503.18756
896.0134,1169.375
1073.842,947.75
691.0035,794.0
948.8869,945.0
1005.2455,1020.4375
962.6614,453.75006
644.83673,1130.1875
734.8949,452.18756
694.7045,784.25
733.27893,840.8125
1209.2035,1187.5625
847.2775,891.875
1138.7361,1290.3125
1455.1163,1546.125
901.4381,1077.8125
354.51648,386.50006
1412.1672,1616.0
1295.8197,1300.75
1735.3099,1638.4375
1472.2947,1925.6875
1920.5405,1989.3125
537.8869,596.87506
1262.6847,1165.125
990.03,1004.40625
1002.22815,1091.8125
1077.72,877.34375
366.92517,533.21875
573.49493,606.2813
584.5025,566.84375
360.37305,96.40625
83.397705,17.0625
421.98364,274.96887
595.4322,255.0625
837.13947,849.4375
1377.1215,1531.4375
1474.8322,1323.875
1338.261,1435.0
1233.8071,1490.1875
1028.3132,1141.375
851.2804,1090.375
594.1147,378.75
609.492,698.25
286.5703,199.1875
1189.4884,1047.7188
401.38922,523.46875
276.70117,219.0625
871.15845,468.96875
675.78015,840.8125
407.20276,348.0
385.22382,455.6875
568.19,578.00006
194.68445,239.0
197.80847,309.0
193.38733,156.5
240.81494,133.4375
364.81555,441.0
342.62543,308.9375
208.34082,46.03125
157.69702,12.562622
441.2544,256.8125
368.43347,326.375
186.64319,149.5625
459.17706,409.56256
475.66595,413.7813
283.9806,169.40637
138.85156,91.18762
217.10059,427.75
128.09692,144.75
121.09766,110.375
73.09729,81.6875
107.05017,238.3125
151.04187,142.875
