preds,trues
198.1759,153.6875
3758.5156,3538.3125
2885.042,2256.3125
2211.0706,1713.875
3959.961,4362.4375
2523.8997,2806.4375
4000.667,4529.5
3468.9912,5487.8125
3783.1172,4783.5
4153.0435,3658.5
2080.0005,1501.375
2550.2434,2961.5625
1964.8723,3603.3125
2643.511,1897.0
3275.9458,2935.75
3994.4297,3520.75
2723.12,2642.8125
2421.4038,1378.375
2825.2935,2584.125
2612.7036,2456.9375
2434.2778,2706.5
2104.8096,1121.8125
1878.3999,2373.75
2195.515,2080.875
1581.0657,1795.0
1582.3694,1651.6875
1596.0795,1636.3125
1513.0282,940.125
799.1941,672.375
1422.3057,892.5625
773.4727,660.5
554.54517,596.87506
585.8384,340.375
375.56415,380.875
314.45618,264.875
428.12238,422.8125
1091.6643,713.62506
1229.1077,1585.9375
1386.1602,1076.375
728.481,542.56256
1040.3228,789.81256
772.4384,814.25006
807.12024,747.875
1054.3711,1260.875
1146.3312,1216.25
963.062,713.62506
1318.5592,1429.375
1293.2369,1261.625
1120.0336,840.12506
433.2528,885.5625
225.59802,0.0
617.0815,397.0
264.0133,1838.3125
242.9331,303.3125
350.701,299.125
363.28406,448.75
761.8027,237.625
869.0299,451.5
308.80835,299.8125
271.35498,222.25
280.6809,113.875
182.2373,104.8125
222.39465,205.4375
188.45264,407.50006
453.42346,464.06256
199.34253,150.87512
248.90869,157.87512
209.30725,95.0
253.31287,106.18762
471.2928,277.4375
228.89624,2.0625
206.76514,212.4375
234.3518,113.18762
595.4657,596.9375
236.44885,223.50012
205.24011,204.75012
331.8695,117.375
329.4524,266.96875
437.83447,107.625
489.45532,269.75
261.83447,252.9375
406.89185,330.56256
415.5218,321.50012
353.0506,278.875
407.34955,283.40625
375.32532,264.125
304.7284,290.0
204.1947,37.6875
137.62122,137.0
201.80798,130.625
170.90051,133.40637
171.54163,123.6875
168.95178,135.5625
186.82446,124.3125
234.67334,62.125122
258.17627,118.06262
360.9063,454.93756
266.8363,124.3125
190.94275,41.875
127.6167,66.37512
120.93799,99.25012
186.4032,29.312622
198.10901,93.625
154.82666,77.5
147.97742,68.4375
118.61963,20.53125
211.79224,131.25
