preds,trues
189.99536,167.00012
177.43335,170.5
235.31909,202.625
66.90979,223.625
233.5188,138.3125
167.95557,215.875
136.64893,83.12512
172.57703,164.87512
177.5415,106.18762
849.6118,685.3125
828.93274,437.15625
676.85284,473.15625
478.60754,357.0938
764.2333,1154.375
763.67737,962.78125
1337.3115,1802.3125
574.381,622.75
662.6998,455.6875
452.75024,363.43756
418.89703,293.50012
721.3563,1033.75
392.5974,383.0
369.98993,271.1875
403.64392,401.1875
508.45947,368.31256
464.4809,380.1875
1184.4796,1211.25
579.44214,1005.75
701.10596,1065.875
548.658,388.56256
336.1853,192.125
375.08264,239.75
509.27393,438.9375
468.76434,321.50012
404.50092,359.25
569.23975,683.5625
822.7922,475.93756
492.20782,378.8125
351.16492,170.5
306.12354,269.75
387.65607,364.125
347.5957,391.37506
646.25854,443.06256
349.05408,243.93762
393.4809,290.75
488.15186,588.50006
746.3458,963.125
533.2139,863.875
633.4447,379.46875
567.745,489.96875
589.90045,370.75
643.433,964.1875
708.3006,378.50006
432.72247,437.875
463.35492,300.125
412.1753,455.31256
388.7765,608.8125
569.96014,443.06256
535.1942,571.87506
404.04883,329.875
451.47192,327.0625
307.6864,357.8125
470.46252,448.0
595.0913,1276.3125
617.10406,694.125
535.31244,473.875
511.412,495.5
514.57294,1188.25
1216.3671,1092.5
1578.5898,1952.25
1324.6337,2113.6875
784.85724,985.5
2251.6792,1959.9375
962.5587,727.5625
1139.5521,1960.625
354.3733,513.03125
433.04083,508.78125
487.77435,1031.0
399.11224,460.21875
525.5882,1134.4062
371.51843,464.43756
608.44446,359.62506
548.139,467.5625
409.02667,292.59375
419.26477,535.0313
415.4145,144.625
164.44482,184.4375
236.20154,808.6875
230.69324,406.75
500.65753,351.56256
489.75397,297.75012
521.578,370.37506
233.22412,365.56256
380.45898,471.06256
780.8537,677.9375
397.45874,480.25006
414.28027,413.0625
272.49805,348.0625
385.44348,550.75
742.24756,559.875
343.45453,332.0
408.67548,446.625
456.83386,470.37506
340.6275,304.75012
377.69415,498.3125
328.63074,435.43756
303.23242,341.75006
224.02283,271.1875
330.60858,246.34375
284.60034,166.59375
138.99438,125.03125
159.68103,187.59375
446.8333,408.12506
493.77643,583.25
220.32971,473.875
694.3509,668.125
478.45795,606.6875
769.45514,1243.125
360.80182,443.8125
260.64343,283.75
348.99316,277.09387
303.87048,467.87506
293.9392,289.68762
322.1267,391.37506
284.44763,330.56256
597.32275,290.0625
291.0028,333.375
260.34973,203.375
212.156,284.4375
367.76917,234.125
453.01678,218.0625
296.51025,137.625
243.90869,270.4375
349.2339,327.8125
182.41699,303.625
247.15332,241.78125
357.857,416.15625
504.4635,555.625
404.66418,455.6875
284.31506,243.1875
231.66138,136.93762
238.5719,162.0625
256.31458,320.0625
147.29138,195.00012
191.20178,274.62512
353.11304,311.6875
70.04578,79.625
170.11084,590.5625
725.3551,705.9375
784.39905,700.3125
468.58057,433.31256
376.40454,388.56256
316.28845,320.75
583.23083,675.18756
655.6691,485.68756
651.3246,770.93756
418.86584,383.6875
320.1797,557.75
609.0536,606.625
638.8711,671.0
478.00616,614.37506
735.73083,734.5625
473.68195,583.625
740.1294,720.5625
1146.1371,993.9375
323.30188,251.21887
462.48358,695.8125
303.30847,259.25
334.49097,406.75
337.45648,384.37506
324.7959,350.87506
521.09406,410.375
442.26086,416.9063
421.9508,334.75006
410.63696,471.75
548.94055,399.8125
444.8385,775.875
535.97797,536.37506
497.81445,437.5
773.1543,593.37506
513.48157,450.375
498.87793,380.25
668.37946,566.8125
978.20404,1231.5625
693.798,753.84375
526.046,627.625
648.64984,732.50006
