preds,trues
169.75586,153.6875
3821.313,3538.3125
2920.0815,2256.3125
2239.0168,1713.875
4023.0024,4362.4375
2566.7852,2806.4375
4070.3354,4529.5
3526.4453,5487.8125
3851.0942,4783.5
4209.2656,3658.5
2103.1084,1501.375
2590.0222,2961.5625
2004.4966,3603.3125
2689.9575,1897.0
3335.0925,2935.75
4041.1094,3520.75
2746.8633,2642.8125
2441.1304,1378.375
2842.7383,2584.125
2629.8997,2456.9375
2450.1357,2706.5
2115.1812,1121.8125
1882.6208,2373.75
2204.0981,2080.875
1578.894,1795.0
1584.6934,1651.6875
1593.5006,1636.3125
1503.8223,940.125
791.573,672.375
1422.1907,892.5625
760.76904,660.5
538.9012,596.87506
569.30524,340.375
352.08856,380.875
288.78772,264.875
399.27332,422.8125
1072.428,713.62506
1215.5204,1585.9375
1378.5096,1076.375
705.3892,542.56256
1021.1076,789.81256
745.7957,814.25006
781.80164,747.875
1032.763,1260.875
1129.3732,1216.25
940.9794,713.62506
1306.9467,1429.375
1279.877,1261.625
1103.4219,840.12506
403.19873,885.5625
194.58154,0.0
588.84357,397.0
232.60132,1838.3125
212.25916,303.3125
315.14,299.125
332.43256,448.75
746.55994,237.625
851.32837,451.5
278.33728,299.8125
241.84668,222.25
252.125,113.875
151.30566,104.8125
190.67114,205.4375
157.31885,407.50006
425.97253,464.06256
170.5625,150.87512
225.06274,157.87512
182.81287,95.0
226.06335,106.18762
444.52924,277.4375
206.62927,2.0625
183.97351,212.4375
215.14441,113.18762
588.68024,596.9375
222.07483,223.50012
197.42065,204.75012
327.87805,117.375
323.9707,266.96875
430.1709,107.625
480.32916,269.75
245.9674,252.9375
389.03992,330.56256
408.2083,321.50012
343.02692,278.875
393.45807,283.40625
361.474,264.125
287.11072,290.0
182.0918,37.6875
110.034546,137.0
176.03174,130.625
145.98389,133.40637
148.77747,123.6875
144.14392,135.5625
160.30518,124.3125
214.7511,62.125122
237.55481,118.06262
344.17828,454.93756
246.80054,124.3125
164.41675,41.875
95.770996,66.37512
96.17212,99.25012
157.52966,29.312622
166.92773,93.625
121.20215,77.5
114.14856,68.4375
82.757324,20.53125
186.82666,131.25
148.28284,101.31262
119.625244,127.875
146.19336,136.93762
116.75708,44.0
