preds,trues
165.22302,167.00012
152.88245,170.5
210.43494,202.625
55.091553,223.625
206.4043,138.3125
140.07959,215.875
106.912476,83.12512
142.8711,164.87512
149.12402,106.18762
832.09424,685.3125
812.84625,437.15625
657.78613,473.15625
455.07635,357.0938
744.04846,1154.375
750.04645,962.78125
1331.2148,1802.3125
555.002,622.75
643.7639,455.6875
430.3133,363.43756
394.75806,293.50012
701.4518,1033.75
368.28833,383.0
344.93817,271.1875
379.51257,401.1875
485.5644,368.31256
441.27057,380.1875
1172.7507,1211.25
558.2688,1005.75
681.9002,1065.875
529.79095,388.56256
310.74878,192.125
350.61304,239.75
486.97467,438.9375
444.94446,321.50012
380.06506,359.25
547.8592,683.5625
808.5181,475.93756
472.62122,378.8125
328.3042,170.5
280.57947,269.75
366.9983,364.125
326.24866,391.37506
627.8754,443.06256
325.26318,243.93762
369.1162,290.75
465.64062,588.50006
727.91345,963.125
512.207,863.875
613.193,379.46875
546.0689,489.96875
568.46484,370.75
624.41437,964.1875
690.0413,378.50006
408.76825,437.875
439.912,300.125
388.66663,455.31256
367.74707,608.8125
552.82574,443.06256
517.4162,571.87506
380.60297,329.875
427.68976,327.0625
283.04675,357.8125
448.3545,448.0
573.87054,1276.3125
602.07715,694.125
517.75574,473.875
493.31012,495.5
497.18054,1188.25
1206.2786,1092.5
1574.802,1952.25
1317.7737,2113.6875
767.475,985.5
2260.755,1959.9375
951.81525,727.5625
1130.1475,1960.625
321.00085,513.03125
401.87793,508.78125
456.9735,1031.0
367.28748,460.21875
497.5005,1134.4062
345.68915,464.43756
584.9424,359.62506
526.66327,467.5625
379.38776,292.59375
391.01074,535.0313
390.31183,144.625
129.96362,184.4375
203.26477,808.6875
197.99939,406.75
469.29004,351.56256
457.32733,297.75012
488.14673,370.37506
194.67627,365.56256
343.78662,471.06256
753.08496,677.9375
363.72522,480.25006
379.22565,413.0625
232.656,348.0625
348.8062,550.75
717.8723,559.875
314.36536,332.0
379.63116,446.625
428.1054,470.37506
311.44763,304.75012
345.6881,498.3125
293.7533,435.43756
266.6234,341.75006
186.99219,271.1875
294.85498,246.34375
249.25671,166.59375
100.94202,125.03125
121.32324,187.59375
413.71393,408.12506
461.9309,583.25
182.96057,473.875
667.7695,668.125
446.21918,606.6875
741.44214,1243.125
327.41772,443.8125
224.7478,283.75
314.1952,277.09387
267.10938,467.87506
258.80493,289.68762
287.28345,391.37506
248.96838,330.56256
567.0064,290.0625
255.00574,333.375
228.97583,203.375
181.54211,284.4375
339.002,234.125
421.4308,218.0625
264.69897,137.625
208.94006,270.4375
322.1416,327.8125
151.38074,303.625
216.44604,241.78125
324.84924,416.15625
476.32935,555.625
372.65564,455.6875
247.85022,243.1875
192.77734,136.93762
198.3872,162.0625
215.17236,320.0625
104.67041,195.00012
149.19666,274.62512
314.34546,311.6875
52.700195,79.625
134.31348,590.5625
700.6514,705.9375
760.96655,700.3125
437.32495,433.31256
344.03406,388.56256
282.0244,320.75
554.12225,675.18756
628.6854,485.68756
624.0272,770.93756
387.76105,383.6875
286.3302,557.75
580.36896,606.625
611.54047,671.0
448.92865,614.37506
709.29706,734.5625
442.55157,583.625
714.3797,720.5625
1129.5669,993.9375
292.3037,251.21887
430.5255,695.8125
288.23657,259.25
319.31946,406.75
322.81226,384.37506
309.16394,350.87506
509.2873,410.375
428.78772,416.9063
407.98645,334.75006
396.68805,471.75
537.5768,399.8125
429.45764,775.875
523.84906,536.37506
485.03302,437.5
764.83484,593.37506
500.95868,450.375
485.80762,380.25
657.34174,566.8125
972.77136,1231.5625
683.0734,753.84375
512.8338,627.625
637.47046,732.50006
