preds,trues
331.26068,283.75
563.4894,645.4375
345.34308,376.75006
291.78186,378.8125
619.99054,1130.9375
673.506,799.5625
356.2384,534.0
385.36926,379.50006
541.93304,592.00006
762.33923,659.125
659.24,142.84375
1369.492,839.06256
598.4977,647.875
1715.3125,1789.375
1246.047,1184.9375
1404.7266,1350.4062
1366.1354,1691.5
1516.9625,1707.625
1177.8928,899.5625
821.10925,1068.6875
858.7324,977.8125
1312.4084,2125.9688
2369.5925,2930.1875
2295.4077,2385.625
2168.261,2436.6875
2314.9658,2013.4375
2174.43,2151.5
970.2648,1686.625
1451.0188,1177.75
1051.8577,1502.8125
200.93579,249.15625
284.02234,481.5
571.8832,424.9375
462.0293,429.62506
1398.2319,1171.4375
424.46185,489.25006
1296.3503,1577.9688
1203.6016,767.43756
625.8571,873.6875
773.3483,616.4375
394.64392,348.75006
278.10132,284.125
296.01233,297.0
165.38574,272.5625
252.51196,273.9375
295.47083,359.59375
341.41455,399.0625
560.58563,1173.5625
1065.5608,957.5625
458.89886,640.9375
362.8307,472.06256
780.2055,690.50006
424.26923,0.6876221
805.6221,715.00006
1043.9255,1280.5
813.79065,452.25006
711.8392,1632.125
2045.3894,1773.3125
539.15936,1143.5
1351.0342,769.87506
1185.5574,1564.3125
954.4015,1243.5
1075.8573,807.31256
62.187622,27.9375
54.67334,137.625
44.19519,179.5625
30.069336,0.34375
26.99585,0.0
27.06897,0.0
27.08313,0.0
27.08435,0.0
51.304688,10.8125
60.434692,0.0
265.63245,532.56256
535.86633,388.25006
271.08887,31.375122
6088.099,6763.4375
4416.233,3473.25
4954.5693,7457.625
4971.1353,4418.625
4085.4658,2997.25
5288.4023,3729.125
3766.9526,3511.6875
2871.6802,3313.9062
2982.3523,3160.4688
3199.1729,2814.125
2149.3928,2477.875
1658.9828,2132.25
2799.582,2869.375
2616.0732,1985.125
810.4251,1777.0938
1039.7206,1808.9375
897.33777,1088.9375
487.3849,227.125
287.11243,231.3125
597.5333,525.56256
296.09363,191.4375
379.18616,294.875
277.27307,412.37506
1047.5302,503.25006
863.30383,1126.75
363.97095,289.3125
334.16522,214.5
207.52393,189.3125
246.52344,180.25
244.2273,140.4375
