preds,trues
1033.0049,789.125
2479.8296,1525.125
1892.9286,1202.1875
1026.1245,1490.875
4156.5645,5102.625
2290.1313,2252.1875
2732.879,3202.75
2136.5918,1256.0625
924.3546,824.0625
1735.2194,1890.6875
851.00134,742.9375
913.4055,477.625
745.3661,858.3125
1176.2792,1477.625
1735.5873,2345.0625
1660.7529,1409.875
1646.231,1055.375
800.3915,443.8125
636.8824,516.5
692.79724,789.81256
1488.9795,1032.625
1151.0581,1168.0
1570.4272,1672.6875
850.899,594.8125
942.0841,903.0625
603.6739,637.4375
924.07495,868.09375
1834.7789,1459.125
849.0858,710.84375
785.4764,586.4063
531.52814,503.25006
657.3379,530.84375
636.3731,437.875
778.0762,856.9375
591.82153,398.75
636.0352,565.46875
1006.13696,1120.375
1254.6411,971.5
288.09558,185.125
300.82483,895.25
934.25806,847.84375
624.0777,396.65625
723.2886,1520.2188
857.33057,688.4375
962.0693,1241.75
1234.4698,874.40625
650.27637,452.5625
525.407,278.15637
653.1251,505.6563
581.9141,348.37506
1199.5106,781.375
495.41437,407.40625
753.1941,696.8125
596.48315,554.25
522.1082,408.12506
815.5525,694.75
630.8792,376.0
645.88934,704.50006
1069.2119,1332.25
1299.3247,1170.0625
1703.7063,2082.25
630.7766,360.62506
786.3312,915.625
736.77545,981.3125
1492.7257,1295.9375
545.6498,384.37506
1177.9478,916.3125
1435.177,1400.0625
3155.532,2448.2188
3194.5396,3057.0312
3469.3848,3588.9688
3311.3555,5171.875
1770.6373,1558.6875
2057.3384,2433.625
2080.4155,1536.6562
1030.7698,888.3125
1435.9934,1377.0
1536.3757,1490.1875
1183.388,1174.9375
1388.7681,929.625
904.7932,942.875
1442.0139,1215.75
1095.7185,1313.375
466.14612,408.12506
433.85938,503.18756
840.41235,1169.375
1050.4634,947.75
653.7358,794.0
919.3263,945.0
979.1655,1020.4375
939.9717,453.75006
593.48584,1130.1875
690.0189,452.18756
641.1073,784.25
694.5317,840.8125
1184.3285,1187.5625
829.2333,891.875
1102.9747,1290.3125
1451.9355,1546.125
895.7334,1077.8125
329.2052,386.50006
1381.2196,1616.0
1327.6957,1300.75
1765.6836,1638.4375
1505.024,1925.6875
1995.6184,1989.3125
529.7753,596.87506
1280.9973,1165.125
988.36255,1004.40625
988.39124,1091.8125
1051.756,877.34375
320.99707,533.21875
512.04474,606.2813
502.99426,566.84375
310.51306,96.40625
69.894775,17.0625
326.74512,274.96887
498.90417,255.0625
755.4799,849.4375
1349.4006,1531.4375
1468.868,1323.875
1314.7686,1435.0
1217.0913,1490.1875
1008.00165,1141.375
818.5268,1090.375
594.3244,378.75
531.11053,698.25
254.24585,199.1875
1136.8109,1047.7188
366.8838,523.46875
223.42065,219.0625
792.99805,468.96875
612.6479,840.8125
377.27606,348.0
320.27795,455.6875
502.13983,578.00006
153.76514,239.0
130.67395,309.0
124.28784,156.5
175.55737,133.4375
289.4048,441.0
282.85315,308.9375
152.73657,46.03125
98.9187,12.562622
354.1739,256.8125
295.49756,326.375
127.27112,149.5625
376.7436,409.56256
423.21423,413.7813
222.75024,169.40637
95.68787,91.18762
145.13208,427.75
84.29834,144.75
80.8125,110.375
63.08264,81.6875
70.49707,238.3125
85.34595,142.875
68.25659,78.875
79.05249,91.5
143.18884,190.0625
77.25232,75.4375
83.81079,133.4375
59.90332,25.0625
48.588257,63.5625
49.817627,55.125122
