preds,trues
390.70807,283.75
637.013,645.4375
400.3073,376.75006
354.09497,378.8125
673.0889,1130.9375
718.4855,799.5625
412.11194,534.0
442.6209,379.50006
596.5122,592.00006
800.1503,659.125
703.8625,142.84375
1399.7266,839.06256
626.74506,647.875
1712.1718,1789.375
1245.9729,1184.9375
1403.7297,1350.4062
1372.8202,1691.5
1503.0342,1707.625
1180.7767,899.5625
852.47516,1068.6875
900.0408,977.8125
1317.3246,2125.9688
2331.1475,2930.1875
2246.6995,2385.625
2123.4607,2436.6875
2267.7244,2013.4375
2135.3809,2151.5
975.16406,1686.625
1449.4003,1177.75
1069.3765,1502.8125
238.25317,249.15625
347.9939,481.5
634.0737,424.9375
522.35016,429.62506
1412.9346,1171.4375
465.68665,489.25006
1321.8794,1577.9688
1222.1864,767.43756
673.11115,873.6875
805.54474,616.4375
446.80426,348.75006
339.07208,284.125
357.58557,297.0
226.87183,272.5625
316.4734,273.9375
358.41663,359.59375
405.73126,399.0625
617.83636,1173.5625
1095.197,957.5625
503.92828,640.9375
415.22876,472.06256
825.98914,690.50006
467.11633,0.6876221
854.72595,715.00006
1084.228,1280.5
850.29663,452.25006
766.8278,1632.125
2022.6685,1773.3125
570.7571,1143.5
1360.942,769.87506
1206.8289,1564.3125
963.8779,1243.5
1097.7312,807.31256
65.400024,27.9375
68.4989,137.625
44.7865,179.5625
31.74524,0.34375
29.482544,0.0
29.556152,0.0
29.567627,0.0
29.568481,0.0
105.84607,10.8125
35.979248,0.0
241.68982,532.56256
540.6286,388.25006
299.60864,31.375122
6249.2227,6763.4375
4420.5996,3473.25
4978.415,7457.625
5116.5923,4418.625
4102.647,2997.25
5397.1675,3729.125
3752.5303,3511.6875
2870.396,3313.9062
2943.6265,3160.4688
3183.5493,2814.125
2142.2188,2477.875
1637.6738,2132.25
2796.3633,2869.375
2591.7542,1985.125
809.85925,1777.0938
1040.2301,1808.9375
897.433,1088.9375
497.9864,227.125
300.60303,231.3125
597.0652,525.56256
299.68396,191.4375
384.1861,294.875
284.43018,412.37506
1044.0461,503.25006
861.73035,1126.75
376.034,289.3125
352.48364,214.5
218.80627,189.3125
254.85425,180.25
250.1698,140.4375
