preds,trues
1017.05817,789.125
2443.3445,1525.125
1867.4119,1202.1875
1035.9385,1490.875
4180.044,5102.625
2260.7065,2252.1875
2680.5679,3202.75
2156.9624,1256.0625
904.9479,824.0625
1717.2,1890.6875
821.31396,742.9375
877.28906,477.625
706.22473,858.3125
1137.7876,1477.625
1711.3026,2345.0625
1640.6255,1409.875
1605.1702,1055.375
786.00995,443.8125
609.32697,516.5
660.9833,789.81256
1430.4241,1032.625
1096.438,1168.0
1523.4105,1672.6875
810.3118,594.8125
894.0928,903.0625
554.5148,637.4375
887.0676,868.09375
1749.832,1459.125
809.7597,710.84375
745.0503,586.4063
500.02252,503.25006
614.9219,530.84375
615.74756,437.875
736.297,856.9375
553.13965,398.75
595.17883,565.46875
972.4763,1120.375
1216.015,971.5
250.08325,185.125
257.8612,895.25
889.31586,847.84375
584.1346,396.65625
673.1177,1520.2188
809.1673,688.4375
924.9883,1241.75
1173.6763,874.40625
615.21027,452.5625
476.0597,278.15637
602.3877,505.6563
537.38666,348.37506
1152.9082,781.375
444.92236,407.40625
718.22485,696.8125
550.1032,554.25
478.73724,408.12506
770.98865,694.75
589.69696,376.0
599.23596,704.50006
1017.6252,1332.25
1254.55,1170.0625
1653.8218,2082.25
611.44635,360.62506
728.6404,915.625
683.5214,981.3125
1437.4398,1295.9375
515.85394,384.37506
1149.1152,916.3125
1369.9604,1400.0625
3019.3032,2448.2188
3129.7139,3057.0312
3447.814,3588.9688
3248.8982,5171.875
1719.8878,1558.6875
2003.7139,2433.625
2044.5067,1536.6562
965.83105,888.3125
1394.7273,1377.0
1476.3121,1490.1875
1123.2098,1174.9375
1332.6827,929.625
840.27655,942.875
1395.244,1215.75
1063.4604,1313.375
437.48657,408.12506
450.2439,503.18756
859.1428,1169.375
1043.4736,947.75
665.8351,794.0
921.754,945.0
978.9043,1020.4375
935.4808,453.75006
622.4184,1130.1875
706.286,452.18756
662.746,784.25
699.34094,840.8125
1182.8921,1187.5625
831.566,891.875
1102.3365,1290.3125
1432.2566,1546.125
886.4723,1077.8125
343.1681,386.50006
1391.3036,1616.0
1287.2245,1300.75
1710.2417,1638.4375
1475.6901,1925.6875
1938.5815,1989.3125
539.549,596.87506
1319.7684,1165.125
1025.531,1004.40625
1018.7247,1091.8125
1090.7043,877.34375
377.80713,533.21875
566.2024,606.2813
566.283,566.84375
367.8933,96.40625
89.05469,17.0625
397.6046,274.96887
579.574,255.0625
813.8356,849.4375
1368.8116,1531.4375
1456.5984,1323.875
1327.9258,1435.0
1231.8694,1490.1875
1040.9167,1141.375
850.4215,1090.375
591.3193,378.75
592.3643,698.25
295.61218,199.1875
1158.5798,1047.7188
406.55524,523.46875
276.90295,219.0625
842.98865,468.96875
659.21216,840.8125
416.63928,348.0
380.643,455.6875
559.865,578.00006
204.11438,239.0
193.56665,309.0
192.31506,156.5
240.1615,133.4375
359.38507,441.0
344.4925,308.9375
210.2063,46.03125
156.531,12.562622
424.80243,256.8125
359.70416,326.375
187.5138,149.5625
442.56415,409.56256
471.70905,413.7813
282.16846,169.40637
160.807,91.18762
219.77466,427.75
136.05017,144.75
125.09363,110.375
71.767944,81.6875
103.98828,238.3125
148.98499,142.875
88.22876,78.875
130.2362,91.5
216.94165,190.0625
120.47571,75.4375
148.10791,133.4375
65.17029,25.0625
48.105957,63.5625
49.30945,55.125122
43.08484,35.5625
62.257202,58.625
151.57654,37.6875
169.28003,60.000122
250.03394,195.00012
212.42004,121.0625
284.46753,452.18756
568.968,706.62506
619.101,327.0625
1595.1312,1207.125
1432.3083,1237.1875
1033.151,830.3125
1050.7673,791.1875
538.1979,476.625
401.3687,224.28125
289.06006,348.6875
345.11377,269.75
327.17554,255.81262
434.4049,208.1875
194.2782,116.0
367.59644,236.1875
167.94165,108.25
185.78137,183.4375
385.09875,102.0
224.85046,273.25
603.49445,459.18756
331.83252,498.43756
152.11316,260.0
278.42017,269.75
668.3098,290.75
456.83917,283.75
369.2522,421.43756
357.12518,436.8125
282.14355,206.1875
311.69897,276.0625
191.55542,475.25006
149.41968,929.5625
218.95508,90.06262
433.49182,218.375
211.99353,22.34375
175.03638,85.25012
346.74475,568.9375
459.04852,1080.625
1177.8767,1762.8125
2306.835,2719.75
2085.0361,1762.8125
1943.8,1732.75
1960.3635,2018.625
2578.558,2997.9375
2546.0962,3092.2812
2073.9326,2353.9688
