preds,trues
192.53638,153.6875
3854.642,3538.3125
2884.2715,2256.3125
2216.7622,1713.875
4054.8193,4362.4375
2481.984,2806.4375
4063.2603,4529.5
3459.9062,5487.8125
3830.5498,4783.5
4107.5645,3658.5
1933.5286,1501.375
2580.264,2961.5625
1973.2358,3603.3125
2707.9348,1897.0
3393.9583,2935.75
4008.566,3520.75
2705.6553,2642.8125
2417.0283,1378.375
2824.4653,2584.125
2604.8032,2456.9375
2419.8574,2706.5
2099.5825,1121.8125
1884.0201,2373.75
2206.129,2080.875
1585.311,1795.0
1602.1263,1651.6875
1603.6143,1636.3125
1489.7328,940.125
780.574,672.375
1454.4033,892.5625
755.81006,660.5
541.9597,596.87506
582.6718,340.375
378.16272,380.875
312.30603,264.875
428.42023,422.8125
1092.434,713.62506
1240.8915,1585.9375
1385.4108,1076.375
714.05945,542.56256
1049.9558,789.81256
776.40845,814.25006
815.1781,747.875
1064.9896,1260.875
1147.543,1216.25
957.6012,713.62506
1332.9167,1429.375
1295.503,1261.625
1121.981,840.12506
422.23462,885.5625
229.79907,0.0
616.5744,397.0
278.01746,1838.3125
242.87646,303.3125
361.49982,299.125
366.61218,448.75
772.0458,237.625
874.6118,451.5
309.68726,299.8125
272.23608,222.25
282.33167,113.875
181.32996,104.8125
209.48694,205.4375
189.91748,407.50006
450.03583,464.06256
197.56494,150.87512
246.8872,157.87512
200.92639,95.0
254.90637,106.18762
468.39282,277.4375
212.4956,2.0625
211.54895,212.4375
229.43103,113.18762
597.18146,596.9375
228.59143,223.50012
221.39368,204.75012
340.5993,117.375
355.44836,266.96875
435.18335,107.625
497.59338,269.75
254.43286,252.9375
401.77515,330.56256
418.90338,321.50012
360.76263,278.875
406.27887,283.40625
368.8651,264.125
311.42615,290.0
191.09131,37.6875
117.37256,137.0
188.26355,130.625
161.57556,133.40637
157.00952,123.6875
151.53479,135.5625
175.12756,124.3125
214.318,62.125122
255.7417,118.06262
355.373,454.93756
255.26917,124.3125
167.75647,41.875
114.072266,66.37512
115.060425,99.25012
165.83252,29.312622
194.4541,93.625
145.77112,77.5
141.41064,68.4375
115.43628,20.53125
210.67566,131.25
157.03748,101.31262
133.05627,127.875
172.15515,136.93762
134.10645,44.0
121.6427,32.75
75.98096,32.0625
88.19348,41.125122
105.12097,50.250122
98.918335,39.0625
145.71411,104.40625
165.04712,132.75
174.45471,147.4375
200.49207,130.28125
212.54065,147.40637
215.30432,201.9375
157.81628,120.125
137.5918,51.6875
206.23975,121.5625
144.22241,113.18762
172.58813,61.500122
174.02173,89.4375
194.49329,104.4375
151.97046,163.5
188.81775,185.87512
167.8363,93.625
208.90796,94.31262
148.12646,33.500122
115.44568,155.125
163.39111,69.1875
142.09473,43.9375
90.332886,59.03125
118.09912,26.15625
71.56079,57.65625
122.29724,77.5625
137.29858,85.25012
123.191284,153.00012
167.09851,143.59387
283.55554,235.15637
66.68945,196.4375
234.7052,135.25012
313.92126,52.3125
118.21411,44.625
134.49634,51.656372
158.66858,74.75
150.93542,58.0
155.39612,62.1875
112.135376,81.0
103.89136,76.8125
298.97168,130.6875
299.9734,25.437622
154.58704,190.0625
152.71777,153.6875
152.87012,39.0625
119.35278,100.625
194.60742,219.4375
218.97058,122.93762
204.71277,192.625
385.76483,90.75
437.6286,353.62506
238.27698,173.25
216.5304,118.06262
116.298706,34.1875
106.18945,55.843872
102.23413,129.25
135.76758,204.75012
207.37195,123.0625
159.37744,109.6875
171.06116,113.18762
132.59631,143.5625
124.463135,81.0
257.94348,81.8125
155.76038,90.8125
113.22717,27.9375
107.13208,35.625
97.28406,24.03125
90.532104,50.21875
97.52112,18.125
70.44202,20.875
61.428467,20.9375
62.68152,32.0625
96.25806,41.1875
109.701904,80.3125
123.55029,48.1875
91.94983,18.125
99.73181,38.437622
1896.7686,2483.5625
3055.0417,3296.4375
941.3873,793.31256
1505.7736,963.4375
432.69916,260.62512
1708.901,1077.125
1064.7611,1303.5625
1119.254,653.5
1776.7903,963.875
2720.8396,2378.625
1779.5587,1591.5625
924.7626,911.4375
540.80566,422.12506
436.154,1272.8125
755.20575,709.4375
561.30945,1014.875
908.0415,603.25
1174.232,575.53125
643.8523,731.5
866.1448,1728.5312
1350.1989,1001.625
891.6993,347.375
374.90082,395.62506
346.08606,221.5
475.17218,464.06256
431.3844,534.0
596.8206,498.3125
293.50342,427.00006
342.9109,880.6875
1720.5522,1239.6562
554.22473,773.0
1341.3676,1362.25
312.75134,323.62512
261.213,610.125
373.7359,398.37506
266.6786,48.875
511.7237,404.625
478.20337,1223.9062
1088.1753,831.75006
596.10114,267.68762
396.04108,605.25006
494.68536,136.25
220.98608,141.125
518.6198,976.5
1202.356,1009.3125
925.8704,1320.3125
145.26172,0.0
81.57971,0.0
93.299805,0.0
349.30267,1052.5938
1229.0273,1062.375
955.69965,999.5
973.51746,840.12506
1135.7471,1567.0625
1192.3887,1168.6875
1043.3569,1342.0
1739.7864,1685.875
720.24036,691.9375
1302.1343,1012.8125
841.19165,563.5625
614.51636,961.375
930.4203,997.03125
706.17584,794.0
836.44727,928.25
836.23126,427.6875
600.60266,600.37506
427.81824,0.0
661.4887,982.0625
1422.8782,1247.625
1090.5405,1494.0625
948.5939,830.75
448.73083,0.34375
964.8239,685.68756
495.4718,680.75
523.7891,1157.5
1014.1029,1282.625
805.2477,824.75006
1073.2638,1021.875
1166.9977,1297.2812
1324.2124,1503.0938
598.3303,917.75
512.42255,373.25
524.8556,194.9375
356.9787,476.0
264.43176,153.00012
214.27551,307.50012
133.74841,180.3125
205.92847,198.4375
254.67786,442.43756
508.17126,516.1563
492.52148,582.53125
714.96045,1091.8125
745.026,782.125
592.2137,641.56256
642.8896,604.5625
707.96265,664.0
447.6848,355.0625
473.34265,409.21875
432.55402,431.18756
595.1864,529.75
337.79065,385.8125
451.86194,371.8125
477.42126,399.75
313.9702,109.375
185.7633,154.09375
177.72888,89.71875
280.2235,259.3125
205.802,100.5625
210.32751,135.5
231.24072,203.375
217.97327,116.0
262.20776,160.34387
133.01575,6.187622
479.96973,536.75
420.92468,676.5625
552.947,385.8125
532.94824,328.43762
385.44586,4.125
220.86877,622.68756
1017.60583,1151.1875
628.77814,968.0
415.7284,198.4375
362.68762,20.1875
302.31287,371.8125
249.61365,11.15625
311.71118,317.3125
219.45898,316.5625
399.78485,632.5
455.66107,727.62506
155.50867,198.4375
121.95825,164.1875
195.52136,167.6875
127.14392,95.75
408.50665,186.93762
352.268,384.0625
337.66034,408.875
362.74597,374.9375
494.04956,405.37506
389.06348,404.75006
298.53015,421.43756
488.96277,366.25
471.94073,371.8125
402.7735,622.4063
536.9384,428.43756
549.0691,498.3125
493.59058,360.62506
367.0952,319.37512
319.02576,283.75
370.0503,62.875
81.833374,28.59375
33.181274,23.0625
107.01221,183.68762
119.8147,37.0
4431.064,3868.9375
2914.3462,3316.6875
3125.435,2622.625
3302.878,4463.75
2899.905,2618.375
2072.5017,2041.75
1914.04,1890.0
3919.2314,3799.6875
4051.8096,3960.4688
3210.1194,3146.8125
5639.342,5759.6875
4044.5967,4747.0625
4873.97,3678.75
4194.366,3741.6875
2698.353,2054.3125
2844.0854,2709.9375
3429.8247,3415.2188
3667.8672,3085.3125
2106.6582,1747.4375
4453.8394,5301.1875
6155.9517,6662.8125
5792.043,3708.125
2825.3804,2229.75
2405.8555,2485.625
2862.3755,3985.625
2171.0723,2115.125
2654.3052,3475.375
2593.6697,2456.9375
1895.5217,2424.0625
1386.2676,1547.6875
2365.1096,1987.25
1266.7325,835.9375
2107.6194,1633.5
1931.8584,2515.9375
1815.2057,1836.875
2654.8516,3409.625
1054.532,529.8125
1107.118,712.9375
2181.8628,3324.25
1713.0774,1997.0
3765.4033,3534.75
3768.7114,3008.4375
2019.5879,1773.3125
2110.2844,1933.375
2320.529,1572.0
2589.2893,2196.1875
1741.19,1332.9375
1844.3167,1051.1875
2203.4712,1977.0312
2539.2524,2728.4688
3620.4263,3979.3125
