preds,trues
197.45398,167.00012
184.63416,170.5
240.54517,202.625
70.655396,223.625
243.56128,138.3125
174.85413,215.875
148.34253,83.12512
183.86499,164.87512
195.35645,106.18762
852.8541,685.3125
835.1231,437.15625
671.22723,473.15625
473.60168,357.0938
766.60974,1154.375
755.5263,962.78125
1354.3533,1802.3125
566.709,622.75
664.7199,455.6875
449.20416,363.43756
413.25397,293.50012
725.696,1033.75
385.35413,383.0
364.3,271.1875
401.93744,401.1875
507.29218,368.31256
460.70465,380.1875
1197.3586,1211.25
570.4831,1005.75
698.0863,1065.875
544.89014,388.56256
329.35815,192.125
372.37762,239.75
508.36316,438.9375
466.4403,321.50012
401.242,359.25
567.9867,683.5625
829.97955,475.93756
491.31354,378.8125
348.53003,170.5
304.60254,269.75
386.29633,364.125
350.21002,391.37506
657.21564,443.06256
347.60925,243.93762
391.95374,290.75
487.10175,588.50006
749.31854,963.125
528.08466,863.875
627.7941,379.46875
562.8414,489.96875
586.8826,370.75
646.95294,964.1875
704.7515,378.50006
425.92584,437.875
458.74176,300.125
408.8064,455.31256
385.45953,608.8125
571.6491,443.06256
536.90765,571.87506
403.28137,329.875
449.03375,327.0625
302.94727,357.8125
469.2544,448.0
594.1885,1276.3125
608.37787,694.125
536.17096,473.875
512.9579,495.5
518.34973,1188.25
1233.8286,1092.5
1594.651,1952.25
1328.5748,2113.6875
766.99207,985.5
2280.1992,1959.9375
934.69324,727.5625
1150.5396,1960.625
337.3203,513.03125
427.5686,508.78125
480.93042,1031.0
384.34222,460.21875
518.86176,1134.4062
360.55194,464.43756
609.2559,359.62506
548.8521,467.5625
404.39374,292.59375
408.40955,535.0313
408.77686,144.625
156.2821,184.4375
226.8722,808.6875
219.79749,406.75
504.99994,351.56256
496.25153,297.75012
529.5714,370.37506
236.97961,365.56256
390.80548,471.06256
788.1602,677.9375
406.5354,480.25006
425.06396,413.0625
277.224,348.0625
392.7812,550.75
741.63434,559.875
341.29242,332.0
407.03052,446.625
454.89362,470.37506
332.15027,304.75012
380.20447,498.3125
334.66547,435.43756
308.65918,341.75006
234.98352,271.1875
336.57367,246.34375
296.37402,166.59375
149.8656,125.03125
170.06982,187.59375
459.9712,408.12506
500.24072,583.25
229.84888,473.875
703.8226,668.125
479.6407,606.6875
785.0206,1243.125
363.78888,443.8125
266.36072,283.75
358.3036,277.09387
311.24585,467.87506
301.2682,289.68762
331.77155,391.37506
294.0785,330.56256
612.70715,290.0625
303.8988,333.375
249.4978,203.375
203.3872,284.4375
364.4834,234.125
438.88184,218.0625
293.5287,137.625
245.5614,270.4375
349.06262,327.8125
182.1416,303.625
246.91052,241.78125
352.81207,416.15625
508.9886,555.625
408.40143,455.6875
288.13867,243.1875
234.88477,136.93762
242.43567,162.0625
265.5249,320.0625
155.8031,195.00012
198.23596,274.62512
361.24298,311.6875
72.13794,79.625
173.44836,590.5625
736.95435,705.9375
792.5522,700.3125
467.4007,433.31256
378.0434,388.56256
318.48254,320.75
588.8015,675.18756
658.5977,485.68756
651.9143,770.93756
419.41693,383.6875
320.14392,557.75
613.73694,606.625
642.814,671.0
480.45276,614.37506
744.83527,734.5625
467.96942,583.625
749.20526,720.5625
1152.7223,993.9375
316.78516,251.21887
465.26483,695.8125
301.7649,259.25
337.0725,406.75
336.77563,384.37506
318.3141,350.87506
525.8607,410.375
440.13434,416.9063
419.56146,334.75006
408.75415,471.75
552.5274,399.8125
442.1338,775.875
536.8404,536.37506
493.888,437.5
779.49414,593.37506
511.59888,450.375
499.92218,380.25
682.48145,566.8125
994.09424,1231.5625
682.37415,753.84375
516.0961,627.625
653.6611,732.50006
