preds,trues
170.3722,153.6875
3876.2705,3538.3125
2921.7344,2256.3125
2248.6624,1713.875
4111.134,4362.4375
2536.722,2806.4375
4093.977,4529.5
3522.8633,5487.8125
3803.747,4783.5
4122.673,3658.5
1938.1886,1501.375
2648.3638,2961.5625
2031.7429,3603.3125
2710.8867,1897.0
3499.9346,2935.75
4033.0127,3520.75
2670.276,2642.8125
2389.3887,1378.375
2826.2893,2584.125
2593.8828,2456.9375
2404.442,2706.5
2101.4417,1121.8125
1893.7767,2373.75
2224.8083,2080.875
1571.7599,1795.0
1614.5342,1651.6875
1598.4785,1636.3125
1468.877,940.125
774.87286,672.375
1468.7477,892.5625
745.743,660.5
525.75757,596.87506
568.1377,340.375
353.12,380.875
283.23877,264.875
390.3543,422.8125
1061.6377,713.62506
1223.0164,1585.9375
1370.0964,1076.375
686.0481,542.56256
1024.2219,789.81256
740.20544,814.25006
781.69775,747.875
1037.7758,1260.875
1125.937,1216.25
928.38025,713.62506
1323.545,1429.375
1284.4354,1261.625
1101.4977,840.12506
389.1543,885.5625
205.22437,0.0
581.6315,397.0
245.37769,1838.3125
214.41199,303.3125
317.16162,299.125
332.35468,448.75
760.76324,237.625
854.77106,451.5
277.4397,299.8125
241.73315,222.25
254.46338,113.875
151.12561,104.8125
175.62463,205.4375
156.76697,407.50006
416.29694,464.06256
168.31982,150.87512
226.62659,157.87512
176.61328,95.0
224.1101,106.18762
432.91382,277.4375
197.2301,2.0625
194.78064,212.4375
222.79407,113.18762
579.1426,596.9375
211.31958,223.50012
225.91663,204.75012
353.68713,117.375
361.0055,266.96875
433.53925,107.625
491.67102,269.75
243.39978,252.9375
376.32782,330.56256
421.33752,321.50012
359.6527,278.875
389.30554,283.40625
356.62604,264.125
289.02466,290.0
164.4978,37.6875
88.91809,137.0
153.01343,130.625
129.18115,133.40637
132.33899,123.6875
123.305664,135.5625
141.19727,124.3125
195.58032,62.125122
228.1753,118.06262
337.09283,454.93756
236.50342,124.3125
137.57922,41.875
86.51929,66.37512
90.900024,99.25012
132.54065,29.312622
157.25415,93.625
101.39514,77.5
99.8114,68.4375
87.375854,20.53125
182.71594,131.25
136.11938,101.31262
110.8501,127.875
160.50269,136.93762
112.02832,44.0
94.81799,32.75
78.88599,32.0625
80.14917,41.125122
85.236694,50.250122
83.86426,39.0625
109.115845,104.40625
123.62695,132.75
142.81812,147.4375
171.67603,130.28125
194.73828,147.40637
208.53906,201.9375
151.80212,120.125
117.16284,51.6875
182.03992,121.5625
130.03687,113.18762
153.0028,61.500122
158.48987,89.4375
175.79248,104.4375
131.91003,163.5
