preds,trues
190.60828,167.00012
179.78564,170.5
231.54785,202.625
81.902466,223.625
229.25366,138.3125
160.97864,215.875
130.89551,83.12512
166.52356,164.87512
176.72205,106.18762
833.1372,685.3125
817.13135,437.15625
651.68854,473.15625
447.70276,357.0938
744.28815,1154.375
741.5684,962.78125
1354.364,1802.3125
548.5057,622.75
643.45465,455.6875
426.61578,363.43756
387.64893,293.50012
702.7382,1033.75
360.9013,383.0
338.24823,271.1875
376.31836,401.1875
481.80426,368.31256
435.77124,380.1875
1193.2056,1211.25
547.62,1005.75
676.6885,1065.875
526.1106,388.56256
303.4613,192.125
346.847,239.75
484.13867,438.9375
440.38177,321.50012
375.37506,359.25
544.1351,683.5625
815.2035,475.93756
473.85187,378.8125
328.25464,170.5
278.02124,269.75
370.02643,364.125
331.74554,391.37506
638.7573,443.06256
324.0879,243.93762
366.04608,290.75
462.9756,588.50006
728.6727,963.125
506.38495,863.875
605.3693,379.46875
539.50586,489.96875
563.54846,370.75
625.2382,964.1875
684.2592,378.50006
400.40997,437.875
433.4748,300.125
384.37744,455.31256
368.30096,608.8125
557.3303,443.06256
522.1496,571.87506
378.4803,329.875
422.90112,327.0625
279.24048,357.8125
445.94775,448.0
570.8351,1276.3125
597.4442,694.125
521.3137,473.875
498.06287,495.5
504.3755,1188.25
1228.6779,1092.5
1599.5669,1952.25
1328.8573,2113.6875
747.28436,985.5
2276.8975,1959.9375
917.5008,727.5625
1144.2439,1960.625
297.95044,513.03125
389.95178,508.78125
444.19702,1031.0
346.66766,460.21875
489.07745,1134.4062
337.94507,464.43756
583.7536,359.62506
527.5483,467.5625
370.50745,292.59375
376.87683,535.0313
386.2608,144.625
117.02759,184.4375
190.38245,808.6875
184.47119,406.75
468.32758,351.56256
455.7473,297.75012
489.85168,370.37506
190.91858,365.56256
345.8744,471.06256
759.72876,677.9375
362.95062,480.25006
380.5014,413.0625
225.65283,348.0625
348.33466,550.75
717.8694,559.875
308.97913,332.0
375.22394,446.625
422.1292,470.37506
302.54822,304.75012
340.73077,498.3125
291.49866,435.43756
261.66492,341.75006
189.66162,271.1875
293.2284,246.34375
253.07385,166.59375
103.92969,125.03125
122.80713,187.59375
419.73706,408.12506
462.68915,583.25
183.83325,473.875
677.9118,668.125
440.77014,606.6875
754.3401,1243.125
321.12744,443.8125
224.01868,283.75
314.77917,277.09387
264.30872,467.87506
258.88135,289.68762
289.37317,391.37506
251.65002,330.56256
576.17163,290.0625
258.8772,333.375
217.52222,203.375
172.67285,284.4375
334.78156,234.125
403.35724,218.0625
258.69836,137.625
202.9928,270.4375
326.3871,327.8125
150.99805,303.625
214.91003,241.78125
313.84253,416.15625
478.89697,555.625
367.60474,455.6875
244.00818,243.1875
189.30615,136.93762
193.34607,162.0625
214.61035,320.0625
104.947876,195.00012
147.14404,274.62512
314.56006,311.6875
71.36755,79.625
133.1836,590.5625
713.2662,705.9375
765.0145,700.3125
430.48383,433.31256
341.6964,388.56256
278.6858,320.75
555.41565,675.18756
627.6266,485.68756
619.82025,770.93756
383.3863,383.6875
280.963,557.75
579.9761,606.625
613.0043,671.0
448.00586,614.37506
712.57355,734.5625
431.78986,583.625
720.0579,720.5625
1142.2495,993.9375
283.5443,251.21887
432.86005,695.8125
301.7223,259.25
334.57068,406.75
334.84656,384.37506
313.58032,350.87506
524.24115,410.375
438.91364,416.9063
416.91583,334.75006
406.87866,471.75
552.4685,399.8125
437.14893,775.875
533.9023,536.37506
490.96356,437.5
785.14325,593.37506
509.1886,450.375
496.1308,380.25
676.3789,566.8125
996.9236,1231.5625
678.4865,753.84375
511.62134,627.625
649.3604,732.50006
