preds,trues
85.56421,153.6875
68.97363,0.0
214.77332,267.68762
244.02441,178.5625
68.373535,71.28125
55.106445,0.0
63.5365,69.12512
532.50995,507.4375
289.46936,218.75012
86.354004,240.375
91.24121,383.6875
97.63208,95.6875
61.282715,29.250122
45.66687,41.875
57.466797,37.0
61.04187,93.625
84.013916,204.0
349.99652,396.28125
223.45142,302.96875
156.5896,83.875
119.323364,285.37512
82.34729,155.125
91.017944,127.125
213.1665,236.1875
558.84753,537.43756
345.01,606.6875
328.97156,481.5
333.92224,308.9375
76.01904,100.625
129.64111,160.00012
274.8684,206.87512
417.17804,408.1875
239.04443,299.125
68.159546,111.8125
66.86377,48.1875
43.447754,0.0
1636.2664,4191.8125
2051.3137,50.250122
79.60693,81.0625
56.924805,103.4375
55.979736,51.6875
45.84485,27.1875
56.26184,68.4375
64.8197,40.500122
51.891846,44.625
44.824463,1.375
45.71826,3.437622
46.28308,20.1875
38.2782,0.0
34.78882,0.0
50.895752,51.6875
58.766724,9.6875
53.07361,18.8125
37.445923,2.40625
51.94641,39.875
60.858643,83.9375
52.10144,44.625
48.526123,9.75
37.50232,0.0
34.21765,1.0
34.95642,0.0
32.975708,0.0
28.000854,0.0
28.024902,0.0
27.140747,0.0
26.637207,0.0
25.982788,0.0
25.680298,0.0
26.186523,0.0
36.464233,0.0
44.024414,0.0
34.13501,0.0
32.47632,0.0
35.71167,0.0
30.063477,0.0
25.694824,0.0
78.875854,0.0
37.1593,72.31262
37.27893,28.625
50.304443,113.875
76.198,153.00012
101.44568,90.06262
64.991455,103.375
63.41272,95.6875
80.0376,55.125122
39.308838,0.0
33.14685,0.125
35.283203,0.0
34.449707,0.0
33.481323,0.0
32.808716,0.0
30.95642,0.0
32.319458,7.59375
30.47876,6.9375
30.156738,5.000122
28.9104,5.1875
29.206299,38.718872
53.65271,203.8125
54.72693,69.56262
41.432983,95.50012
72.720215,255.0625
127.08313,267.0
62.396973,71.21875
38.40393,7.625
31.920776,11.125
40.489258,54.4375
41.515747,18.125
51.181274,25.125
44.19165,19.5
36.519775,19.562622
39.134644,18.125
48.64917,45.375122
65.13794,108.25
65.60498,96.4375
210.67334,220.81262
270.48303,212.4375
128.84729,60.75
151.7605,155.8125
326.0376,263.4375
267.578,396.9375
537.2792,612.25006
450.94757,378.8125
371.51196,287.9375
192.61707,202.00012
165.18347,285.8125
161.90564,189.375
79.50488,95.75
40.561035,74.75
29.138794,0.0
27.989624,0.0
328.6233,317.9375
461.11017,747.125
435.4978,507.375
531.0901,778.1875
972.92584,343.125
647.9502,268.375
721.57837,548.625
632.03375,726.90625
650.3754,561.87506
653.85645,873.0
1321.2362,1397.2812
597.4644,282.34375
101.18262,318.81262
169.27148,3.125
57.664673,0.0
42.08313,0.0
