preds,trues
1033.305,789.125
2541.3977,1525.125
1873.5236,1202.1875
986.61365,1490.875
4235.8105,5102.625
2347.7715,2252.1875
2738.5752,3202.75
2233.163,1256.0625
915.47034,824.0625
1708.3239,1890.6875
1002.61804,742.9375
897.5051,477.625
720.6346,858.3125
1128.1263,1477.625
1638.9138,2345.0625
1638.7507,1409.875
1578.2607,1055.375
781.51215,443.8125
601.63257,516.5
625.3317,789.81256
1385.66,1032.625
1071.6567,1168.0
1435.3264,1672.6875
786.1274,594.8125
886.4458,903.0625
526.5249,637.4375
891.9601,868.09375
1752.7247,1459.125
762.5675,710.84375
731.5801,586.4063
469.0423,503.25006
589.2617,530.84375
587.92065,437.875
712.0648,856.9375
498.88873,398.75
582.57336,565.46875
948.69543,1120.375
1180.3097,971.5
215.70178,185.125
217.46326,895.25
819.15704,847.84375
551.5233,396.65625
674.9443,1520.2188
757.07196,688.4375
928.5918,1241.75
1154.0261,874.40625
601.4602,452.5625
455.76123,278.15637
571.8764,505.6563
502.0362,348.37506
1155.9377,781.375
410.15033,407.40625
716.809,696.8125
536.42633,554.25
458.04504,408.12506
746.5655,694.75
549.43506,376.0
575.7851,704.50006
1004.7477,1332.25
1206.2772,1170.0625
1579.6052,2082.25
559.5948,360.62506
729.69617,915.625
685.85657,981.3125
1380.9786,1295.9375
486.3634,384.37506
1138.0997,916.3125
1364.077,1400.0625
3112.33,2448.2188
3287.9062,3057.0312
3497.984,3588.9688
3306.4968,5171.875
1797.4717,1558.6875
2045.0332,2433.625
2034.7286,1536.6562
1048.7467,888.3125
1346.6775,1377.0
1505.1483,1490.1875
1184.1522,1174.9375
1364.9576,929.625
848.60095,942.875
1361.1799,1215.75
991.4785,1313.375
419.50195,408.12506
400.4651,503.18756
822.2998,1169.375
1046.0894,947.75
693.9238,794.0
913.2052,945.0
978.8014,1020.4375
958.402,453.75006
608.4647,1130.1875
680.31036,452.18756
663.5797,784.25
742.0926,840.8125
1148.082,1187.5625
827.4837,891.875
1124.8223,1290.3125
1435.776,1546.125
928.5958,1077.8125
388.60962,386.50006
1308.2375,1616.0
1289.1904,1300.75
1821.7394,1638.4375
1488.0796,1925.6875
1954.9565,1989.3125
579.9622,596.87506
1264.4382,1165.125
993.9024,1004.40625
1006.41943,1091.8125
1044.5447,877.34375
394.93713,533.21875
595.50946,606.2813
573.9844,566.84375
365.87646,96.40625
94.94287,17.0625
413.1682,274.96887
503.9527,255.0625
786.98035,849.4375
1293.4727,1531.4375
1519.3125,1323.875
1371.9639,1435.0
1244.5564,1490.1875
1017.6168,1141.375
897.8069,1090.375
771.6159,378.75
618.25024,698.25
342.64844,199.1875
1187.7009,1047.7188
