preds,trues
209.99292,153.6875
3675.414,3538.3125
2917.6064,2256.3125
2187.7354,1713.875
4032.9058,4362.4375
2503.4927,2806.4375
3937.165,4529.5
3435.755,5487.8125
3618.377,4783.5
4093.4438,3658.5
1991.3945,1501.375
2666.2522,2961.5625
1910.6719,3603.3125
2609.7844,1897.0
3484.1597,2935.75
4078.7905,3520.75
2739.756,2642.8125
2447.6821,1378.375
2941.5264,2584.125
2567.4204,2456.9375
2357.044,2706.5
2065.9631,1121.8125
1884.7954,2373.75
2218.47,2080.875
1531.4062,1795.0
1563.3043,1651.6875
1549.6499,1636.3125
1409.5719,940.125
798.2582,672.375
1448.4888,892.5625
737.1975,660.5
544.0876,596.87506
575.7044,340.375
381.53577,380.875
304.4674,264.875
429.90912,422.8125
1053.9832,713.62506
1189.7136,1585.9375
1325.2516,1076.375
701.1144,542.56256
989.53284,789.81256
741.3521,814.25006
786.9911,747.875
1032.9678,1260.875
1092.3071,1216.25
949.6594,713.62506
1283.3107,1429.375
1269.9698,1261.625
1069.0184,840.12506
408.52026,885.5625
187.9784,0.0
581.70264,397.0
263.42908,1838.3125
225.91028,303.3125
356.85608,299.125
372.6648,448.75
730.4466,237.625
867.646,451.5
294.12952,299.8125
262.40442,222.25
250.573,113.875
170.97424,104.8125
208.17651,205.4375
183.53564,407.50006
400.734,464.06256
199.70752,150.87512
243.24316,157.87512
182.56946,95.0
255.01697,106.18762
444.7744,277.4375
200.56177,2.0625
215.61243,212.4375
231.50403,113.18762
625.7181,596.9375
279.16504,223.50012
250.8158,204.75012
353.62927,117.375
361.3755,266.96875
429.41583,107.625
515.1266,269.75
263.4757,252.9375
412.87817,330.56256
421.13824,321.50012
367.43988,278.875
418.31732,283.40625
372.5094,264.125
336.089,290.0
203.38855,37.6875
140.56897,137.0
202.26147,130.625
184.49536,133.40637
175.6034,123.6875
164.87,135.5625
184.5669,124.3125
216.35559,62.125122
280.83423,118.06262
349.07172,454.93756
248.68042,124.3125
161.29614,41.875
126.11035,66.37512
146.29529,99.25012
165.51245,29.312622
189.69165,93.625
150.39734,77.5
142.8219,68.4375
115.82434,20.53125
223.41443,131.25
157.94849,101.31262
137.91211,127.875
190.54358,136.93762
140.64734,44.0
125.180664,32.75
83.3822,32.0625
92.78601,41.125122
111.011475,50.250122
108.09961,39.0625
165.4076,104.40625
171.02478,132.75
186.4519,147.4375
198.23059,130.28125
218.83655,147.40637
221.10547,201.9375
155.69629,120.125
123.17798,51.6875
200.49585,121.5625
145.43018,113.18762
166.47388,61.500122
168.78455,89.4375
194.31055,104.4375
139.99658,163.5
188.18689,185.87512
169.9967,93.625
219.51392,94.31262
147.73767,33.500122
110.97327,155.125
169.83374,69.1875
134.63708,43.9375
99.28247,59.03125
138.41724,26.15625
114.28259,57.65625
124.336426,77.5625
128.39368,85.25012
132.58606,153.00012
160.1156,143.59387
262.51062,235.15637
54.735718,196.4375
223.81482,135.25012
301.95593,52.3125
109.86218,44.625
123.47864,51.656372
150.77783,74.75
150.42029,58.0
162.10144,62.1875
113.21155,81.0
102.21448,76.8125
291.40002,130.6875
301.02393,25.437622
154.23157,190.0625
132.96118,153.6875
149.02612,39.0625
113.216064,100.625
197.93323,219.4375
209.69104,122.93762
199.27954,192.625
352.29156,90.75
427.26453,353.62506
239.57458,173.25
212.04797,118.06262
105.322266,34.1875
93.01819,55.843872
96.791626,129.25
127.2832,204.75012
197.25024,123.0625
143.50464,109.6875
149.71228,113.18762
113.357544,143.5625
106.27344,81.0
249.98059,81.8125
138.4342,90.8125
94.99866,27.9375
95.57129,35.625
83.3208,24.03125
82.90588,50.21875
83.69397,18.125
62.61841,20.875
46.24402,20.9375
60.052124,32.0625
96.13977,41.1875
110.14868,80.3125
117.77197,48.1875
85.6095,18.125
90.753784,38.437622
1852.1687,2483.5625
3014.2866,3296.4375
981.46155,793.31256
1467.0891,963.4375
470.88538,260.62512
1626.374,1077.125
1039.9075,1303.5625
1066.5576,653.5
1746.0769,963.875
2737.7769,2378.625
1717.4648,1591.5625
916.2101,911.4375
553.67,422.12506
428.5771,1272.8125
715.2387,709.4375
552.34546,1014.875
899.05505,603.25
1155.6335,575.53125
636.0259,731.5
846.1675,1728.5312
1268.9984,1001.625
893.77466,347.375
364.49268,395.62506
337.62207,221.5
467.27753,464.06256
419.8136,534.0
579.6439,498.3125
288.63635,427.00006
333.22546,880.6875
1648.6704,1239.6562
556.7033,773.0
1303.3682,1362.25
310.44348,323.62512
283.6587,610.125
374.44702,398.37506
267.12134,48.875
523.30664,404.625
482.0028,1223.9062
1042.5898,831.75006
596.16315,267.68762
388.00354,605.25006
474.89862,136.25
212.60974,141.125
507.17548,976.5
1159.5284,1009.3125
885.94995,1320.3125
130.80896,0.0
90.71045,0.0
96.49524,0.0
347.58862,1052.5938
1141.9747,1062.375
917.5269,999.5
942.8916,840.12506
1112.9076,1567.0625
1145.2006,1168.6875
996.9374,1342.0
1655.5656,1685.875
715.5459,691.9375
1284.2644,1012.8125
815.51465,563.5625
639.8487,961.375
900.27527,997.03125
690.4053,794.0
824.8621,928.25
828.9892,427.6875
624.1589,600.37506
435.16602,0.0
709.06,982.0625
1371.061,1247.625
1064.2136,1494.0625
879.67944,830.75
495.26788,0.34375
969.4784,685.68756
487.65625,680.75
514.52057,1157.5
986.40186,1282.625
794.7585,824.75006
1050.4779,1021.875
1148.5067,1297.2812
1269.4634,1503.0938
594.60046,917.75
451.12238,373.25
498.81506,194.9375
362.9052,476.0
239.26733,153.00012
221.7721,307.50012
140.57544,180.3125
224.8003,198.4375
276.32593,442.43756
500.67834,516.1563
488.24292,582.53125
690.75354,1091.8125
737.2824,782.125
599.777,641.56256
645.0169,604.5625
685.10614,664.0
455.79553,355.0625
492.966,409.21875
435.12042,431.18756
575.34283,529.75
336.93878,385.8125
459.49994,371.8125
486.80743,399.75
330.4137,109.375
193.44287,154.09375
194.85608,89.71875
296.14343,259.3125
217.8916,100.5625
210.16003,135.5
241.15723,203.375
220.68909,116.0
270.7428,160.34387
159.92041,6.187622
459.2912,536.75
406.5857,676.5625
576.45135,385.8125
529.13605,328.43762
400.63098,4.125
265.58228,622.68756
964.47656,1151.1875
600.6351,968.0
467.3357,198.4375
417.5904,20.1875
290.08228,371.8125
245.72961,11.15625
329.52173,317.3125
206.93884,316.5625
403.00757,632.5
448.09015,727.62506
187.71985,198.4375
127.77869,164.1875
196.30737,167.6875
135.58582,95.75
393.95795,186.93762
344.9364,384.0625
351.688,408.875
363.2827,374.9375
497.75214,405.37506
387.4204,404.75006
307.4707,421.43756
483.88647,366.25
470.53522,371.8125
405.18524,622.4063
537.5929,428.43756
550.75305,498.3125
498.11768,360.62506
379.16498,319.37512
319.81323,283.75
382.49274,62.875
104.68677,28.59375
32.357666,23.0625
130.63855,183.68762
154.66565,37.0
4454.6733,3868.9375
2977.3599,3316.6875
3050.8794,2622.625
3176.6113,4463.75
2814.6895,2618.375
2086.1016,2041.75
1936.0537,1890.0
3719.1274,3799.6875
3895.038,3960.4688
3218.7676,3146.8125
5690.876,5759.6875
3915.9302,4747.0625
