preds,trues
192.71936,153.6875
3720.6929,3538.3125
2931.1885,2256.3125
2189.0635,1713.875
4067.146,4362.4375
2517.146,2806.4375
3976.2036,4529.5
3465.3477,5487.8125
3662.2485,4783.5
4135.353,3658.5
1990.5747,1501.375
2677.0781,2961.5625
1920.97,3603.3125
2630.0967,1897.0
3510.2231,2935.75
4114.2905,3520.75
2756.5264,2642.8125
2456.579,1378.375
2946.5103,2584.125
2579.9102,2456.9375
2368.9775,2706.5
2067.9834,1121.8125
1877.523,2373.75
2219.7488,2080.875
1525.8085,1795.0
1559.1749,1651.6875
1542.4426,1636.3125
1402.0532,940.125
787.8008,672.375
1441.748,892.5625
723.83105,660.5
530.63727,596.87506
561.3767,340.375
365.75507,380.875
288.51074,264.875
412.5241,422.8125
1043.2068,713.62506
1182.2982,1585.9375
1318.7535,1076.375
685.1693,542.56256
977.69366,789.81256
726.36237,814.25006
772.77026,747.875
1020.2496,1260.875
1081.2091,1216.25
934.88153,713.62506
1274.247,1429.375
1258.2806,1261.625
1057.4723,840.12506
389.69263,885.5625
170.15173,0.0
564.09045,397.0
246.4021,1838.3125
209.13867,303.3125
338.37335,299.125
355.6018,448.75
718.5056,237.625
852.50867,451.5
275.69678,299.8125
245.55652,222.25
234.77551,113.875
153.26282,104.8125
189.72876,205.4375
166.38416,407.50006
385.971,464.06256
183.2594,150.87512
227.9491,157.87512
166.41345,95.0
239.06323,106.18762
430.11005,277.4375
185.67969,2.0625
200.19556,212.4375
217.39722,113.18762
616.59485,596.9375
267.04614,223.50012
241.03088,204.75012
346.19873,117.375
351.35376,266.96875
419.27936,107.625
503.64453,269.75
250.03638,252.9375
399.6421,330.56256
412.32623,321.50012
356.2185,278.875
405.73737,283.40625
360.2248,264.125
323.34436,290.0
188.90479,37.6875
125.0072,137.0
187.11719,130.625
169.828,133.40637
161.56787,123.6875
149.41406,135.5625
169.41919,124.3125
202.98364,62.125122
268.24683,118.06262
336.36365,454.93756
233.96594,124.3125
144.82544,41.875
110.17273,66.37512
132.47351,99.25012
148.67859,29.312622
172.55115,93.625
132.72534,77.5
125.162964,68.4375
97.76587,20.53125
208.97705,131.25
143.07214,101.31262
123.4707,127.875
176.38562,136.93762
125.88318,44.0
109.51074,32.75
66.799805,32.0625
75.16284,41.125122
94.79028,50.250122
91.36194,39.0625
150.11145,104.40625
154.31128,132.75
171.76721,147.4375
182.00171,130.28125
204.71033,147.40637
208.26184,201.9375
142.19824,120.125
106.546875,51.6875
184.83472,121.5625
130.22815,113.18762
151.29822,61.500122
154.20752,89.4375
179.80286,104.4375
125.01465,163.5
175.4126,185.87512
156.36365,93.625
207.3628,94.31262
134.48047,33.500122
97.49805,155.125
159.8866,69.1875
120.09827,43.9375
84.25891,59.03125
123.00244,26.15625
100.46399,57.65625
109.453125,77.5625
113.89819,85.25012
120.65039,153.00012
146.86804,143.59387
251.84839,235.15637
41.604126,196.4375
214.4707,135.25012
294.1997,52.3125
95.083374,44.625
108.07959,51.656372
137.83813,74.75
136.60669,58.0
148.63855,62.1875
98.658936,81.0
88.6012,76.8125
281.5244,130.6875
292.80432,25.437622
140.76819,190.0625
121.03284,153.6875
133.8252,39.0625
98.15442,100.625
185.84875,219.4375
194.81909,122.93762
186.20154,192.625
345.1859,90.75
418.93622,353.62506
228.1792,173.25
197.65869,118.06262
89.841675,34.1875
76.540405,55.843872
82.537964,129.25
111.991455,204.75012
186.45837,123.0625
130.08447,109.6875
138.46521,113.18762
99.46692,143.5625
92.77307,81.0
240.09229,81.8125
127.26233,90.8125
80.226685,27.9375
78.55823,35.625
65.32214,24.03125
65.88843,50.21875
65.5426,18.125
45.207275,20.875
36.11084,20.9375
43.299805,32.0625
79.32385,41.1875
95.76294,80.3125
102.315186,48.1875
69.703735,18.125
75.041626,38.437622
1853.8601,2483.5625
3038.4297,3296.4375
964.55334,793.31256
1458.3721,963.4375
455.47113,260.62512
1624.1672,1077.125
1028.5469,1303.5625
1057.9283,653.5
1744.1318,963.875
2744.539,2378.625
1717.5873,1591.5625
902.26196,911.4375
538.65314,422.12506
414.26294,1272.8125
705.7622,709.4375
539.24414,1014.875
888.9934,603.25
1145.5542,575.53125
619.8647,731.5
836.80743,1728.5312
1266.1965,1001.625
881.817,347.375
345.4973,395.62506
323.76855,221.5
453.41052,464.06256
406.08832,534.0
566.2056,498.3125
274.1781,427.00006
316.80176,880.6875
1647.1823,1239.6562
543.3253,773.0
1297.4047,1362.25
295.60754,323.62512
270.55884,610.125
361.74146,398.37506
254.43933,48.875
510.7389,404.625
467.41705,1223.9062
1033.717,831.75006
584.0128,267.68762
371.62335,605.25006
462.35712,136.25
195.59656,141.125
492.22418,976.5
1151.7677,1009.3125
