preds,trues
174.16394,167.00012
160.17407,170.5
211.53088,202.625
53.112915,223.625
222.82898,138.3125
159.63135,215.875
130.77966,83.12512
169.28003,164.87512
175.71765,106.18762
809.4475,685.3125
771.9009,437.15625
646.5586,473.15625
436.0669,357.0938
736.91364,1154.375
736.3353,962.78125
1299.9944,1802.3125
530.3503,622.75
607.8691,455.6875
421.3573,363.43756
387.73767,293.50012
685.8939,1033.75
340.99603,383.0
338.37866,271.1875
381.22595,401.1875
470.81067,368.31256
434.82806,380.1875
1154.194,1211.25
525.1169,1005.75
663.1632,1065.875
543.849,388.56256
306.03455,192.125
345.98914,239.75
476.6759,438.9375
427.03876,321.50012
374.2644,359.25
539.8809,683.5625
789.3457,475.93756
463.8708,378.8125
321.0702,170.5
274.97266,269.75
362.06653,364.125
320.3756,391.37506
629.7264,443.06256
313.1914,243.93762
365.6834,290.75
454.70514,588.50006
713.98987,963.125
474.3216,863.875
589.9782,379.46875
531.84875,489.96875
556.22156,370.75
609.7383,964.1875
664.4206,378.50006
398.64722,437.875
426.13287,300.125
385.167,455.31256
354.72278,608.8125
526.1488,443.06256
502.12036,571.87506
362.63135,329.875
421.88757,327.0625
272.61853,357.8125
441.03137,448.0
552.0797,1276.3125
563.95874,694.125
523.84686,473.875
483.97156,495.5
483.27594,1188.25
1184.5198,1092.5
1523.8628,1952.25
1261.9028,2113.6875
727.33264,985.5
2224.8892,1959.9375
892.1732,727.5625
1141.2961,1960.625
327.04846,513.03125
418.1975,508.78125
475.66998,1031.0
373.04926,460.21875
508.01227,1134.4062
366.01776,464.43756
609.23315,359.62506
533.37006,467.5625
395.2846,292.59375
392.4048,535.0313
407.9134,144.625
156.49146,184.4375
226.71985,808.6875
201.18848,406.75
486.01654,351.56256
477.7414,297.75012
512.3144,370.37506
233.2367,365.56256
380.39752,471.06256
765.2898,677.9375
383.34937,480.25006
397.98358,413.0625
266.9292,348.0625
376.1582,550.75
725.4234,559.875
315.0327,332.0
407.5327,446.625
434.03046,470.37506
308.98962,304.75012
347.8329,498.3125
313.10156,435.43756
291.67773,341.75006
230.38843,271.1875
330.57135,246.34375
287.06958,166.59375
146.29065,125.03125
165.44958,187.59375
452.0877,408.12506
479.21368,583.25
208.271,473.875
685.8572,668.125
450.57935,606.6875
751.3504,1243.125
347.16785,443.8125
259.4734,283.75
342.2375,277.09387
303.7494,467.87506
279.24585,289.68762
311.62732,391.37506
274.7544,330.56256
605.1742,290.0625
288.8269,333.375
240.81091,203.375
200.31934,284.4375
358.74426,234.125
405.69055,218.0625
286.7339,137.625
222.52222,270.4375
340.16858,327.8125
170.90271,303.625
241.7439,241.78125
335.99854,416.15625
484.56836,555.625
375.5647,455.6875
266.68933,243.1875
244.1864,136.93762
239.42175,162.0625
259.9641,320.0625
160.52881,195.00012
202.0946,274.62512
348.92133,311.6875
74.125244,79.625
170.27148,590.5625
710.4428,705.9375
741.4648,700.3125
439.70923,433.31256
356.568,388.56256
301.97266,320.75
567.4453,675.18756
632.3613,485.68756
625.2955,770.93756
392.701,383.6875
306.80725,557.75
572.5986,606.625
612.3775,671.0
448.6565,614.37506
700.74884,734.5625
447.33783,583.625
710.56824,720.5625
1113.905,993.9375
297.8828,251.21887
444.0923,695.8125
277.86243,259.25
325.1056,406.75
311.53345,384.37506
301.34595,350.87506
506.1178,410.375
418.6996,416.9063
399.69476,334.75006
393.12,471.75
535.9079,399.8125
429.5608,775.875
512.6035,536.37506
477.49872,437.5
765.3858,593.37506
499.5777,450.375
486.19733,380.25
678.46497,566.8125
959.8522,1231.5625
661.4843,753.84375
499.71173,627.625
636.66626,732.50006
