preds,trues
341.404,283.75
615.0629,645.4375
358.13544,376.75006
316.7262,378.8125
649.5105,1130.9375
644.10834,799.5625
395.83807,534.0
422.11182,379.50006
567.67334,592.00006
802.1421,659.125
662.51166,142.84375
1379.586,839.06256
602.606,647.875
1742.976,1789.375
1244.2161,1184.9375
1394.7908,1350.4062
1286.512,1691.5
1505.4161,1707.625
1094.7921,899.5625
777.1354,1068.6875
855.2507,977.8125
1358.1595,2125.9688
2428.6125,2930.1875
2321.404,2385.625
2178.5647,2436.6875
2377.6182,2013.4375
2144.7244,2151.5
813.0483,1686.625
1401.4666,1177.75
1012.5552,1502.8125
173.78601,249.15625
331.5396,481.5
622.972,424.9375
491.78802,429.62506
1438.3485,1171.4375
389.51245,489.25006
1302.6971,1577.9688
1186.8151,767.43756
633.3512,873.6875
821.06714,616.4375
436.48676,348.75006
331.08398,284.125
363.24463,297.0
237.33374,272.5625
325.43372,273.9375
362.6562,359.59375
401.7273,399.0625
621.79895,1173.5625
1091.7316,957.5625
460.05316,640.9375
388.4176,472.06256
803.2888,690.50006
451.63977,0.6876221
850.911,715.00006
1057.8837,1280.5
813.61,452.25006
764.1446,1632.125
2126.3604,1773.3125
404.66742,1143.5
1295.5233,769.87506
1173.8527,1564.3125
875.45764,1243.5
991.43005,807.31256
34.229004,27.9375
87.26367,137.625
38.53894,179.5625
29.687012,0.34375
30.742798,0.0
30.798828,0.0
30.804565,0.0
30.804565,0.0
26.860596,10.8125
42.208862,0.0
242.66455,532.56256
451.95288,388.25006
360.9994,31.375122
5983.3525,6763.4375
4308.231,3473.25
4925.7607,7457.625
4749.2896,4418.625
4060.19,2997.25
5098.5327,3729.125
3733.9297,3511.6875
2986.4604,3313.9062
3014.87,3160.4688
3213.3032,2814.125
2174.115,2477.875
1636.6448,2132.25
2739.7607,2869.375
2619.4463,1985.125
872.73193,1777.0938
993.8256,1808.9375
830.1952,1088.9375
488.42487,227.125
295.33936,231.3125
553.48175,525.56256
273.59265,191.4375
354.71875,294.875
257.00134,412.37506
915.42633,503.25006
796.2583,1126.75
345.31403,289.3125
322.85742,214.5
198.6726,189.3125
227.42212,180.25
225.45837,140.4375
