preds,trues
1078.1229,789.125
2449.7324,1525.125
1797.9401,1202.1875
928.6322,1490.875
4213.1104,5102.625
2308.11,2252.1875
2724.5308,3202.75
2207.9216,1256.0625
878.827,824.0625
1696.7645,1890.6875
855.59973,742.9375
821.1211,477.625
722.2948,858.3125
1145.3975,1477.625
1624.4751,2345.0625
1618.9797,1409.875
1471.6837,1055.375
793.6996,443.8125
627.91077,516.5
648.0496,789.81256
1310.6577,1032.625
1045.3326,1168.0
1366.0155,1672.6875
785.7987,594.8125
895.8668,903.0625
549.9877,637.4375
911.96387,868.09375
1646.1566,1459.125
767.4987,710.84375
756.8647,586.4063
551.26166,503.25006
581.2422,530.84375
668.6627,437.875
702.0293,856.9375
537.9805,398.75
598.7923,565.46875
909.19775,1120.375
1142.2937,971.5
285.03174,185.125
295.65808,895.25
784.4842,847.84375
585.70013,396.65625
717.8958,1520.2188
747.7944,688.4375
960.7479,1241.75
1099.9509,874.40625
677.44934,452.5625
510.79523,278.15637
618.3377,505.6563
546.1044,348.37506
1092.1823,781.375
486.1656,407.40625
776.4786,696.8125
563.60724,554.25
480.82617,408.12506
757.7585,694.75
572.1535,376.0
596.01556,704.50006
994.0706,1332.25
1186.7217,1170.0625
1537.5499,2082.25
680.4309,360.62506
780.3201,915.625
750.00836,981.3125
1302.1128,1295.9375
523.6077,384.37506
1085.8649,916.3125
1308.594,1400.0625
3045.5432,2448.2188
3173.7244,3057.0312
3531.8706,3588.9688
3320.4658,5171.875
1796.1041,1558.6875
2056.8035,2433.625
1954.7118,1536.6562
1054.4208,888.3125
1337.6827,1377.0
1490.7971,1490.1875
1145.0673,1174.9375
1304.1814,929.625
842.3611,942.875
1325.2997,1215.75
1006.82825,1313.375
403.76312,408.12506
445.23077,503.18756
877.2041,1169.375
1056.4097,947.75
652.18097,794.0
908.8294,945.0
971.2169,1020.4375
931.10913,453.75006
590.9814,1130.1875
677.4519,452.18756
667.16534,784.25
724.7639,840.8125
1186.6807,1187.5625
776.1447,891.875
1149.0623,1290.3125
1478.773,1546.125
848.20935,1077.8125
306.65698,386.50006
1403.8857,1616.0
1251.9001,1300.75
1831.01,1638.4375
1428.6228,1925.6875
1962.5941,1989.3125
437.10608,596.87506
1279.296,1165.125
997.69446,1004.40625
985.70605,1091.8125
1037.4929,877.34375
355.3952,533.21875
605.73206,606.2813
585.3732,566.84375
330.88153,96.40625
77.4657,17.0625
455.64252,274.96887
552.7352,255.0625
837.7909,849.4375
1343.9551,1531.4375
1490.5807,1323.875
1327.9525,1435.0
1201.827,1490.1875
962.91394,1141.375
852.671,1090.375
613.4321,378.75
607.3424,698.25
283.55127,199.1875
1238.9535,1047.7188
407.37836,523.46875
292.53882,219.0625
893.82196,468.96875
688.39215,840.8125
408.24005,348.0
390.82635,455.6875
588.40857,578.00006
201.71545,239.0
229.13586,309.0
241.29419,156.5
285.05005,133.4375
414.42957,441.0
361.1324,308.9375
233.9729,46.03125
207.5481,12.562622
479.8401,256.8125
389.779,326.375
206.69836,149.5625
489.8424,409.56256
498.25787,413.7813
308.8745,169.40637
177.3313,91.18762
258.75354,427.75
152.97998,144.75
151.1145,110.375
102.081055,81.6875
136.65405,238.3125
182.47144,142.875
115.829834,78.875
169.82703,91.5
250.93372,190.0625
151.02368,75.4375
185.34119,133.4375
70.8595,25.0625
66.36548,63.5625
69.56677,55.125122
51.48242,35.5625
91.22766,58.625
189.77588,37.6875
210.60522,60.000122
289.8662,195.00012
250.70032,121.0625
319.11963,452.18756
584.9205,706.62506
658.3258,327.0625
1649.6439,1207.125
1385.3489,1237.1875
1077.1526,830.3125
1058.6075,791.1875
515.8195,476.625
432.21924,224.28125
295.80273,348.6875
379.5514,269.75
354.53564,255.81262
478.14227,208.1875
231.02295,116.0
398.5943,236.1875
207.49878,108.25
228.02637,183.4375
416.40662,102.0
271.5907,273.25
641.2585,459.18756
377.22394,498.43756
197.15967,260.0
307.7744,269.75
713.27966,290.75
496.469,283.75
406.22723,421.43756
391.8717,436.8125
321.26636,206.1875
355.9638,276.0625
237.41626,475.25006
191.25403,929.5625
222.17761,90.06262
451.84204,218.375
213.98926,22.34375
212.52197,85.25012
370.09338,568.9375
508.70685,1080.625
1235.3062,1762.8125
2351.7903,2719.75
2151.2466,1762.8125
1945.148,1732.75
2009.9918,2018.625
2788.9004,2997.9375
2672.2944,3092.2812
2194.3462,2353.9688
1620.083,939.375
348.41693,865.28125
380.90424,457.8125
391.13184,518.625
446.89423,316.5625
286.8075,220.81262
298.27087,187.3125
303.0149,299.8125
434.21893,340.375
319.29663,464.06256
447.85443,311.6875
695.48785,696.875
607.4256,437.5
743.6579,575.87506
565.98694,675.0
626.76514,743.00006
863.8312,501.8125
298.33655,139.75
560.0081,1760.75
1751.8447,1451.0625
834.0762,988.3125
852.80316,168.09375
397.9945,0.34375
295.54028,292.875
243.17358,292.8125
357.71375,210.3125
263.09595,308.1875
434.01892,1010.0
737.6499,420.75
313.4812,496.25006
580.2392,566.125
762.66736,652.06256
676.3376,594.75006
713.24817,629.75
731.08997,730.375
515.8112,682.93756
1185.6608,1248.375
1258.967,1311.9375
735.2803,534.68756
220.5282,180.9375
224.91504,223.625
399.06396,202.00012
42.318848,0.0
44.359985,0.0
115.13672,0.0
4.112549,0.0
12.374023,4.125
14.903687,1.71875
812.2934,591.65625
823.4455,763.93756
1114.3768,3516.625
1786.1292,2203.1875
1307.3986,1036.5625
1774.5499,1873.25
1744.0516,1952.25
1982.7686,1953.6875
1846.0094,1877.4375
2147.421,1906.0625
1764.3604,2093.4375
2204.9365,2007.5
1638.0958,1469.25
1645.0303,1760.0625
2678.6592,1130.25
1138.6925,1123.9375
1745.0677,1769.125
1809.3701,1705.5
1889.6423,2091.3125
1638.2493,1439.1875
1337.5868,1585.9375
1865.0597,1402.8125
1444.5924,1510.8438
1156.4417,1062.4688
1952.8569,2457.625
2227.958,2247.9375
2014.1182,1734.6875
1782.9648,1213.4375
1480.8405,1292.75
1730.453,2220.2812
2273.6064,2329.3125
1831.7009,1950.1562
1952.2004,1686.9688
5227.0894,4630.8125
1374.5614,988.3125
2514.7292,1919.375
837.80347,339.0
371.86133,264.8125
480.1819,497.9375
689.45526,473.12506
586.1435,423.9063
498.03558,497.62506
1468.1777,2786.1875
1247.2358,1503.5
2070.077,1579.0
1677.5739,1013.5
1155.6633,979.9375
1141.6888,638.25
1370.3599,1222.5
761.5128,759.75
1842.6815,2548.875
738.8437,320.40625
704.39075,760.40625
834.81104,1592.25
3418.7427,2533.8125
2804.7603,3585.75
3205.391,4727.25
1731.6263,1393.0625
1659.0652,2770.8125
2722.8438,2487.0
2695.776,4011.5
5121.2666,2434.125
5256.6367,4851.6875
6437.353,6222.4375
4029.6948,4938.375
4328.3228,3630.5625
2443.9602,2705.0625
1443.154,2618.4375
4270.504,3454.375
5382.6177,6249.6875
5131.013,5030.0
2371.7998,3026.625
7843.1387,7161.1875
6587.163,4418.3438
1020.3739,460.21875
596.4676,257.875
592.69977,610.87506
910.364,551.43756
888.40533,627.25006
617.51337,350.8125
2020.1987,1077.8125
1716.7991,2367.7812
5208.7764,5435.6875
3197.8228,1820.125
7356.6875,9130.3125
5921.9966,7778.4375
6068.8135,6945.1875
4927.6187,4741.9375
4149.141,6599.8438
5099.0034,6216.875
4161.9253,6218.8125
4805.116,4470.0625
2724.771,1758.625
2689.4382,1725.0625
3547.9092,3371.875
3844.5688,2156.375
3401.1577,4177.875
1292.3237,1372.8125
1670.2896,2008.8125
1154.1459,2550.9062
1234.8237,1176.375
1192.2294,754.125
1107.8164,1118.3125
254.25781,414.62506
1865.6995,2062.0
1489.8618,1390.25
2765.644,1859.9375
1562.4598,2225.9375
3652.8384,3172.375
5357.0967,6582.7188
6642.51,7199.625
2208.796,3346.0625
3832.5776,2695.9375
5167.0,7569.375
6191.0938,4035.5
4380.7876,5033.4062
3784.3784,2034.3438
1852.6333,2182.875
4673.041,3731.9375
3617.7397,3664.125
2578.9448,3722.8125
1994.9052,1195.1875
811.497,590.5625
305.90283,499.0625
340.94586,382.9375
1323.4209,849.25
2442.4312,1151.875
4156.1543,3439.6875
1916.562,1976.6875
2575.2334,2358.375
4184.22,4009.4375
4273.859,1901.875
5514.651,5523.4375
3992.4185,2968.5625
1540.0348,1399.3125
584.3069,381.62506
266.51648,95.6875
289.63782,99.9375
330.1577,298.25
448.7448,456.37506
839.8298,967.3125
1220.0891,1300.0625
1321.2944,1028.875
1315.4396,2361.1875
1705.292,2085.0625
2566.5469,2215.0625
2456.5132,2458.375
3236.9119,3007.75
2709.4673,2886.8125
2417.8877,2631.6875
1547.082,980.625
909.5023,895.375
702.55005,324.25
1027.117,1260.9375
886.0644,1063.8125
1904.9033,1197.3125
1629.0432,1873.25
1941.8516,1685.875
1117.1078,1309.875
652.4398,606.00006
866.2521,831.0625
142.29517,0.0
390.80365,464.8125
407.25195,405.37506
295.7627,340.375
199.56567,220.125
215.00085,269.0625
287.96692,330.3125
354.88184,285.125
238.45178,232.68762
105.43274,155.78125
44.645996,0.0
155.56433,139.00012
103.45947,130.625
199.06201,286.50012
171.35303,156.5
332.35516,295.62512
239.63892,200.15637
93.391846,5.5
25.894287,0.0
6.9387207,0.0
15.750732,0.0
92.27356,0.5
510.70587,4010.125
7733.319,8366.25
9893.067,10621.249
8570.379,10177.374
10466.856,11843.125
9536.067,11678.124
9268.443,8013.25
6692.71,6237.625
9807.034,11541.125
11743.031,11991.937
10252.045,10481.4375
6912.7646,5590.5
4141.26,4071.625
3983.149,3231.75
7409.7153,9172.187
2880.9878,4912.5
3775.1743,3861.9375
5919.4453,5084.5
3732.2515,3882.875
2834.9272,3562.0625
7050.1675,8088.7812
1923.2153,2898.0
1683.8501,1541.9375
3434.1626,4075.0625
2353.4248,3417.3125
3475.9521,3765.5
3906.9487,4510.5625
8753.701,9620.999
5272.293,3418.75
7618.676,8098.5625
5389.369,4049.25
6583.628,5661.8125
5915.6006,4931.75
1741.1462,1564.2812
1528.1377,1372.75
2113.4438,2643.5625
1983.1356,2165.4375
1933.2716,2579.9375
3515.789,0.0
5237.6147,4839.8125
4105.262,4219.4688
3687.641,3575.6562
3372.9722,2816.2188
2052.24,4784.5938
2109.1143,1966.5625
1617.5784,1440.1875
792.26556,722.6875
7980.6475,10021.499
6657.5015,5698.5625
3801.768,1499.25
2300.6992,2786.9062
7107.8335,3830.7812
1204.7865,1122.5
2620.1763,4307.125
1248.9736,1309.875
5989.1826,8197.0625
7532.847,8431.1875
7819.6704,6984.3125
5794.091,10544.375
8934.458,9897.187
11666.507,12430.375
5691.1353,6012.9375
2041.0164,1908.9375
1173.77,1057.2188
2415.6968,1845.3125
2511.8098,4121.1875
5360.5024,7330.375
6419.6313,5976.7812
6030.686,4608.9375
3350.5698,3784.3125
4938.9014,3273.0
2504.2075,3859.4375
7388.8003,5461.25
5449.5234,8162.125
8183.6743,7221.3125
5770.639,4963.2188
7031.9756,7095.4375
4237.4736,3641.0
4726.2607,5478.0
3550.4238,1865.5625
2475.1948,2208.75
3606.3477,4791.5625
6411.1626,7615.5625
5957.5703,5875.0625
4984.4893,4660.1875
5297.502,4837.0
5388.3813,5072.5625
4512.6553,4060.4375
1766.127,1799.875
602.50555,2117.9375
771.6101,788.43756
657.0068,550.75
796.71344,547.25
999.9041,806.5625
2536.5293,1995.5625
2633.3794,2322.0
1542.5681,1288.1875
1608.446,2217.875
2704.1147,3042.6875
1857.0297,1236.5
1835.6382,2058.5
2081.5908,2825.25
1556.3987,1753.0625
1664.0746,1546.8125
1251.6415,993.9375
2301.3306,2309.4375
1912.5176,1983.0
1655.7616,1619.5
2179.595,2350.6875
2470.289,1914.5
2390.075,2511.125
568.12915,329.125
1339.3602,1471.3125
749.4403,852.75
531.9799,188.6875
291.453,227.125
276.74988,269.5
323.75378,484.37506
248.48877,234.81262
1400.302,1695.0
3416.9102,3809.5
5161.7017,2619.75
489.89734,160.75
291.25574,68.4375
1872.0027,1835.5625
1602.9363,1834.125
1610.7568,1450.375
1585.2172,1499.3125
2079.1707,1447.5625
2074.835,1760.4062
1601.541,1694.2812
2168.7734,2048.0
2047.4344,1871.5312
1142.5509,1963.125
1104.1572,1132.3125
1769.5364,1973.9375
1807.5522,1583.875
1799.6493,1575.5
1213.407,1188.9375
1422.5399,1075.0
1673.9513,1624.375
1660.6897,1514.6875
1278.4023,1533.5625
1963.2583,1891.125
2032.6985,2177.3438
2135.7805,2804.2812
