preds,trues
193.5459,167.00012
174.75427,170.5
229.2893,202.625
75.749756,223.625
230.6615,138.3125
171.77893,215.875
132.02429,83.12512
169.156,164.87512
152.9259,106.18762
801.7561,685.3125
756.86096,437.15625
660.96063,473.15625
453.1834,357.0938
728.6549,1154.375
714.6834,962.78125
1257.2123,1802.3125
533.62646,622.75
609.88885,455.6875
431.41418,363.43756
405.0916,293.50012
677.61536,1033.75
360.64954,383.0
359.2503,271.1875
390.339,401.1875
473.91125,368.31256
442.68115,380.1875
1120.107,1211.25
533.9336,1005.75
661.93134,1065.875
524.8702,388.56256
326.89148,192.125
359.53455,239.75
479.23877,438.9375
433.63556,321.50012
383.8075,359.25
539.12726,683.5625
763.3734,475.93756
466.3153,378.8125
340.43243,170.5
293.06995,269.75
368.06085,364.125
324.50256,391.37506
600.7881,443.06256
320.11768,243.93762
371.61548,290.75
453.71478,588.50006
696.9155,963.125
475.77997,863.875
587.96027,379.46875
537.1946,489.96875
555.65985,370.75
595.34357,964.1875
656.7772,378.50006
410.65552,437.875
434.95392,300.125
391.42126,455.31256
362.72382,608.8125
515.01587,443.06256
495.37073,571.87506
370.44006,329.875
426.53802,327.0625
289.4696,357.8125
443.0428,448.0
548.6618,1276.3125
559.9647,694.125
509.31775,473.875
478.80133,495.5
470.7495,1188.25
1132.728,1092.5
1476.1753,1952.25
1213.3069,2113.6875
734.77454,985.5
2182.4739,1959.9375
892.4696,727.5625
1107.447,1960.625
348.25354,513.03125
413.2467,508.78125
468.60492,1031.0
378.3006,460.21875
494.04315,1134.4062
342.27203,464.43756
585.89154,359.62506
494.58594,467.5625
383.40588,292.59375
394.9134,535.0313
394.60297,144.625
173.54236,184.4375
232.93481,808.6875
212.88623,406.75
459.36847,351.56256
446.16626,297.75012
475.02142,370.37506
214.94434,365.56256
346.67926,471.06256
718.6051,677.9375
356.297,480.25006
364.64893,413.0625
256.57703,348.0625
344.06793,550.75
701.02423,559.875
302.45935,332.0
394.02295,446.625
424.6385,470.37506
307.48206,304.75012
341.76343,498.3125
293.2473,435.43756
281.1488,341.75006
200.58752,271.1875
303.35364,246.34375
261.38354,166.59375
130.43152,125.03125
148.3667,187.59375
406.58447,408.12506
444.03497,583.25
181.59058,473.875
638.14716,668.125
415.12115,606.6875
696.84784,1243.125
326.2246,443.8125
233.45007,283.75
319.6073,277.09387
279.51123,467.87506
245.80786,289.68762
282.27014,391.37506
244.10388,330.56256
555.5665,290.0625
253.28027,333.375
237.56384,203.375
211.41528,284.4375
355.75647,234.125
402.63574,218.0625
279.08826,137.625
219.42151,270.4375
316.93518,327.8125
173.92664,303.625
236.72925,241.78125
325.81787,416.15625
451.146,555.625
362.38318,455.6875
248.61536,243.1875
224.69128,136.93762
225.86682,162.0625
236.6648,320.0625
138.14746,195.00012
184.75012,274.62512
325.5011,311.6875
66.7262,79.625
176.65662,590.5625
667.036,705.9375
701.30383,700.3125
426.17438,433.31256
342.23035,388.56256
294.17517,320.75
542.4422,675.18756
611.21,485.68756
606.08673,770.93756
376.9485,383.6875
301.0271,557.75
551.7596,606.625
578.99084,671.0
427.65857,614.37506
674.313,734.5625
440.74902,583.625
677.7339,720.5625
1063.4973,993.9375
298.97876,251.21887
447.27905,695.8125
301.84326,259.25
330.56097,406.75
314.30713,384.37506
321.2727,350.87506
496.60944,410.375
422.18292,416.9063
408.69806,334.75006
400.62878,471.75
522.71173,399.8125
427.82776,775.875
499.10443,536.37506
473.15845,437.5
741.40125,593.37506
488.80664,450.375
479.43036,380.25
633.4628,566.8125
907.70654,1231.5625
649.8851,753.84375
498.2599,627.625
611.7277,732.50006
