preds,trues
379.48804,283.75
568.48883,645.4375
408.14197,376.75006
338.82806,378.8125
660.2338,1130.9375
702.73505,799.5625
437.00146,534.0
444.7563,379.50006
584.4154,592.00006
832.76715,659.125
707.0917,142.84375
1265.9299,839.06256
714.68774,647.875
1655.5474,1789.375
1343.9696,1184.9375
1444.0927,1350.4062
1322.8506,1691.5
1587.063,1707.625
1221.4143,899.5625
863.9545,1068.6875
874.953,977.8125
1385.8875,2125.9688
2377.3132,2930.1875
2361.159,2385.625
2219.3098,2436.6875
2405.713,2013.4375
2150.5034,2151.5
1023.4159,1686.625
1432.584,1177.75
1090.8889,1502.8125
311.12708,249.15625
339.26324,481.5
601.2779,424.9375
501.23083,429.62506
1377.0325,1171.4375
498.6457,489.25006
1240.3511,1577.9688
1211.3131,767.43756
670.4971,873.6875
862.08997,616.4375
458.0829,348.75006
322.2633,284.125
345.56604,297.0
220.60974,272.5625
298.73303,273.9375
338.21454,359.59375
373.74304,399.0625
595.6245,1173.5625
1083.0133,957.5625
521.91516,640.9375
422.4223,472.06256
801.95416,690.50006
517.23224,0.6876221
823.5686,715.00006
1021.4486,1280.5
858.42395,452.25006
737.2723,1632.125
2050.7104,1773.3125
571.0637,1143.5
1297.7245,769.87506
1181.2255,1564.3125
1022.9357,1243.5
1048.7739,807.31256
103.20007,27.9375
75.766846,137.625
28.585327,179.5625
12.418091,0.34375
11.722046,0.0
11.667358,0.0
11.6640625,0.0
11.66394,0.0
15.596069,10.8125
28.225464,0.0
262.4878,532.56256
525.8112,388.25006
351.1059,31.375122
6427.0557,6763.4375
4473.2534,3473.25
4991.011,7457.625
5198.418,4418.625
4065.4106,2997.25
5365.5684,3729.125
3694.3486,3511.6875
2904.99,3313.9062
2974.7979,3160.4688
3187.131,2814.125
2156.41,2477.875
1627.0662,2132.25
2794.0,2869.375
2600.4097,1985.125
822.2426,1777.0938
1040.0582,1808.9375
871.1132,1088.9375
471.01874,227.125
258.7688,231.3125
616.0837,525.56256
278.52124,191.4375
375.8731,294.875
254.20142,412.37506
1001.1841,503.25006
847.356,1126.75
348.7829,289.3125
326.40735,214.5
189.11658,189.3125
235.69385,180.25
232.04053,140.4375
