preds,trues
1013.19806,789.125
2486.546,1525.125
1856.9088,1202.1875
1045.9116,1490.875
4273.5444,5102.625
2340.097,2252.1875
2702.062,3202.75
2335.7253,1256.0625
914.50586,824.0625
1673.5522,1890.6875
1141.0067,742.9375
892.03467,477.625
705.2475,858.3125
1149.3107,1477.625
1699.7904,2345.0625
1704.8508,1409.875
1559.0334,1055.375
781.3227,443.8125
598.4595,516.5
668.34454,789.81256
1403.8243,1032.625
1099.2784,1168.0
1491.2363,1672.6875
825.3647,594.8125
895.61975,903.0625
571.56793,637.4375
912.8719,868.09375
1756.8351,1459.125
838.62756,710.84375
735.6985,586.4063
505.4897,503.25006
622.38934,530.84375
609.41595,437.875
745.08276,856.9375
556.1682,398.75
610.87213,565.46875
980.56433,1120.375
1209.6345,971.5
245.8197,185.125
250.08984,895.25
894.6277,847.84375
595.9749,396.65625
721.45166,1520.2188
815.3517,688.4375
959.0121,1241.75
1185.175,874.40625
644.2493,452.5625
485.29004,278.15637
614.89276,505.6563
559.9015,348.37506
1156.0825,781.375
455.08704,407.40625
751.1389,696.8125
581.36945,554.25
504.8711,408.12506
793.8502,694.75
587.13934,376.0
589.03955,704.50006
1021.0721,1332.25
1249.3738,1170.0625
1600.9791,2082.25
626.806,360.62506
744.2097,915.625
744.1482,981.3125
1432.661,1295.9375
517.2115,384.37506
1121.4688,916.3125
1355.73,1400.0625
3011.7515,2448.2188
3170.9197,3057.0312
3465.9595,3588.9688
3257.141,5171.875
1948.5667,1558.6875
2011.541,2433.625
2171.7434,1536.6562
1025.129,888.3125
1363.6709,1377.0
1536.3086,1490.1875
1202.0146,1174.9375
1381.0181,929.625
844.3662,942.875
1370.2664,1215.75
1003.2005,1313.375
437.641,408.12506
429.5307,503.18756
813.418,1169.375
1070.195,947.75
679.526,794.0
914.08105,945.0
974.0557,1020.4375
961.00385,453.75006
572.01025,1130.1875
681.02826,452.18756
642.1867,784.25
753.99567,840.8125
1135.879,1187.5625
830.42065,891.875
1107.1865,1290.3125
1433.7786,1546.125
940.8954,1077.8125
376.27264,386.50006
1252.496,1616.0
1377.7362,1300.75
1883.7012,1638.4375
1462.713,1925.6875
1951.6096,1989.3125
569.04205,596.87506
1234.4318,1165.125
1013.1482,1004.40625
1015.10486,1091.8125
1024.888,877.34375
383.2959,533.21875
589.0397,606.2813
546.04376,566.84375
376.9898,96.40625
82.80774,17.0625
394.27582,274.96887
481.84387,255.0625
777.1266,849.4375
1301.014,1531.4375
1585.6562,1323.875
1354.8379,1435.0
1243.7526,1490.1875
1011.2069,1141.375
908.06494,1090.375
853.1325,378.75
576.56525,698.25
364.25446,199.1875
1204.765,1047.7188
478.7102,523.46875
298.39575,219.0625
821.5798,468.96875
685.3418,840.8125
487.21008,348.0
375.61426,455.6875
552.1484,578.00006
229.3313,239.0
195.86157,309.0
180.8158,156.5
220.1737,133.4375
329.3775,441.0
316.2201,308.9375
208.22217,46.03125
167.02441,12.562622
391.36426,256.8125
340.1698,326.375
187.70557,149.5625
425.39148,409.56256
503.91547,413.7813
287.46143,169.40637
155.34277,91.18762
198.12866,427.75
128.41235,144.75
118.52478,110.375
64.02673,81.6875
87.751465,238.3125
151.60889,142.875
90.77832,78.875
125.37695,91.5
205.27539,190.0625
117.78735,75.4375
137.5398,133.4375
45.25,25.0625
29.61206,63.5625
37.26599,55.125122
20.441772,35.5625
49.97046,58.625
135.61963,37.6875
160.42932,60.000122
238.54956,195.00012
219.20618,121.0625
258.40564,452.18756
521.4293,706.62506
597.79346,327.0625
1512.8864,1207.125
1337.6597,1237.1875
1127.4482,830.3125
1095.1693,791.1875
546.1464,476.625
417.07416,224.28125
244.7002,348.6875
331.42694,269.75
299.2213,255.81262
420.20636,208.1875
186.90771,116.0
354.63165,236.1875
160.71643,108.25
166.35059,183.4375
335.48004,102.0
225.58472,273.25
536.6925,459.18756
319.09937,498.43756
175.13025,260.0
257.1825,269.75
603.12286,290.75
446.7155,283.75
365.89148,421.43756
341.86243,436.8125
282.94275,206.1875
292.4817,276.0625
188.23413,475.25006
147.72485,929.5625
239.50232,90.06262
392.59857,218.375
192.23364,22.34375
179.3219,85.25012
312.0287,568.9375
456.71942,1080.625
1191.2095,1762.8125
2306.7769,2719.75
2227.3887,1762.8125
1982.7125,1732.75
2018.6321,2018.625
2753.108,2997.9375
2743.4766,3092.2812
2318.1902,2353.9688
1782.2877,939.375
476.04425,865.28125
471.4732,457.8125
352.62048,518.625
424.07727,316.5625
245.34485,220.81262
234.99487,187.3125
237.02075,299.8125
352.5946,340.375
325.52454,464.06256
466.18903,311.6875
642.7134,696.875
600.4451,437.5
700.7119,575.87506
531.6041,675.0
587.7748,743.00006
799.86743,501.8125
311.49658,139.75
459.53473,1760.75
1710.9164,1451.0625
990.9341,988.3125
808.7214,168.09375
418.9721,0.34375
254.10522,292.875
207.2915,292.8125
327.0415,210.3125
229.66711,308.1875
357.3462,1010.0
771.37286,420.75
317.95154,496.25006
560.3399,566.125
769.1911,652.06256
667.0731,594.75006
714.50085,629.75
709.5031,730.375
548.4223,682.93756
1104.1692,1248.375
1262.679,1311.9375
820.2658,534.68756
241.05347,180.9375
203.96497,223.625
361.81018,202.00012
21.269043,0.0
13.540527,0.0
44.696045,0.0
8.818237,0.0
9.643555,4.125
10.666382,1.71875
674.5087,591.65625
817.76917,763.93756
1131.9927,3516.625
1938.6643,2203.1875
1361.3292,1036.5625
1748.9968,1873.25
1741.5659,1952.25
1946.225,1953.6875
1859.642,1877.4375
2118.78,1906.0625
1754.8267,2093.4375
2263.913,2007.5
1587.3724,1469.25
1759.8557,1760.0625
2668.3398,1130.25
1126.8944,1123.9375
1805.4637,1769.125
1885.5906,1705.5
1936.7881,2091.3125
1609.5914,1439.1875
1387.5901,1585.9375
1995.9294,1402.8125
1433.3022,1510.8438
1256.1744,1062.4688
2007.4397,2457.625
2370.2039,2247.9375
2017.6953,1734.6875
1751.8188,1213.4375
1492.7014,1292.75
1759.1284,2220.2812
2355.9204,2329.3125
1815.4973,1950.1562
1964.2971,1686.9688
5104.284,4630.8125
1422.8695,988.3125
2501.9094,1919.375
847.9511,339.0
364.6084,264.8125
482.65717,497.9375
711.19,473.12506
585.02826,423.9063
492.6853,497.62506
1535.9691,2786.1875
1395.0331,1503.5
2110.7373,1579.0
1714.9767,1013.5
1156.2612,979.9375
1204.0911,638.25
1409.7393,1222.5
812.56464,759.75
1918.3207,2548.875
821.1035,320.40625
690.1241,760.40625
828.4722,1592.25
3522.9243,2533.8125
2995.5798,3585.75
3285.0015,4727.25
1764.5403,1393.0625
1653.9569,2770.8125
2746.276,2487.0
2705.4033,4011.5
5198.4307,2434.125
5351.2163,4851.6875
6536.48,6222.4375
4105.431,4938.375
4308.5225,3630.5625
2343.6748,2705.0625
1426.9198,2618.4375
4394.492,3454.375
5449.325,6249.6875
5411.759,5030.0
2474.105,3026.625
7883.905,7161.1875
6721.2617,4418.3438
1187.8551,460.21875
557.0303,257.875
550.78204,610.87506
902.4775,551.43756
953.6252,627.25006
592.6935,350.8125
2054.7131,1077.8125
1740.5806,2367.7812
5115.365,5435.6875
3507.4453,1820.125
7133.104,9130.3125
6186.42,7778.4375
6092.9844,6945.1875
4806.469,4741.9375
4044.0688,6599.8438
5221.699,6216.875
4117.2305,6218.8125
4993.4805,4470.0625
2561.3936,1758.625
2586.6567,1725.0625
3633.147,3371.875
3890.5674,2156.375
3314.2832,4177.875
1324.605,1372.8125
1688.7311,2008.8125
1225.2927,2550.9062
1269.5616,1176.375
1221.0773,754.125
1127.7585,1118.3125
117.19751,414.62506
1921.1771,2062.0
1553.364,1390.25
2762.6406,1859.9375
1619.4375,2225.9375
3634.8853,3172.375
5429.476,6582.7188
6769.7485,7199.625
2454.1606,3346.0625
3728.0308,2695.9375
5047.804,7569.375
6263.0996,4035.5
4226.781,5033.4062
3804.1787,2034.3438
1805.7668,2182.875
4485.812,3731.9375
3611.727,3664.125
2601.169,3722.8125
2208.6743,1195.1875
726.3151,590.5625
299.11157,499.0625
375.0614,382.9375
1401.2323,849.25
2616.0415,1151.875
4374.1816,3439.6875
1936.873,1976.6875
2649.6802,2358.375
4282.665,4009.4375
4457.955,1901.875
5594.816,5523.4375
4002.1055,2968.5625
1418.858,1399.3125
542.90857,381.62506
230.1471,95.6875
290.90234,99.9375
321.8606,298.25
462.41052,456.37506
838.5431,967.3125
1306.01,1300.0625
1386.7604,1028.875
1402.3503,2361.1875
1802.1598,2085.0625
2633.8257,2215.0625
2446.063,2458.375
3251.3608,3007.75
2674.5518,2886.8125
2425.2212,2631.6875
1547.5917,980.625
938.2349,895.375
729.7365,324.25
1083.8453,1260.9375
921.7217,1063.8125
2038.1122,1197.3125
1680.4893,1873.25
1984.251,1685.875
1182.3447,1309.875
696.3537,606.00006
887.23987,831.0625
141.50513,0.0
342.7409,464.8125
405.0539,405.37506
293.66492,340.375
212.31201,220.125
198.94568,269.0625
274.57434,330.3125
364.45007,285.125
230.99988,232.68762
145.8927,155.78125
43.673096,0.0
122.21045,139.00012
89.226074,130.625
157.68811,286.50012
167.19482,156.5
295.46094,295.62512
207.32812,200.15637
77.43884,5.5
11.378662,0.0
9.198608,0.0
10.6467285,0.0
33.63037,0.5
268.97437,4010.125
7726.1997,8366.25
9551.746,10621.249
8350.447,10177.374
9898.051,11843.125
9137.279,11678.124
8870.154,8013.25
6451.475,6237.625
9376.978,11541.125
10830.096,11991.937
9786.349,10481.4375
7083.422,5590.5
4046.1797,4071.625
3865.0835,3231.75
7439.6865,9172.187
3020.7935,4912.5
3688.917,3861.9375
5894.3936,5084.5
3602.3462,3882.875
2837.8862,3562.0625
7048.873,8088.7812
2181.7788,2898.0
1708.9038,1541.9375
3467.7603,4075.0625
2396.046,3417.3125
3460.8452,3765.5
3866.871,4510.5625
8544.488,9620.999
5569.1006,3418.75
7531.179,8098.5625
5363.508,4049.25
6469.6777,5661.8125
5940.901,4931.75
1616.5491,1564.2812
1525.7122,1372.75
2210.5823,2643.5625
2074.1401,2165.4375
1991.4451,2579.9375
3626.353,0.0
5142.3506,4839.8125
4127.29,4219.4688
3654.561,3575.6562
3431.4404,2816.2188
2075.9194,4784.5938
2316.5566,1966.5625
1722.0007,1440.1875
782.4393,722.6875
7956.4478,10021.499
6926.922,5698.5625
3824.6016,1499.25
2236.9336,2786.9062
6842.265,3830.7812
1292.0452,1122.5
2592.273,4307.125
1339.8748,1309.875
5886.1357,8197.0625
7841.726,8431.1875
7830.4043,6984.3125
5837.23,10544.375
8857.683,9897.187
10951.302,12430.375
5924.0107,6012.9375
2287.5415,1908.9375
1149.2482,1057.2188
2402.6257,1845.3125
2527.852,4121.1875
5432.5557,7330.375
6773.8857,5976.7812
6282.0767,4608.9375
3280.7075,3784.3125
4807.0806,3273.0
2733.917,3859.4375
7302.371,5461.25
5459.872,8162.125
8292.615,7221.3125
5931.1094,4963.2188
7034.949,7095.4375
4574.8276,3641.0
4637.7603,5478.0
3499.5303,1865.5625
2350.5635,2208.75
3540.4897,4791.5625
6478.3696,7615.5625
6006.142,5875.0625
4999.8477,4660.1875
5306.1924,4837.0
5415.5894,5072.5625
4465.612,4060.4375
1884.2871,1799.875
585.42883,2117.9375
812.1781,788.43756
669.0467,550.75
808.0219,547.25
1064.8533,806.5625
2579.963,1995.5625
2727.0886,2322.0
1594.4855,1288.1875
1606.8824,2217.875
2704.6152,3042.6875
1855.9929,1236.5
1843.9436,2058.5
2140.5146,2825.25
1601.8563,1753.0625
1698.883,1546.8125
1262.3867,993.9375
2333.0452,2309.4375
1961.4375,1983.0
1705.6506,1619.5
2146.9622,2350.6875
2490.0342,1914.5
2428.6094,2511.125
659.14056,329.125
1341.3737,1471.3125
820.36664,852.75
546.9431,188.6875
290.97656,227.125
282.5631,269.5
335.30872,484.37506
243.41406,234.81262
1458.7496,1695.0
3452.0479,3809.5
5174.1826,2619.75
604.83636,160.75
231.23877,68.4375
1934.429,1835.5625
1651.5039,1834.125
1671.3317,1450.375
1600.8333,1499.3125
2101.8188,1447.5625
2085.352,1760.4062
1605.3562,1694.2812
2212.1055,2048.0
2143.9495,1871.5312
1223.6683,1963.125
1197.8297,1132.3125
1932.6594,1973.9375
1889.2625,1583.875
1872.6782,1575.5
1240.5605,1188.9375
1523.4158,1075.0
1723.1577,1624.375
1757.7689,1514.6875
1296.9501,1533.5625
2022.8933,1891.125
2042.991,2177.3438
2119.8977,2804.2812
2975.8738,2582.75
2672.8328,2799.8125
2072.9038,2162.3125
3018.0415,2809.25
1721.2056,1362.2812
1517.7308,1710.3438
2130.7898,2208.8125
3091.086,3251.8125
2636.7322,1963.0625
4105.0015,3414.625
3156.734,2754.6875
1642.238,1263.0
1098.2035,0.0
660.53503,879.25
1931.6396,3610.9375
3209.0366,3491.4375
2466.6118,2217.875
4565.5864,5463.3125
3014.296,2112.3125
3922.3164,4161.0625
2928.1165,3326.5
1622.4636,2099.6875
3032.0237,4145.6875
2800.3076,4920.875
3901.2563,2511.4375
2421.4175,1613.9375
2606.9028,1920.0625
2190.3655,2345.8125
2411.5742,2607.4375
2745.1157,2556.875
2892.2947,2048.6875
1544.5997,1875.375
1847.4668,661.18756
1967.1406,2425.5
2057.5137,2940.625
1837.1278,557.06256
1814.6831,2563.5625
2185.3992,2902.1875
2552.0452,1468.5
2250.3347,2097.625
3677.372,3584.375
4955.4873,5426.5
6532.4346,6892.4375
5872.624,4744.0625
3129.7722,2911.9375
2180.3862,1923.5625
2095.926,3115.375
2575.0132,2623.9375
2630.5063,2658.25
2238.293,2415.625
1970.2589,1563.625
1425.0006,1062.4375
