preds,trues
388.99255,283.75
578.6536,645.4375
416.55847,376.75006
349.37653,378.8125
668.3395,1130.9375
708.05994,799.5625
444.50378,534.0
452.30322,379.50006
591.06915,592.00006
836.06396,659.125
710.6901,142.84375
1268.0435,839.06256
715.03406,647.875
1648.4226,1789.375
1335.7389,1184.9375
1434.484,1350.4062
1316.3308,1691.5
1575.8262,1707.625
1216.0276,899.5625
864.5631,1068.6875
876.2345,977.8125
1376.6516,2125.9688
2354.4116,2930.1875
2331.6392,2385.625
2193.9517,2436.6875
2377.2407,2013.4375
2127.8848,2151.5
1014.1527,1686.625
1425.8031,1177.75
1089.7588,1502.8125
317.91907,249.15625
348.84656,481.5
607.94775,424.9375
507.3211,429.62506
1374.1486,1171.4375
502.65662,489.25006
1238.421,1577.9688
1204.6278,767.43756
669.62085,873.6875
857.3836,616.4375
459.57092,348.75006
326.72693,284.125
349.89575,297.0
226.16821,272.5625
303.56287,273.9375
342.06415,359.59375
376.96875,399.0625
596.6039,1173.5625
1077.8499,957.5625
522.8417,640.9375
427.21625,472.06256
804.0743,690.50006
521.68335,0.6876221
826.54346,715.00006
1020.83936,1280.5
855.67346,452.25006
737.50165,1632.125
2031.7896,1773.3125
574.97687,1143.5
1297.7859,769.87506
1182.7279,1564.3125
1022.1802,1243.5
1052.8633,807.31256
117.88733,27.9375
92.811646,137.625
46.292725,179.5625
15.130005,0.34375
14.4522705,0.0
14.397095,0.0
14.393799,0.0
14.393677,0.0
28.428223,10.8125
46.177856,0.0
273.22705,532.56256
538.18335,388.25006
374.1908,31.375122
6325.5327,6763.4375
4381.8154,3473.25
4903.91,7457.625
5088.092,4418.625
3977.4727,2997.25
5277.6235,3729.125
3631.9053,3511.6875
2867.7422,3313.9062
2940.0767,3160.4688
3149.447,2814.125
2141.6394,2477.875
1616.9323,2132.25
2764.4902,2869.375
2576.0928,1985.125
822.75885,1777.0938
1039.1764,1808.9375
873.10754,1088.9375
480.45563,227.125
273.1234,231.3125
622.3145,525.56256
290.3944,191.4375
388.30658,294.875
268.84277,412.37506
1004.5542,503.25006
852.4379,1126.75
358.90405,289.3125
338.40277,214.5
201.2041,189.3125
247.11804,180.25
243.26367,140.4375
