preds,trues
1012.97424,789.125
2483.8223,1525.125
1863.6941,1202.1875
1049.7549,1490.875
4244.604,5102.625
2324.128,2252.1875
2673.8645,3202.75
2307.7664,1256.0625
924.24774,824.0625
1675.7043,1890.6875
1134.8077,742.9375
899.0425,477.625
712.7935,858.3125
1146.4891,1477.625
1686.0732,2345.0625
1686.6289,1409.875
1552.6646,1055.375
782.3675,443.8125
601.95746,516.5
664.7455,789.81256
1390.8064,1032.625
1087.3824,1168.0
1474.7767,1672.6875
819.6535,594.8125
890.99585,903.0625
568.88367,637.4375
907.7031,868.09375
1741.8732,1459.125
829.6856,710.84375
732.61597,586.4063
505.4698,503.25006
618.4269,530.84375
610.5498,437.875
740.314,856.9375
552.2107,398.75
608.0893,565.46875
975.3585,1120.375
1198.3304,971.5
248.82227,185.125
252.02588,895.25
887.64514,847.84375
593.48785,396.65625
718.05914,1520.2188
808.0036,688.4375
952.2447,1241.75
1174.3624,874.40625
640.2292,452.5625
484.49506,278.15637
611.68695,505.6563
555.2451,348.37506
1148.501,781.375
452.55164,407.40625
746.45776,696.8125
577.0489,554.25
501.68713,408.12506
787.5865,694.75
585.8777,376.0
588.94,704.50006
1014.5741,1332.25
1240.5902,1170.0625
1588.5115,2082.25
623.7817,360.62506
738.2743,915.625
734.7689,981.3125
1413.4261,1295.9375
519.5225,384.37506
1123.6929,916.3125
1358.6926,1400.0625
3003.265,2448.2188
3165.0056,3057.0312
3450.9917,3588.9688
3222.1682,5171.875
1917.4958,1558.6875
2000.761,2433.625
2146.765,1536.6562
1021.88806,888.3125
1365.7634,1377.0
1518.7838,1490.1875
1192.8138,1174.9375
1367.0038,929.625
846.59656,942.875
1374.6072,1215.75
1010.2286,1313.375
456.26672,408.12506
441.04767,503.18756
819.1239,1169.375
1066.8416,947.75
681.7424,794.0
913.60657,945.0
973.01746,1020.4375
959.49835,453.75006
578.7551,1130.1875
682.58545,452.18756
646.584,784.25
754.0362,840.8125
1132.8651,1187.5625
829.8511,891.875
1103.6604,1290.3125
1423.9729,1546.125
935.7588,1077.8125
379.4627,386.50006
1254.2993,1616.0
1366.444,1300.75
1863.539,1638.4375
1452.9417,1925.6875
1936.0625,1989.3125
569.2988,596.87506
1227.0925,1165.125
1003.5902,1004.40625
1008.4028,1091.8125
1022.29425,877.34375
387.34247,533.21875
591.55554,606.2813
552.1216,566.84375
383.8761,96.40625
94.19397,17.0625
403.32074,274.96887
491.9901,255.0625
782.0017,849.4375
1299.142,1531.4375
1574.2974,1323.875
1349.2649,1435.0
1239.6927,1490.1875
1010.59375,1141.375
905.8169,1090.375
848.2311,378.75
582.82886,698.25
369.68835,199.1875
1200.9697,1047.7188
481.01813,523.46875
303.63367,219.0625
824.2506,468.96875
688.2611,840.8125
489.29724,348.0
381.097,455.6875
554.52,578.00006
234.96521,239.0
203.52563,309.0
186.35303,156.5
224.3335,133.4375
333.1729,441.0
319.10254,308.9375
213.78918,46.03125
173.00317,12.562622
396.9016,256.8125
345.38867,326.375
194.71606,149.5625
431.01868,409.56256
506.24078,413.7813
292.7367,169.40637
162.20044,91.18762
205.28369,427.75
136.75964,144.75
127.31616,110.375
74.9436,81.6875
99.06189,238.3125
161.67896,142.875
101.43494,78.875
135.35352,91.5
214.46912,190.0625
127.81006,75.4375
148.00793,133.4375
57.838135,25.0625
44.103027,63.5625
51.655396,55.125122
33.97766,35.5625
63.094604,58.625
148.36682,37.6875
173.01318,60.000122
249.2926,195.00012
229.01953,121.0625
265.6493,452.18756
524.5987,706.62506
599.34424,327.0625
1504.8427,1207.125
1330.8226,1237.1875
1119.9414,830.3125
1088.9779,791.1875
547.6628,476.625
420.82434,224.28125
250.98767,348.6875
335.84778,269.75
303.8484,255.81262
421.53595,208.1875
191.61841,116.0
357.9903,236.1875
166.03796,108.25
172.25024,183.4375
340.62396,102.0
230.58289,273.25
539.238,459.18756
321.40918,498.43756
177.62073,260.0
260.50574,269.75
604.2518,290.75
447.35785,283.75
366.88184,421.43756
343.33856,436.8125
284.74377,206.1875
294.71594,276.0625
191.13904,475.25006
150.73828,929.5625
241.98145,90.06262
396.15936,218.375
201.31897,22.34375
189.18616,85.25012
320.86475,568.9375
463.33563,1080.625
1183.9628,1762.8125
2284.8875,2719.75
2199.3281,1762.8125
1960.009,1732.75
1994.6359,2018.625
2724.1587,2997.9375
2707.231,3092.2812
2286.7217,2353.9688
1757.7882,939.375
473.96765,865.28125
473.31976,457.8125
358.34174,518.625
425.9779,316.5625
248.85754,220.81262
240.21765,187.3125
243.57727,299.8125
359.27722,340.375
331.89514,464.06256
470.42035,311.6875
645.5401,696.875
602.64343,437.5
702.80725,575.87506
535.42096,675.0
589.02234,743.00006
797.3823,501.8125
314.21838,139.75
467.26984,1760.75
1701.8666,1451.0625
986.02344,988.3125
812.8259,168.09375
426.51,0.34375
263.55835,292.875
215.65076,292.8125
333.61725,210.3125
239.50098,308.1875
368.50165,1010.0
777.1508,420.75
327.71216,496.25006
564.7021,566.125
771.3271,652.06256
672.147,594.75006
717.9907,629.75
713.7711,730.375
553.0803,682.93756
1104.7037,1248.375
1256.7994,1311.9375
818.1436,534.68756
250.8584,180.9375
216.42566,223.625
374.41327,202.00012
35.24536,0.0
18.47522,0.0
57.417725,0.0
10.902588,0.0
11.898315,4.125
12.931885,1.71875
686.6785,591.65625
826.4603,763.93756
1134.621,3516.625
1922.394,2203.1875
1353.6033,1036.5625
1743.2465,1873.25
1735.1799,1952.25
1934.3369,1953.6875
1841.8551,1877.4375
2098.2563,1906.0625
1741.1675,2093.4375
2240.8313,2007.5
1572.7382,1469.25
1737.3224,1760.0625
2637.1392,1130.25
1114.9695,1123.9375
1785.6084,1769.125
1863.9368,1705.5
1913.9321,2091.3125
1588.3112,1439.1875
