preds,trues
224.15405,153.6875
3706.5225,3538.3125
2820.6755,2256.3125
2126.934,1713.875
3956.0356,4362.4375
2445.877,2806.4375
3844.058,4529.5
3355.0747,5487.8125
3735.8667,4783.5
3975.3281,3658.5
1958.4792,1501.375
2563.6636,2961.5625
1928.5701,3603.3125
2644.7449,1897.0
3391.1077,2935.75
4020.67,3520.75
2754.845,2642.8125
2453.401,1378.375
2843.3179,2584.125
2575.6846,2456.9375
2384.8105,2706.5
2049.1492,1121.8125
1826.3715,2373.75
2189.475,2080.875
1540.6119,1795.0
1555.1852,1651.6875
1543.0774,1636.3125
1411.8029,940.125
795.5437,672.375
1440.6798,892.5625
738.9436,660.5
545.4247,596.87506
577.3808,340.375
382.8476,380.875
307.15942,264.875
415.51672,422.8125
1060.5238,713.62506
1207.5721,1585.9375
1338.8259,1076.375
694.5089,542.56256
1000.5602,789.81256
748.5486,814.25006
793.14655,747.875
1039.9575,1260.875
1105.7157,1216.25
943.9872,713.62506
1291.4086,1429.375
1260.881,1261.625
1081.5643,840.12506
399.60614,885.5625
189.98254,0.0
571.86774,397.0
265.83374,1838.3125
226.2273,303.3125
353.48352,299.125
371.24554,448.75
741.5506,237.625
851.525,451.5
290.91858,299.8125
258.66382,222.25
257.96814,113.875
165.48901,104.8125
196.00073,205.4375
181.41382,407.50006
413.71777,464.06256
192.45422,150.87512
243.17126,157.87512
187.24524,95.0
254.08362,106.18762
452.72375,277.4375
202.47046,2.0625
213.28674,212.4375
243.11584,113.18762
620.9123,596.9375
261.46887,223.50012
251.49585,204.75012
373.63635,117.375
377.3568,266.96875
446.04395,107.625
515.00793,269.75
267.21887,252.9375
409.04285,330.56256
436.98395,321.50012
377.04333,278.875
416.3011,283.40625
375.77173,264.125
336.425,290.0
204.90613,37.6875
132.5791,137.0
191.24915,130.625
173.90833,133.40637
171.72485,123.6875
156.72351,135.5625
180.75073,124.3125
220.54736,62.125122
282.96338,118.06262
354.672,454.93756
245.74524,124.3125
152.01245,41.875
119.47632,66.37512
142.21948,99.25012
153.88513,29.312622
175.43835,93.625
133.77832,77.5
128.35413,68.4375
105.93225,20.53125
219.13159,131.25
155.28943,101.31262
144.24243,127.875
187.53442,136.93762
141.25061,44.0
120.83032,32.75
77.86987,32.0625
82.25098,41.125122
104.37622,50.250122
97.682495,39.0625
162.65515,104.40625
167.30188,132.75
188.14734,147.4375
195.51501,130.28125
223.46912,147.40637
231.3717,201.9375
174.11157,120.125
125.03992,51.6875
200.61304,121.5625
148.17212,113.18762
172.8352,61.500122
174.8811,89.4375
203.71045,104.4375
147.14746,163.5
203.56812,185.87512
180.6825,93.625
233.50525,94.31262
153.41565,33.500122
119.80896,155.125
194.26538,69.1875
139.28662,43.9375
95.83325,59.03125
141.66931,26.15625
111.01904,57.65625
127.38916,77.5625
130.90723,85.25012
