preds,trues
196.03491,167.00012
181.98694,170.5
235.18054,202.625
79.458374,223.625
247.84424,138.3125
183.6626,215.875
153.98535,83.12512
185.39856,164.87512
194.32349,106.18762
821.1392,685.3125
795.899,437.15625
656.5263,473.15625
450.65796,357.0938
745.36163,1154.375
753.24274,962.78125
1304.3335,1802.3125
549.2879,622.75
633.507,455.6875
434.877,363.43756
397.30676,293.50012
698.3835,1033.75
364.7138,383.0
348.1861,271.1875
389.25732,401.1875
486.3186,368.31256
445.81995,380.1875
1164.7334,1211.25
550.21356,1005.75
675.9155,1065.875
556.99445,388.56256
316.0791,192.125
357.841,239.75
491.76355,438.9375
446.89764,321.50012
387.41815,359.25
550.83105,683.5625
800.30994,475.93756
474.23035,378.8125
331.5476,170.5
292.34302,269.75
373.66437,364.125
340.53735,391.37506
642.21814,443.06256
335.2442,243.93762
379.52515,290.75
472.2766,588.50006
728.8682,963.125
507.26166,863.875
609.75433,379.46875
545.7581,489.96875
571.8572,370.75
627.2615,964.1875
682.6675,378.50006
411.98175,437.875
443.2398,300.125
398.24207,455.31256
372.90924,608.8125
552.3678,443.06256
522.4934,571.87506
385.77905,329.875
437.03455,327.0625
290.80493,357.8125
456.43298,448.0
573.2807,1276.3125
591.46576,694.125
532.1482,473.875
499.68054,495.5
504.1759,1188.25
1205.554,1092.5
1547.1467,1952.25
1293.8674,2113.6875
749.4238,985.5
2230.755,1959.9375
934.5831,727.5625
1125.3392,1960.625
367.51868,513.03125
454.4945,508.78125
511.86395,1031.0
415.677,460.21875
550.84625,1134.4062
395.97626,464.43756
632.5353,359.62506
575.3208,467.5625
429.51837,292.59375
431.7489,535.0313
432.627,144.625
191.16492,184.4375
258.953,808.6875
244.62329,406.75
522.5088,351.56256
504.9828,297.75012
538.68097,370.37506
253.19043,365.56256
406.26288,471.06256
795.75146,677.9375
414.2074,480.25006
429.2138,413.0625
290.54175,348.0625
402.70715,550.75
754.6003,559.875
351.85645,332.0
429.66516,446.625
473.0835,470.37506
344.9532,304.75012
384.4217,498.3125
342.05316,435.43756
317.49988,341.75006
255.72156,271.1875
359.73578,246.34375
311.17847,166.59375
170.61865,125.03125
188.88452,187.59375
476.16315,408.12506
516.0286,583.25
242.81738,473.875
720.29877,668.125
484.2445,606.6875
791.03125,1243.125
379.77905,443.8125
280.47375,283.75
372.51593,277.09387
330.1029,467.87506
311.2666,289.68762
339.39532,391.37506
305.1161,330.56256
638.6083,290.0625
318.89136,333.375
271.69055,203.375
228.93762,284.4375
395.2552,234.125
439.91956,218.0625
321.19202,137.625
252.99084,270.4375
371.38654,327.8125
202.52283,303.625
270.57092,241.78125
370.17407,416.15625
514.7886,555.625
417.39996,455.6875
300.87903,243.1875
268.35413,136.93762
267.537,162.0625
290.72742,320.0625
186.67285,195.00012
223.01453,274.62512
375.70007,311.6875
100.00061,79.625
193.03137,590.5625
753.34436,705.9375
780.39026,700.3125
471.3291,433.31256
381.1681,388.56256
325.10205,320.75
590.07556,675.18756
660.9961,485.68756
650.45447,770.93756
421.70917,383.6875
328.01062,557.75
606.52856,606.625
637.03674,671.0
479.01654,614.37506
734.9703,734.5625
468.53033,583.625
741.4783,720.5625
1127.8025,993.9375
328.69714,251.21887
472.352,695.8125
315.42297,259.25
360.72778,406.75
353.2702,384.37506
337.242,350.87506
542.52295,410.375
454.59174,416.9063
436.66052,334.75006
429.16022,471.75
574.6835,399.8125
462.8708,775.875
552.34503,536.37506
512.44824,437.5
804.2797,593.37506
533.7513,450.375
519.3638,380.25
699.3838,566.8125
993.31445,1231.5625
693.70795,753.84375
532.4803,627.625
666.6927,732.50006
