preds,trues
206.27625,153.6875
3766.4775,3538.3125
2865.3198,2256.3125
2160.1028,1713.875
4010.752,4362.4375
2495.0142,2806.4375
3913.3066,4529.5
3413.8848,5487.8125
3824.9883,4783.5
4054.6167,3658.5
2000.3815,1501.375
2605.1838,2961.5625
1969.3154,3603.3125
2698.023,1897.0
3443.5264,2935.75
4060.1035,3520.75
2790.743,2642.8125
2483.018,1378.375
2861.8032,2584.125
2596.6133,2456.9375
2408.0483,2706.5
2065.3638,1121.8125
1833.2247,2373.75
2197.7915,2080.875
1543.887,1795.0
1561.219,1651.6875
1544.6846,1636.3125
1409.4218,940.125
798.35175,672.375
1442.8187,892.5625
733.62823,660.5
538.7269,596.87506
569.28485,340.375
370.04736,380.875
293.40637,264.875
399.13806,422.8125
1049.1669,713.62506
1200.5631,1585.9375
1337.9774,1076.375
683.43256,542.56256
990.0028,789.81256
734.72186,814.25006
779.5333,747.875
1027.5851,1260.875
1097.2876,1216.25
932.56934,713.62506
1285.3136,1429.375
1253.8461,1261.625
1073.1903,840.12506
383.8023,885.5625
172.219,0.0
555.2017,397.0
247.60742,1838.3125
209.84192,303.3125
332.92206,299.125
353.7741,448.75
733.6469,237.625
841.71106,451.5
273.3297,299.8125
242.18591,222.25
241.9541,113.875
148.08362,104.8125
177.84717,205.4375
163.68384,407.50006
398.9414,464.06256
177.41199,150.87512
230.61633,157.87512
171.87256,95.0
238.50684,106.18762
437.37854,277.4375
191.41895,2.0625
200.63342,212.4375
232.70569,113.18762
622.1666,596.9375
257.56055,223.50012
250.86255,204.75012
376.69,117.375
377.47107,266.96875
444.73315,107.625
512.28723,269.75
260.3302,252.9375
401.26202,330.56256
437.9348,321.50012
374.47266,278.875
410.7035,283.40625
370.08533,264.125
329.25195,290.0
194.02148,37.6875
118.51721,137.0
178.35791,130.625
161.91602,133.40637
160.68982,123.6875
144.07202,135.5625
166.84363,124.3125
211.50354,62.125122
274.1864,118.06262
347.24713,454.93756
235.79163,124.3125
137.95203,41.875
102.90735,66.37512
130.87988,99.25012
138.19885,29.312622
157.18677,93.625
115.299805,77.5
109.923096,68.4375
86.11755,20.53125
206.52454,131.25
144.0841,101.31262
132.32971,127.875
177.32849,136.93762
129.0293,44.0
106.9718,32.75
