preds,trues
179.8269,167.00012
165.74731,170.5
218.8147,202.625
61.97058,223.625
229.80835,138.3125
165.9596,215.875
135.29993,83.12512
166.2926,164.87512
175.42053,106.18762
811.048,685.3125
787.5251,437.15625
646.08215,473.15625
437.1844,357.0938
733.05505,1154.375
747.899,962.78125
1301.3955,1802.3125
539.6269,622.75
623.5373,455.6875
422.85974,363.43756
383.6903,293.50012
686.6496,1033.75
351.2481,383.0
333.75513,271.1875
375.30664,401.1875
472.98657,368.31256
432.59265,380.1875
1156.4336,1211.25
538.96704,1005.75
665.455,1065.875
547.81903,388.56256
301.53345,192.125
343.54474,239.75
478.74634,438.9375
432.969,321.50012
373.29248,359.25
538.5792,683.5625
793.02515,475.93756
463.83252,378.8125
318.26855,170.5
277.1455,269.75
362.00073,364.125
328.33972,391.37506
630.8752,443.06256
321.56335,243.93762
365.1219,290.75
459.14453,588.50006
718.1369,963.125
496.028,863.875
598.7537,379.46875
533.43475,489.96875
559.40814,370.75
616.72046,964.1875
673.18286,378.50006
398.32593,437.875
429.6745,300.125
384.72803,455.31256
361.19946,608.8125
543.10016,443.06256
512.7566,571.87506
371.89978,329.875
422.8719,327.0625
276.6659,357.8125
443.8098,448.0
560.8894,1276.3125
584.9746,694.125
523.0414,473.875
489.79474,495.5
494.82263,1188.25
1198.7966,1092.5
1544.9854,1952.25
1291.7909,2113.6875
741.8322,985.5
2238.157,1959.9375
934.4693,727.5625
1120.9883,1960.625
347.7533,513.03125
435.92334,508.78125
493.40753,1031.0
397.13434,460.21875
533.6326,1134.4062
381.01685,464.43756
618.13007,359.62506
563.0627,467.5625
411.9442,292.59375
415.26147,535.0313
417.4402,144.625
170.40771,184.4375
239.04663,808.6875
224.96533,406.75
502.80646,351.56256
485.66644,297.75012
518.2488,370.37506
230.63782,365.56256
384.34644,471.06256
778.25494,677.9375
395.15967,480.25006
408.89325,413.0625
267.68127,348.0625
381.07593,550.75
739.62524,559.875
335.45386,332.0
412.1624,446.625
455.73053,470.37506
327.40894,304.75012
365.29303,498.3125
321.61792,435.43756
296.27563,341.75006
234.78662,271.1875
338.66028,246.34375
290.14014,166.59375
148.48889,125.03125
166.64978,187.59375
456.078,408.12506
497.17218,583.25
221.6206,473.875
703.4777,668.125
464.99744,606.6875
773.07654,1243.125
361.23077,443.8125
259.24426,283.75
352.0672,277.09387
308.8374,467.87506
290.69373,289.68762
319.06714,391.37506
284.64514,330.56256
620.5571,290.0625
298.1892,333.375
254.23083,203.375
210.8247,284.4375
377.18304,234.125
419.81128,218.0625
301.72778,137.625
231.85693,270.4375
354.56573,327.8125
183.42932,303.625
251.81775,241.78125
349.91528,416.15625
497.40393,555.625
398.63416,455.6875
279.2622,243.1875
245.10461,136.93762
243.68799,162.0625
266.42773,320.0625
161.69348,195.00012
198.14355,274.62512
352.21606,311.6875
75.26355,79.625
170.9862,590.5625
737.15265,705.9375
765.9157,700.3125
452.73242,433.31256
361.69037,388.56256
304.4436,320.75
571.89453,675.18756
644.39514,485.68756
633.62115,770.93756
403.58386,383.6875
307.81287,557.75
588.8635,606.625
620.12714,671.0
461.66614,614.37506
718.7479,734.5625
450.01758,583.625
725.36115,720.5625
1116.2623,993.9375
310.90686,251.21887
452.98602,695.8125
308.67908,259.25
353.9796,406.75
347.14557,384.37506
330.74463,350.87506
538.0834,410.375
449.03564,416.9063
430.89508,334.75006
423.45813,471.75
570.4813,399.8125
455.7541,775.875
548.09204,536.37506
507.67017,437.5
801.56335,593.37506
529.17065,450.375
514.12225,380.25
695.45966,566.8125
992.91327,1231.5625
691.32495,753.84375
528.2199,627.625
663.09705,732.50006
