preds,trues
153.75256,153.6875
125.70715,0.0
281.45056,267.68762
317.2849,178.5625
100.07825,71.28125
67.6344,0.0
91.95154,69.12512
514.01044,507.4375
387.2644,218.75012
146.47607,240.375
168.74976,383.6875
165.01282,95.6875
77.56152,29.250122
39.35144,41.875
59.5907,37.0
58.048218,93.625
149.89233,204.0
409.0166,396.28125
293.50427,302.96875
226.60364,83.875
180.27148,285.37512
124.42981,155.125
171.08081,127.125
261.7202,236.1875
590.13684,537.43756
421.2865,606.6875
400.57025,481.5
380.77032,308.9375
102.05444,100.625
167.35107,160.00012
304.76978,206.87512
418.14606,408.1875
300.08362,299.125
72.24536,111.8125
92.40234,48.1875
13.114258,0.0
1614.2241,4191.8125
2104.7769,50.250122
143.51575,81.0625
53.39685,103.4375
49.493164,51.6875
19.828247,27.1875
51.161133,68.4375
74.80444,40.500122
32.92639,44.625
18.599243,1.375
28.272705,3.437622
31.954834,20.1875
14.144775,0.0
12.7126465,0.0
49.33606,51.6875
65.48242,9.6875
41.98413,18.8125
12.932617,2.40625
55.188965,39.875
85.45874,83.9375
44.06836,44.625
34.943848,9.75
12.734741,0.0
12.280518,1.0
12.330322,0.0
11.63147,0.0
11.314453,0.0
11.1467285,0.0
11.033447,0.0
10.927368,0.0
10.872192,0.0
10.868408,0.0
10.819824,0.0
11.379028,0.0
37.752686,0.0
11.288696,0.0
12.263916,0.0
11.452881,0.0
10.818359,0.0
10.937256,0.0
140.50781,0.0
19.70996,72.31262
17.914185,28.625
56.099487,113.875
129.17444,153.00012
147.37097,90.06262
87.31555,103.375
95.97815,95.6875
155.35754,55.125122
23.76831,0.0
12.692261,0.125
12.857422,0.0
12.83374,0.0
12.56604,0.0
12.791626,0.0
12.379395,0.0
12.545288,7.59375
12.380615,6.9375
12.685181,5.000122
12.455322,5.1875
12.762085,38.718872
71.31128,203.8125
62.69568,69.56262
20.249023,95.50012
130.3302,255.0625
204.87695,267.0
95.545044,71.21875
14.0563965,7.625
12.58606,11.125
18.893555,54.4375
16.685791,18.125
43.80359,25.125
14.214111,19.5
12.373169,19.562622
13.688599,18.125
31.179932,45.375122
57.387207,108.25
74.19824,96.4375
225.12488,220.81262
278.7445,212.4375
104.298096,60.75
137.41406,155.8125
309.4646,263.4375
248.0802,396.9375
476.62927,612.25006
412.04828,378.8125
352.36768,287.9375
199.98926,202.00012
194.76855,285.8125
