preds,trues
339.97375,283.75
509.59406,645.4375
368.38153,376.75006
309.1206,378.8125
594.5654,1130.9375
623.7909,799.5625
402.83032,534.0
416.89398,379.50006
537.55566,592.00006
767.55975,659.125
650.0253,142.84375
1187.6669,839.06256
655.2292,647.875
1605.5872,1789.375
1259.3184,1184.9375
1379.2025,1350.4062
1256.4205,1691.5
1503.3058,1707.625
1129.5637,899.5625
784.4043,1068.6875
815.64984,977.8125
1321.1318,2125.9688
2275.6396,2930.1875
2281.641,2385.625
2147.6714,2436.6875
2317.6392,2013.4375
2079.7104,2151.5
929.0127,1686.625
1363.3763,1177.75
1004.11597,1502.8125
270.90674,249.15625
324.00488,481.5
563.5321,424.9375
472.83136,429.62506
1321.471,1171.4375
446.1925,489.25006
1186.8713,1577.9688
1160.2158,767.43756
651.1817,873.6875
838.2285,616.4375
473.0362,348.75006
356.67767,284.125
380.86664,297.0
277.76904,272.5625
345.09924,273.9375
381.344,359.59375
412.76105,399.0625
605.5764,1173.5625
1051.6278,957.5625
509.09467,640.9375
414.1673,472.06256
758.9402,690.50006
483.04486,0.6876221
779.8033,715.00006
972.514,1280.5
817.9831,452.25006
724.347,1632.125
1998.1359,1773.3125
470.5125,1143.5
1205.267,769.87506
1091.9016,1564.3125
914.78723,1243.5
937.16406,807.31256
76.12573,27.9375
82.5293,137.625
44.458252,179.5625
38.306152,0.34375
38.355347,0.0
38.358643,0.0
38.358276,0.0
38.358276,0.0
32.099365,10.8125
34.226196,0.0
218.39197,532.56256
496.09796,388.25006
235.17029,31.375122
6187.4614,6763.4375
4436.7676,3473.25
5013.0723,7457.625
4866.2866,4418.625
4076.0034,2997.25
5342.4106,3729.125
3762.5322,3511.6875
3010.2217,3313.9062
3075.406,3160.4688
3263.713,2814.125
2260.9187,2477.875
1749.1267,2132.25
2853.74,2869.375
2699.584,1985.125
948.2877,1777.0938
1094.5809,1808.9375
959.0614,1088.9375
557.81805,227.125
284.44373,231.3125
556.2304,525.56256
297.69055,191.4375
340.6725,294.875
254.89526,412.37506
1008.5553,503.25006
849.598,1126.75
400.97882,289.3125
316.76062,214.5
188.62292,189.3125
208.02637,180.25
198.19653,140.4375
