preds,trues
1143.0311,789.125
2459.566,1525.125
1824.7305,1202.1875
1131.2317,1490.875
4209.787,5102.625
2418.7036,2252.1875
2778.3457,3202.75
2254.5286,1256.0625
989.74805,824.0625
1700.676,1890.6875
1165.6794,742.9375
948.12,477.625
694.8939,858.3125
1160.2886,1477.625
1750.987,2345.0625
1760.9136,1409.875
1641.3289,1055.375
801.82416,443.8125
598.62634,516.5
668.4912,789.81256
1412.2073,1032.625
1133.3557,1168.0
1583.5095,1672.6875
953.2201,594.8125
946.7008,903.0625
622.61847,637.4375
903.37305,868.09375
1782.9862,1459.125
935.73083,710.84375
777.3248,586.4063
523.632,503.25006
653.3313,530.84375
611.9231,437.875
730.4983,856.9375
594.6518,398.75
596.7857,565.46875
972.09106,1120.375
1272.0066,971.5
315.6809,185.125
243.53003,895.25
910.62756,847.84375
626.9128,396.65625
644.72565,1520.2188
869.52704,688.4375
948.51636,1241.75
1239.9172,874.40625
701.8941,452.5625
503.36133,278.15637
617.6581,505.6563
588.0909,348.37506
1160.154,781.375
523.92126,407.40625
748.82446,696.8125
600.3167,554.25
543.68317,408.12506
808.8225,694.75
646.8636,376.0
603.23083,704.50006
1011.59546,1332.25
1314.8854,1170.0625
1692.746,2082.25
746.59296,360.62506
763.1941,915.625
748.30115,981.3125
1492.5277,1295.9375
616.5178,384.37506
1140.8738,916.3125
1392.2051,1400.0625
2967.497,2448.2188
3119.852,3057.0312
3517.171,3588.9688
3305.2788,5171.875
1929.5088,1558.6875
2080.3638,2433.625
2142.0195,1536.6562
1088.0553,888.3125
1383.3809,1377.0
1560.6511,1490.1875
1199.405,1174.9375
1407.6355,929.625
876.6603,942.875
1395.2002,1215.75
1054.0441,1313.375
443.0691,408.12506
380.25775,503.18756
752.1478,1169.375
1011.82336,947.75
627.04596,794.0
855.8059,945.0
912.4257,1020.4375
894.542,453.75006
511.86823,1130.1875
640.3733,452.18756
599.1323,784.25
711.01013,840.8125
1083.6279,1187.5625
760.7833,891.875
1061.4382,1290.3125
1385.3853,1546.125
874.88306,1077.8125
358.36652,386.50006
1144.4165,1616.0
1277.9934,1300.75
1785.2042,1638.4375
1377.8989,1925.6875
1857.1437,1989.3125
501.33954,596.87506
1205.4974,1165.125
1000.78064,1004.40625
974.0785,1091.8125
970.7845,877.34375
379.1764,533.21875
572.57654,606.2813
509.90894,566.84375
345.78345,96.40625
