preds,trues
370.6114,283.75
537.3668,645.4375
398.7516,376.75006
339.222,378.8125
630.3465,1130.9375
660.4621,799.5625
432.63153,534.0
444.52844,379.50006
568.2806,592.00006
802.3317,659.125
683.365,142.84375
1205.849,839.06256
690.3504,647.875
1624.3411,1789.375
1300.2092,1184.9375
1415.5221,1350.4062
1289.9927,1691.5
1540.6532,1707.625
1176.2761,899.5625
826.893,1068.6875
848.8336,977.8125
1353.5939,2125.9688
2293.2153,2930.1875
2306.7344,2385.625
2177.1057,2436.6875
2353.5251,2013.4375
2110.019,2151.5
976.8779,1686.625
1401.4028,1177.75
1048.9062,1502.8125
305.7212,249.15625
350.8117,481.5
589.2361,424.9375
497.33954,429.62506
1346.6421,1171.4375
479.85748,489.25006
1210.7911,1577.9688
1190.7122,767.43756
677.34894,873.6875
866.17645,616.4375
491.00452,348.75006
369.01947,284.125
392.49237,297.0
285.5786,272.5625
354.0556,273.9375
390.48224,359.59375
421.83105,399.0625
621.2388,1173.5625
1075.7808,957.5625
533.4098,640.9375
437.58026,472.06256
786.79706,690.50006
512.68756,0.6876221
806.1699,715.00006
996.82776,1280.5
847.3097,452.25006
745.45074,1632.125
2011.8638,1773.3125
516.1088,1143.5
1243.1077,769.87506
1131.3143,1564.3125
962.3987,1243.5
985.1903,807.31256
116.38574,27.9375
115.79968,137.625
73.602905,179.5625
45.09314,0.34375
43.272827,0.0
43.069702,0.0
43.044556,0.0
43.041504,0.0
23.34851,10.8125
27.63379,0.0
255.69873,532.56256
518.8593,388.25006
303.33667,31.375122
6218.964,6763.4375
4412.726,3473.25
4991.746,7457.625
4976.053,4418.625
4069.955,2997.25
5402.7188,3729.125
3646.0278,3511.6875
2904.6855,3313.9062
2957.4712,3160.4688
3131.2695,2814.125
2181.787,2477.875
1655.8442,2132.25
2720.391,2869.375
2562.252,1985.125
916.2909,1777.0938
1066.1693,1808.9375
927.32715,1088.9375
561.3654,227.125
310.9911,231.3125
591.8512,525.56256
318.2561,191.4375
373.17236,294.875
285.70007,412.37506
982.66406,503.25006
850.72046,1126.75
413.21075,289.3125
344.13867,214.5
217.06128,189.3125
236.72388,180.25
227.2373,140.4375
