preds,trues
1075.9475,789.125
2423.503,1525.125
1796.2842,1202.1875
1088.214,1490.875
4145.149,5102.625
2315.027,2252.1875
2700.3936,3202.75
2156.6777,1256.0625
992.28015,824.0625
1683.022,1890.6875
1121.3839,742.9375
956.07385,477.625
715.36115,858.3125
1156.8711,1477.625
1668.4614,2345.0625
1688.6039,1409.875
1563.5773,1055.375
820.67413,443.8125
619.0015,516.5
651.84515,789.81256
1355.4314,1032.625
1089.3082,1168.0
1460.6721,1672.6875
897.8444,594.8125
903.83765,903.0625
597.6187,637.4375
875.2487,868.09375
1683.0332,1459.125
881.02234,710.84375
757.02655,586.4063
512.64703,503.25006
641.21844,530.84375
607.6581,437.875
732.10333,856.9375
571.00574,398.75
592.1688,565.46875
934.23425,1120.375
1193.0565,971.5
320.04956,185.125
258.83313,895.25
860.4774,847.84375
611.50726,396.65625
640.81915,1520.2188
820.8713,688.4375
918.1398,1241.75
1166.0602,874.40625
672.2625,452.5625
504.42334,278.15637
608.322,505.6563
565.75397,348.37506
1122.7166,781.375
507.86273,407.40625
726.7397,696.8125
584.2079,554.25
527.86346,408.12506
780.1788,694.75
623.3663,376.0
601.85114,704.50006
987.7757,1332.25
1230.8113,1170.0625
1586.9889,2082.25
705.6067,360.62506
745.4809,915.625
710.6832,981.3125
1384.537,1295.9375
579.9867,384.37506
1111.5968,916.3125
1348.7648,1400.0625
2909.3447,2448.2188
3035.831,3057.0312
3447.8271,3588.9688
3190.4265,5171.875
1820.2854,1558.6875
2014.2444,2433.625
2052.6165,1536.6562
1055.0226,888.3125
1360.0321,1377.0
1509.5405,1490.1875
1178.0203,1174.9375
1334.0747,929.625
853.08057,942.875
1378.5789,1215.75
1016.37537,1313.375
489.07324,408.12506
435.72717,503.18756
806.819,1169.375
1063.5319,947.75
678.73096,794.0
908.15137,945.0
965.60046,1020.4375
950.11127,453.75006
563.6591,1130.1875
685.7693,452.18756
648.8121,784.25
761.6769,840.8125
1128.7295,1187.5625
813.44794,891.875
1110.3817,1290.3125
1428.2561,1546.125
928.7295,1077.8125
401.9931,386.50006
1176.728,1616.0
1328.54,1300.75
1836.425,1638.4375
1426.9639,1925.6875
1899.6675,1989.3125
551.1653,596.87506
1222.0536,1165.125
1023.6262,1004.40625
1002.2982,1091.8125
996.84045,877.34375
398.29028,533.21875
592.9506,606.2813
530.61926,566.84375
369.01855,96.40625
131.93542,17.0625
404.14532,274.96887
449.54285,255.0625
748.1603,849.4375
1256.3932,1531.4375
1516.5817,1323.875
1312.2869,1435.0
1202.0205,1490.1875
962.4889,1141.375
877.1398,1090.375
748.31305,378.75
561.70215,698.25
370.15363,199.1875
1162.3589,1047.7188
483.48334,523.46875
335.95935,219.0625
807.5651,468.96875
671.26306,840.8125
488.614,348.0
398.89478,455.6875
569.70166,578.00006
272.70874,239.0
252.33838,309.0
261.3534,156.5
298.32227,133.4375
391.48804,441.0
371.12067,308.9375
269.03516,46.03125
243.69617,12.562622
429.62115,256.8125
379.3806,326.375
243.89087,149.5625
451.92603,409.56256
519.1191,413.7813
333.02667,169.40637
221.21826,91.18762
256.89587,427.75
187.52612,144.75
181.0918,110.375
131.5763,81.6875
148.193,238.3125
199.7367,142.875
150.51184,78.875
183.97632,91.5
246.85083,190.0625
174.61768,75.4375
189.72388,133.4375
103.4729,25.0625
88.94165,63.5625
94.48657,55.125122
84.44348,35.5625
110.50818,58.625
176.80493,37.6875
195.92676,60.000122
264.93677,195.00012
252.85632,121.0625
301.1328,452.18756
534.0545,706.62506
610.1871,327.0625
1486.2059,1207.125
1300.3488,1237.1875
1093.2594,830.3125
1068.458,791.1875
546.4272,476.625
439.5531,224.28125
288.8899,348.6875
372.99103,269.75
346.33746,255.81262
466.9687,208.1875
259.64038,116.0
395.40436,236.1875
237.87573,108.25
241.04163,183.4375
376.28394,102.0
289.13354,273.25
564.45764,459.18756
382.35754,498.43756
264.19006,260.0
323.46094,269.75
631.6421,290.75
492.14252,283.75
423.7716,421.43756
403.33276,436.8125
353.10626,206.1875
363.73145,276.0625
276.90588,475.25006
244.85815,929.5625
295.3391,90.06262
428.06525,218.375
229.66809,22.34375
224.92786,85.25012
333.30457,568.9375
461.0227,1080.625
1182.0581,1762.8125
2241.9478,2719.75
2169.38,1762.8125
1963.2739,1732.75
1999.7701,2018.625
2644.7644,2997.9375
2662.9463,3092.2812
2245.4807,2353.9688
1743.5957,939.375
504.07343,865.28125
465.6516,457.8125
381.75275,518.625
467.41718,316.5625
315.91748,220.81262
299.00073,187.3125
295.18286,299.8125
394.15656,340.375
359.8949,464.06256
489.98694,311.6875
659.65466,696.875
614.51025,437.5
711.2063,575.87506
546.9233,675.0
621.21936,743.00006
827.4623,501.8125
363.6823,139.75
464.27423,1760.75
1672.0846,1451.0625
953.6598,988.3125
771.09705,168.09375
419.48505,0.34375
293.32654,292.875
259.06897,292.8125
361.4322,210.3125
264.1787,308.1875
350.9251,1010.0
742.1394,420.75
336.83545,496.25006
576.1562,566.125
758.8606,652.06256
655.14246,594.75006
709.53394,629.75
700.2163,730.375
548.67957,682.93756
1089.0261,1248.375
1248.2976,1311.9375
809.8304,534.68756
258.08813,180.9375
237.16394,223.625
366.93567,202.00012
85.57605,0.0
74.30347,0.0
144.8363,0.0
19.580444,0.0
19.922241,4.125
20.528809,1.71875
572.06866,591.65625
813.6114,763.93756
1150.5471,3516.625
1846.1724,2203.1875
1404.4458,1036.5625
1748.1664,1873.25
1753.8646,1952.25
1922.9231,1953.6875
1834.6345,1877.4375
2055.4863,1906.0625
1730.7534,2093.4375
2199.3652,2007.5
1588.145,1469.25
1732.8331,1760.0625
2575.3774,1130.25
1136.0334,1123.9375
1762.2549,1769.125
1834.8527,1705.5
1879.688,2091.3125
1591.0554,1439.1875
1379.4642,1585.9375
1908.1016,1402.8125
1421.7882,1510.8438
1274.5386,1062.4688
1964.1074,2457.625
2268.8203,2247.9375
1993.039,1734.6875
1748.1609,1213.4375
1490.2327,1292.75
1724.7389,2220.2812
2269.059,2329.3125
1811.2677,1950.1562
1930.8594,1686.9688
5321.9287,4630.8125
1535.3418,988.3125
2511.8,1919.375
879.50555,339.0
389.36566,264.8125
471.4245,497.9375
696.8743,473.12506
575.4191,423.9063
484.99304,497.62506
1428.0905,2786.1875
1373.947,1503.5
2093.5723,1579.0
1684.582,1013.5
1170.2797,979.9375
1154.128,638.25
1394.4526,1222.5
819.1132,759.75
1826.3943,2548.875
862.7207,320.40625
685.13715,760.40625
761.6727,1592.25
3443.8906,2533.8125
2837.9214,3585.75
3192.543,4727.25
1812.1041,1393.0625
1676.4089,2770.8125
2717.0295,2487.0
2650.122,4011.5
5128.6943,2434.125
5258.1733,4851.6875
6375.2246,6222.4375
4064.6357,4938.375
4292.8394,3630.5625
2391.3508,2705.0625
1475.2893,2618.4375
4318.6724,3454.375
5298.4185,6249.6875
5212.5757,5030.0
2571.643,3026.625
7731.4336,7161.1875
6674.9424,4418.3438
1485.3071,460.21875
686.55914,257.875
551.6402,610.87506
917.0215,551.43756
955.6333,627.25006
590.6503,350.8125
1981.6448,1077.8125
1733.0424,2367.7812
5102.8413,5435.6875
3248.3438,1820.125
7062.2324,9130.3125
5924.3125,7778.4375
5970.0737,6945.1875
4724.453,4741.9375
3991.0107,6599.8438
5030.3804,6216.875
4137.1597,6218.8125
4766.328,4470.0625
2586.8027,1758.625
2642.0864,1725.0625
3604.771,3371.875
3821.5674,2156.375
3288.2593,4177.875
1383.2554,1372.8125
1678.0747,2008.8125
1232.3878,2550.9062
1310.3818,1176.375
1278.2338,754.125
1179.7214,1118.3125
206.32361,414.62506
1894.5618,2062.0
1556.6068,1390.25
2682.6597,1859.9375
1629.9353,2225.9375
3618.0752,3172.375
5278.2495,6582.7188
6617.2656,7199.625
2471.1963,3346.0625
3686.5493,2695.9375
