preds,trues
196.73035,153.6875
3627.3296,3538.3125
2842.517,2256.3125
2196.2075,1713.875
3967.9468,4362.4375
2490.6255,2806.4375
3858.23,4529.5
3378.4666,5487.8125
3638.4004,4783.5
4070.5996,3658.5
2075.9314,1501.375
2618.9453,2961.5625
1987.4551,3603.3125
2576.834,1897.0
3400.772,2935.75
3953.5981,3520.75
2712.0894,2642.8125
2436.501,1378.375
2843.1392,2584.125
2581.254,2456.9375
2390.5144,2706.5
2101.9795,1121.8125
1856.987,2373.75
2160.5354,2080.875
1574.8245,1795.0
1601.8154,1651.6875
1571.1953,1636.3125
1445.4572,940.125
848.08734,672.375
1369.366,892.5625
720.18176,660.5
538.9983,596.87506
545.4223,340.375
366.73907,380.875
294.49622,264.875
371.1955,422.8125
945.1194,713.62506
1143.708,1585.9375
1351.9983,1076.375
744.3153,542.56256
997.3366,789.81256
751.0602,814.25006
788.8901,747.875
993.4192,1260.875
1108.4729,1216.25
947.6041,713.62506
1284.0558,1429.375
1253.8792,1261.625
1102.4045,840.12506
465.0448,885.5625
288.61414,0.0
535.83606,397.0
314.5088,1838.3125
274.19324,303.3125
325.70972,299.125
335.67743,448.75
742.49023,237.625
845.3431,451.5
312.05652,299.8125
275.4873,222.25
301.59302,113.875
206.24536,104.8125
197.83862,205.4375
190.73279,407.50006
418.8875,464.06256
212.65015,150.87512
245.51465,157.87512
195.50818,95.0
242.50269,106.18762
408.73248,277.4375
224.80298,2.0625
209.27917,212.4375
202.01965,113.18762
623.1031,596.9375
263.09436,223.50012
229.90112,204.75012
298.0321,117.375
324.84058,266.96875
386.6654,107.625
458.1156,269.75
247.65613,252.9375
348.75696,330.56256
391.27264,321.50012
336.45374,278.875
375.7174,283.40625
336.40936,264.125
317.64636,290.0
193.5404,37.6875
125.596924,137.0
174.16968,130.625
170.4613,133.40637
162.87341,123.6875
155.74304,135.5625
167.92029,124.3125
198.39099,62.125122
243.60693,118.06262
329.3883,454.93756
236.74207,124.3125
157.55151,41.875
116.63135,66.37512
121.31482,99.25012
162.83704,29.312622
191.50073,93.625
146.27515,77.5
135.54358,68.4375
118.33984,20.53125
213.14893,131.25
158.67456,101.31262
131.65356,127.875
193.14526,136.93762
143.82532,44.0
125.79114,32.75
90.748535,32.0625
94.42236,41.125122
110.075195,50.250122
105.997314,39.0625
147.41016,104.40625
152.42126,132.75
177.58289,147.4375
189.64099,130.28125
208.81311,147.40637
206.66956,201.9375
165.35425,120.125
142.62756,51.6875
191.9768,121.5625
160.06067,113.18762
167.68372,61.500122
169.96912,89.4375
185.37207,104.4375
144.95618,163.5
188.58667,185.87512
173.06616,93.625
198.61182,94.31262
142.6654,33.500122
114.47217,155.125
168.20154,69.1875
137.2472,43.9375
107.641235,59.03125
106.740845,26.15625
102.69165,57.65625
123.37451,77.5625
125.06494,85.25012
144.18811,153.00012
154.09253,143.59387
245.46509,235.15637
71.75842,196.4375
232.61426,135.25012
287.6449,52.3125
123.70398,44.625
130.82886,51.656372
148.68518,74.75
142.97583,58.0
152.5299,62.1875
112.59595,81.0
113.14563,76.8125
256.76392,130.6875
270.56494,25.437622
152.94531,190.0625
150.12744,153.6875
158.37268,39.0625
120.73218,100.625
180.0299,219.4375
202.71997,122.93762
190.35828,192.625
332.65015,90.75
394.60016,353.62506
243.47021,173.25
209.94275,118.06262
119.48889,34.1875
110.85742,55.843872
108.84985,129.25
129.85999,204.75012
187.44531,123.0625
150.21167,109.6875
142.61572,113.18762
126.12463,143.5625
119.0376,81.0
234.95459,81.8125
156.46289,90.8125
119.301636,27.9375
99.03833,35.625
94.21936,24.03125
90.47803,50.21875
97.92883,18.125
72.92566,20.875
64.26868,20.9375
69.81421,32.0625
93.66626,41.1875
113.82666,80.3125
124.16174,48.1875
100.03833,18.125
110.78735,38.437622
1854.572,2483.5625
2993.2532,3296.4375
1062.0513,793.31256
1467.0879,963.4375
518.18,260.62512
1584.6227,1077.125
1063.845,1303.5625
1120.0353,653.5
1714.6427,963.875
2660.6274,2378.625
1759.4465,1591.5625
987.9159,911.4375
611.58655,422.12506
451.08325,1272.8125
774.26495,709.4375
597.68036,1014.875
905.47095,603.25
1083.2104,575.53125
587.94025,731.5
781.7919,1728.5312
1276.3418,1001.625
907.0775,347.375
355.3136,395.62506
344.45215,221.5
424.28033,464.06256
385.24463,534.0
549.10364,498.3125
316.54395,427.00006
321.17615,880.6875
1599.6816,1239.6562
625.8953,773.0
1254.6606,1362.25
387.28772,323.62512
286.0515,610.125
368.18817,398.37506
268.4984,48.875
456.97278,404.625
466.11053,1223.9062
993.95874,831.75006
589.65265,267.68762
415.51227,605.25006
464.4403,136.25
222.82068,141.125
434.87018,976.5
1120.5525,1009.3125
889.5676,1320.3125
219.55188,0.0
108.51453,0.0
103.176025,0.0
331.82605,1052.5938
1123.804,1062.375
972.4269,999.5
969.6698,840.12506
1116.2922,1567.0625
1164.8431,1168.6875
1029.9467,1342.0
1660.8666,1685.875
776.2183,691.9375
1226.3044,1012.8125
843.33435,563.5625
636.7355,961.375
894.6316,997.03125
702.52814,794.0
820.2563,928.25
801.945,427.6875
501.92255,600.37506
441.8885,0.0
596.46814,982.0625
1326.0942,1247.625
1068.2163,1494.0625
942.68164,830.75
593.6039,0.34375
917.1236,685.68756
484.9572,680.75
524.9872,1157.5
933.5713,1282.625
855.8981,824.75006
1062.8197,1021.875
1148.1605,1297.2812
1241.5206,1503.0938
650.55145,917.75
497.28467,373.25
455.49622,194.9375
323.13647,476.0
241.26721,153.00012
196.48242,307.50012
133.50195,180.3125
216.26208,198.4375
288.70044,442.43756
520.81586,516.1563
543.1963,582.53125
701.45703,1091.8125
771.398,782.125
608.24677,641.56256
656.5194,604.5625
664.53186,664.0
465.61664,355.0625
490.5755,409.21875
432.87952,431.18756
544.82,529.75
337.95093,385.8125
451.69366,371.8125
481.6131,399.75
337.4901,109.375
208.29504,154.09375
219.98059,89.71875
305.1897,259.3125
248.62329,100.5625
233.65771,135.5
269.24182,203.375
261.83337,116.0
308.39636,160.34387
216.06885,6.187622
441.25427,536.75
419.19208,676.5625
571.9985,385.8125
521.1025,328.43762
424.30035,4.125
294.98218,622.68756
930.7981,1151.1875
580.6611,968.0
489.76776,198.4375
404.30725,20.1875
280.542,371.8125
267.62646,11.15625
329.69135,317.3125
223.39514,316.5625
388.04108,632.5
436.49506,727.62506
232.5188,198.4375
165.39697,164.1875
235.26819,167.6875
197.47583,95.75
386.7669,186.93762
338.451,384.0625
358.23486,408.875
365.18707,374.9375
479.70093,405.37506
385.8338,404.75006
319.45972,421.43756
471.19165,366.25
456.92145,371.8125
412.3145,622.4063
533.4578,428.43756
528.8334,498.3125
479.7727,360.62506
374.5415,319.37512
329.52258,283.75
380.16217,62.875
99.920654,28.59375
47.36548,23.0625
127.58313,183.68762
158.76172,37.0
4453.1025,3868.9375
3003.9941,3316.6875
3075.8257,2622.625
3178.1873,4463.75
2876.5154,2618.375
2161.1333,2041.75
1965.1094,1890.0
3694.338,3799.6875
3907.5767,3960.4688
3246.811,3146.8125
5710.951,5759.6875
3954.8486,4747.0625
4876.7065,3678.75
4141.588,3741.6875
2764.8325,2054.3125
2851.1406,2709.9375
3283.4902,3415.2188
3484.0068,3085.3125
2160.7966,1747.4375
4467.514,5301.1875
6166.097,6662.8125
5761.2515,3708.125
2973.171,2229.75
2440.9902,2485.625
2763.186,3985.625
2125.5767,2115.125
2672.3445,3475.375
2582.3872,2456.9375
1926.9854,2424.0625
1435.0167,1547.6875
2341.8657,1987.25
1348.3247,835.9375
2024.1602,1633.5
1887.6816,2515.9375
1784.27,1836.875
2614.3796,3409.625
1120.9055,529.8125
1153.7833,712.9375
2084.6953,3324.25
1701.241,1997.0
3631.502,3534.75
3711.6108,3008.4375
2066.8645,1773.3125
2081.9368,1933.375
2263.1777,1572.0
2494.2512,2196.1875
1720.2366,1332.9375
1807.6755,1051.1875
2123.5703,1977.0312
2453.8718,2728.4688
3455.4727,3979.3125
