preds,trues
193.51196,167.00012
188.92712,170.5
226.76038,202.625
99.513794,223.625
223.21619,138.3125
175.70459,215.875
148.35376,83.12512
173.19873,164.87512
189.88623,106.18762
779.707,685.3125
793.39374,437.15625
647.7848,473.15625
452.6264,357.0938
675.88617,1154.375
773.89905,962.78125
1268.2761,1802.3125
603.78723,622.75
658.87506,455.6875
475.80737,363.43756
402.48187,293.50012
658.77747,1033.75
393.36884,383.0
353.67328,271.1875
382.1521,401.1875
471.22864,368.31256
442.1903,380.1875
1058.5083,1211.25
562.25757,1005.75
660.05225,1065.875
589.7606,388.56256
332.69086,192.125
348.11267,239.75
459.65582,438.9375
430.48126,321.50012
390.5141,359.25
528.8561,683.5625
787.19147,475.93756
494.97516,378.8125
334.02466,170.5
286.51526,269.75
353.88702,364.125
323.97668,391.37506
587.033,443.06256
339.05383,243.93762
364.4408,290.75
439.46716,588.50006
679.8021,963.125
524.2787,863.875
609.54364,379.46875
520.41144,489.96875
530.98334,370.75
620.85693,964.1875
679.48157,378.50006
411.83984,437.875
427.63275,300.125
384.53522,455.31256
359.87085,608.8125
538.21747,443.06256
501.10785,571.87506
372.8974,329.875
406.74316,327.0625
298.89844,357.8125
438.1101,448.0
537.6893,1276.3125
615.23663,694.125
541.8962,473.875
480.72998,495.5
486.89752,1188.25
1114.3256,1092.5
1489.7002,1952.25
1284.8136,2113.6875
805.25195,985.5
2192.4836,1959.9375
1029.5464,727.5625
1124.5681,1960.625
338.77545,513.03125
410.40082,508.78125
450.1405,1031.0
372.03345,460.21875
476.37506,1134.4062
400.2798,464.43756
590.2793,359.62506
574.04816,467.5625
410.96704,292.59375
391.40027,535.0313
413.09625,144.625
175.7146,184.4375
225.03162,808.6875
221.34216,406.75
438.87848,351.56256
446.237,297.75012
468.24567,370.37506
227.35388,365.56256
351.5952,471.06256
673.4905,677.9375
387.53894,480.25006
389.06525,413.0625
255.91321,348.0625
347.8767,550.75
663.46564,559.875
364.6474,332.0
389.748,446.625
417.0694,470.37506
325.10242,304.75012
351.6023,498.3125
312.22913,435.43756
275.66833,341.75006
233.82019,271.1875
285.7224,246.34375
264.02808,166.59375
146.37146,125.03125
154.7738,187.59375
399.5943,408.12506
430.70776,583.25
228.00854,473.875
594.0797,668.125
432.7437,606.6875
672.552,1243.125
354.65735,443.8125
256.77283,283.75
319.8734,277.09387
270.67175,467.87506
275.15625,289.68762
309.4707,391.37506
281.15137,330.56256
528.4495,290.0625
291.67847,333.375
259.1682,203.375
214.61572,284.4375
331.10498,234.125
371.54712,218.0625
267.672,137.625
214.91272,270.4375
326.75037,327.8125
186.86304,303.625
234.24023,241.78125
306.57593,416.15625
446.5971,555.625
372.8523,455.6875
277.76392,243.1875
236.02332,136.93762
224.86719,162.0625
233.98804,320.0625
155.3396,195.00012
181.95227,274.62512
317.8894,311.6875
97.402466,79.625
151.79065,590.5625
626.9412,705.9375
728.1265,700.3125
452.43915,433.31256
364.01978,388.56256
301.5542,320.75
521.39624,675.18756
600.6163,485.68756
602.3838,770.93756
422.5443,383.6875
309.92273,557.75
547.8674,606.625
593.7308,671.0
468.67914,614.37506
680.35785,734.5625
444.72455,583.625
682.9829,720.5625
1061.8188,993.9375
338.62714,251.21887
417.2885,695.8125
298.2284,259.25
327.93835,406.75
336.33417,384.37506
320.00952,350.87506
503.0882,410.375
431.37366,416.9063
411.7657,334.75006
397.99304,471.75
523.17975,399.8125
420.91797,775.875
525.189,536.37506
494.8208,437.5
726.2574,593.37506
512.9617,450.375
495.18005,380.25
661.2096,566.8125
944.0614,1231.5625
690.1816,753.84375
528.0336,627.625
637.1115,732.50006
