preds,trues
136.96338,153.6875
3785.8887,3538.3125
2968.984,2256.3125
2299.542,1713.875
4075.4062,4362.4375
2626.0347,2806.4375
4009.9922,4529.5
3532.3071,5487.8125
3636.2056,4783.5
4143.0103,3658.5
2138.0994,1501.375
2737.404,2961.5625
2122.1887,3603.3125
2714.9702,1897.0
3522.0444,2935.75
4053.9966,3520.75
2804.5366,2642.8125
2507.6978,1378.375
2919.9614,2584.125
2686.0132,2456.9375
2497.6084,2706.5
2188.624,1121.8125
1924.5731,2373.75
2235.483,2080.875
1636.1783,1795.0
1644.596,1651.6875
1616.805,1636.3125
1488.3325,940.125
862.0925,672.375
1386.6759,892.5625
716.87823,660.5
519.686,596.87506
532.82,340.375
331.97327,380.875
265.6046,264.875
335.0822,422.8125
926.4684,713.62506
1143.7354,1585.9375
1395.009,1076.375
728.8193,542.56256
994.0724,789.81256
732.29913,814.25006
765.9793,747.875
974.4143,1260.875
1118.3839,1216.25
941.2064,713.62506
1299.9756,1429.375
1269.6619,1261.625
1116.3954,840.12506
437.89508,885.5625
263.4525,0.0
506.57544,397.0
277.0537,1838.3125
240.7616,303.3125
275.38416,299.125
286.25427,448.75
743.39215,237.625
838.884,451.5
275.30054,299.8125
236.55444,222.25
273.00623,113.875
169.17627,104.8125
162.08667,205.4375
152.9607,407.50006
396.5539,464.06256
169.99707,150.87512
210.59216,157.87512
165.74854,95.0
208.48926,106.18762
377.40594,277.4375
200.09058,2.0625
175.47595,212.4375
167.48035,113.18762
621.4328,596.9375
242.31543,223.50012
210.23694,204.75012
276.48425,117.375
314.57812,266.96875
373.78406,107.625
441.5412,269.75
229.44434,252.9375
326.6953,330.56256
376.41333,321.50012
329.0995,278.875
356.41473,283.40625
322.05676,264.125
289.29346,290.0
170.79077,37.6875
96.976074,137.0
150.87878,130.625
143.23401,133.40637
134.63208,123.6875
131.1853,135.5625
140.35974,124.3125
173.72583,62.125122
211.08728,118.06262
309.39783,454.93756
220.8252,124.3125
139.13184,41.875
85.97302,66.37512
84.461426,99.25012
143.10022,29.312622
166.74548,93.625
114.08594,77.5
99.67871,68.4375
81.36389,20.53125
180.30554,131.25
136.75818,101.31262
108.412964,127.875
167.6034,136.93762
116.44177,44.0
100.61011,32.75
59.342773,32.0625
60.193726,41.125122
77.254395,50.250122
71.576416,39.0625
105.81482,104.40625
118.830444,132.75
135.31287,147.4375
159.21106,130.28125
172.43042,147.40637
179.11682,201.9375
136.50037,120.125
113.35974,51.6875
157.6665,121.5625
129.34253,113.18762
136.64722,61.500122
136.89368,89.4375
152.58594,104.4375
111.0155,163.5
158.59851,185.87512
143.8512,93.625
172.854,94.31262
126.5354,33.500122
87.451904,155.125
148.22668,69.1875
120.67383,43.9375
83.17383,59.03125
76.03027,26.15625
78.14221,57.65625
102.73169,77.5625
100.975464,85.25012
124.44006,153.00012
130.56519,143.59387
214.75598,235.15637
47.341187,196.4375
222.73413,135.25012
268.81067,52.3125
103.46765,44.625
103.89758,51.656372
117.9447,74.75
118.22217,58.0
122.30005,62.1875
82.6012,81.0
85.14758,76.8125
224.32605,130.6875
253.31946,25.437622
122.274414,190.0625
147.88611,153.6875
132.37549,39.0625
88.908325,100.625
151.80017,219.4375
184.8872,122.93762
163.06677,192.625
316.1095,90.75
374.85675,353.62506
229.78674,173.25
185.7384,118.06262
90.97009,34.1875
79.12854,55.843872
76.05713,129.25
95.42273,204.75012
153.84705,123.0625
128.05664,109.6875
115.31653,113.18762
102.68054,143.5625
94.8678,81.0
203.37488,81.8125
135.68335,90.8125
97.96387,27.9375
67.05835,35.625
58.009155,24.03125
54.488403,50.21875
64.58508,18.125
42.505615,20.875
42.61389,20.9375
41.425415,32.0625
51.675903,41.1875
79.12012,80.3125
93.139404,48.1875
69.427124,18.125
81.66406,38.437622
1965.3846,2483.5625
3121.9646,3296.4375
1100.446,793.31256
1492.1643,963.4375
503.7968,260.62512
1631.0612,1077.125
1083.0447,1303.5625
1155.1051,653.5
1755.0315,963.875
2729.5203,2378.625
1856.5028,1591.5625
1018.67847,911.4375
600.5802,422.12506
424.85577,1272.8125
791.06024,709.4375
591.7426,1014.875
918.3225,603.25
