preds,trues
149.96033,167.00012
145.75464,170.5
182.02795,202.625
50.2218,223.625
172.93408,138.3125
125.94678,215.875
99.57483,83.12512
123.25928,164.87512
142.52307,106.18762
761.94965,685.3125
789.5595,437.15625
626.3831,473.15625
424.23895,357.0938
648.90784,1154.375
776.5312,962.78125
1293.0144,1802.3125
599.4255,622.75
648.0087,455.6875
451.74243,363.43756
370.90045,293.50012
634.5681,1033.75
367.61218,383.0
319.36926,271.1875
349.5633,401.1875
443.0724,368.31256
412.1916,380.1875
1046.0581,1211.25
545.0899,1005.75
639.54663,1065.875
575.9667,388.56256
299.4734,192.125
314.07263,239.75
428.26813,438.9375
400.40717,321.50012
358.7199,359.25
500.35883,683.5625
781.40674,475.93756
476.31824,378.8125
303.54834,170.5
251.693,269.75
323.23682,364.125
294.91748,391.37506
565.254,443.06256
309.5641,243.93762
331.05963,290.75
408.08173,588.50006
657.72235,963.125
507.36237,863.875
590.31177,379.46875
490.66437,489.96875
501.20496,370.75
601.68,964.1875
665.70776,378.50006
380.966,437.875
396.35883,300.125
352.5191,455.31256
330.81647,608.8125
523.39124,443.06256
478.54413,571.87506
345.11792,329.875
373.13904,327.0625
266.0022,357.8125
406.5797,448.0
510.92377,1276.3125
613.26306,694.125
526.1104,473.875
458.30835,495.5
469.24255,1188.25
1121.8802,1092.5
1524.1941,1952.25
1325.6132,2113.6875
806.98975,985.5
2259.9636,1959.9375
1071.9323,727.5625
1130.638,1960.625
279.09167,513.03125
351.30444,508.78125
390.93768,1031.0
315.54077,460.21875
415.2669,1134.4062
354.6474,464.43756
540.9855,359.62506
541.24567,467.5625
359.92755,292.59375
334.93,535.0313
359.32483,144.625
115.009766,184.4375
161.73706,808.6875
168.48376,406.75
378.55182,351.56256
390.2943,297.75012
409.55682,370.37506
170.5487,365.56256
293.04993,471.06256
615.86914,677.9375
341.0984,480.25006
338.82794,413.0625
196.07642,348.0625
289.52734,550.75
614.8146,559.875
325.67505,332.0
336.0265,446.625
364.8692,470.37506
273.60986,304.75012
299.9878,498.3125
258.85315,435.43756
220.21326,341.75006
177.6676,271.1875
223.66516,246.34375
207.78223,166.59375
90.75183,125.03125
98.58728,187.59375
340.72644,408.12506
371.62415,583.25
175.8761,473.875
536.91943,668.125
386.6731,606.6875
624.86115,1243.125
305.36682,443.8125
204.44995,283.75
260.95984,277.09387
212.36523,467.87506
223.53699,289.68762
255.9967,391.37506
227.59668,330.56256
468.98724,290.0625
238.28271,333.375
209.16687,203.375
157.53662,284.4375
273.03845,234.125
317.73083,218.0625
210.557,137.625
159.94995,270.4375
269.0741,327.8125
134.54102,303.625
179.77917,241.78125
249.19348,416.15625
396.99078,555.625
324.47058,455.6875
222.86658,243.1875
169.66321,136.93762
159.85254,162.0625
168.18884,320.0625
92.08972,195.00012
118.488525,274.62512
254.32983,311.6875
44.134155,79.625
93.598755,590.5625
579.51294,705.9375
704.0948,700.3125
405.93976,433.31256
312.83728,388.56256
247.72388,320.75
470.20294,675.18756
555.84424,485.68756
558.01324,770.93756
377.82562,383.6875
256.07263,557.75
501.89435,606.625
550.9508,671.0
426.8604,614.37506
642.04315,734.5625
395.3947,583.625
642.4287,720.5625
1045.0321,993.9375
296.50793,251.21887
363.049,695.8125
272.27454,259.25
298.79834,406.75
312.17493,384.37506
293.12122,350.87506
485.36053,410.375
410.268,416.9063
389.13092,334.75006
373.4746,471.75
504.9209,399.8125
394.2282,775.875
510.9018,536.37506
477.74567,437.5
716.4671,593.37506
497.64862,450.375
475.6631,380.25
648.96796,566.8125
958.802,1231.5625
692.1949,753.84375
517.1167,627.625
628.104,732.50006
